Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	100.894027322	101.656737635	111.7	178.5
1	Spectrogram 1	1	100.894027322	101.656737635	111.7	178.5
2	Waveform 1	1	110.139826155	110.987282058	118.6	173.9
2	Spectrogram 1	1	110.139826155	110.987282058	118.6	173.9
3	Waveform 1	1	118.444894004	119.271163509	109.4	215.4
3	Spectrogram 1	1	118.444894004	119.271163509	109.4	215.4
4	Waveform 1	1	126.940639431	127.745722539	107.1	199.3
4	Spectrogram 1	1	126.940639431	127.745722539	107.1	199.3
5	Waveform 1	1	134.949097714	135.817740015	107.1	190.0
5	Spectrogram 1	1	134.949097714	135.817740015	107.1	190.0
6	Waveform 1	1	143.686423005	144.597438101	104.8	167.0
6	Spectrogram 1	1	143.686423005	144.597438101	104.8	167.0
7	Waveform 1	1	152.055050047	153.029624336	111.7	187.7
7	Spectrogram 1	1	152.055050047	153.029624336	111.7	187.7
8	Waveform 1	1	161.122828209	162.160961690	120.9	208.5
8	Spectrogram 1	1	161.122828209	162.160961690	120.9	208.5
9	Waveform 1	1	168.737274429	169.521171139	118.6	171.6
9	Spectrogram 1	1	168.737274429	169.521171139	118.6	171.6
10	Waveform 1	1	177.826238988	178.440644517	118.6	176.2
10	Spectrogram 1	1	177.826238988	178.440644517	118.6	176.2
11	Waveform 1	1	186.788085162	187.381304294	127.8	171.6
11	Spectrogram 1	1	186.788085162	187.381304294	127.8	171.6
12	Waveform 1	1	327.008468456	327.644060383	88.7	183.1
12	Spectrogram 1	1	327.008468456	327.644060383	88.7	183.1
13	Waveform 1	1	336.923702520	337.474548857	109.4	178.5
13	Spectrogram 1	1	336.923702520	337.474548857	109.4	178.5
14	Waveform 1	1	345.355888755	345.949107887	118.6	187.7
14	Spectrogram 1	1	345.355888755	345.949107887	118.6	187.7
15	Waveform 1	1	354.834737961	355.322025105	114.0	160.1
15	Spectrogram 1	1	354.834737961	355.322025105	114.0	160.1
16	Waveform 1	1	363.902516123	364.601667243	114.0	183.1
16	Spectrogram 1	1	363.902516123	364.601667243	114.0	183.1
17	Waveform 1	1	373.499954224	374.368596524	107.1	208.5
17	Spectrogram 1	1	373.499954224	374.368596524	107.1	208.5
18	Waveform 1	1	528.529629422	528.974543771	91.0	208.5
18	Spectrogram 1	1	528.529629422	528.974543771	91.0	208.5
19	Waveform 1	1	538.529609077	539.144014606	107.1	185.4
19	Spectrogram 1	1	538.529609077	539.144014606	107.1	185.4
20	Waveform 1	1	546.822020019	547.372866356	107.1	210.8
20	Spectrogram 1	1	546.822020019	547.372866356	107.1	210.8
21	Waveform 1	1	557.182168433	558.177929119	97.9	185.4
21	Spectrogram 1	1	557.182168433	558.177929119	97.9	185.4
22	Waveform 1	1	567.372825666	567.966044798	107.1	160.1
22	Spectrogram 1	1	567.372825666	567.966044798	107.1	160.1
23	Waveform 1	1	576.406760523	577.423707606	102.5	194.7
23	Spectrogram 1	1	576.406760523	577.423707606	102.5	194.7
24	Waveform 1	1	585.940639431	586.894027322	107.1	173.9
24	Spectrogram 1	1	585.940639431	586.894027322	107.1	173.9
25	Waveform 1	1	595.114349581	595.898246291	97.9	173.9
25	Spectrogram 1	1	595.114349581	595.898246291	97.9	173.9
26	Waveform 1	1	604.847435558	605.694891461	118.6	187.7
26	Spectrogram 1	1	604.847435558	605.694891461	118.6	187.7
27	Waveform 1	1	615.249956767	615.821989501	120.9	176.2
27	Spectrogram 1	1	615.249956767	615.821989501	120.9	176.2
28	Waveform 1	1	617.474528512	617.961815656	146.3	208.5
28	Spectrogram 1	1	617.474528512	617.961815656	146.3	208.5
29	Waveform 1	1	826.377085325	826.800813276	54.1	206.2
29	Spectrogram 1	1	826.377085325	826.800813276	54.1	206.2
30	Waveform 1	1	835.508422679	836.038082618	79.4	187.7
30	Spectrogram 1	1	835.508422679	836.038082618	79.4	187.7
31	Waveform 1	1	844.754221512	845.410999837	100.2	167.0
31	Spectrogram 1	1	844.754221512	845.410999837	100.2	167.0
32	Waveform 1	1	853.398271722	854.012677252	107.1	194.7
32	Spectrogram 1	1	853.398271722	854.012677252	107.1	194.7
33	Waveform 1	1	861.766898764	862.487236282	84.1	180.8
33	Spectrogram 1	1	861.766898764	862.487236282	84.1	180.8
34	Waveform 1	1	870.716088031	871.330493561	88.7	187.7
34	Spectrogram 1	1	870.716088031	871.330493561	88.7	187.7
35	Waveform 1	1	879.805052590	880.525390108	102.5	185.4
35	Spectrogram 1	1	879.805052590	880.525390108	102.5	185.4
36	Waveform 1	1	888.364357210	889.190626716	100.2	171.6
36	Spectrogram 1	1	888.364357210	889.190626716	100.2	171.6
37	Waveform 1	1	897.885579212	898.860153500	100.2	173.9
37	Spectrogram 1	1	897.885579212	898.860153500	100.2	173.9
38	Waveform 1	1	908.076236445	908.838946757	111.7	169.3
38	Spectrogram 1	1	908.076236445	908.838946757	111.7	169.3
39	Waveform 1	1	917.843165726	918.860112810	95.6	164.7
39	Spectrogram 1	1	917.843165726	918.860112810	95.6	164.7
40	Waveform 1	1	927.978793257	928.805062763	116.3	173.9
40	Spectrogram 1	1	927.978793257	928.805062763	116.3	173.9
41	Waveform 1	1	946.135535978	947.385533435	109.4	164.7
41	Spectrogram 1	1	946.135535978	947.385533435	109.4	164.7
42	Waveform 1	1	1005.843206416	1006.499984741	120.9	192.3
42	Spectrogram 1	1	1005.843206416	1006.499984741	120.9	192.3
