Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	285.254206253	285.974543771	111.7	197.0
1	Spectrogram 1	1	285.254206253	285.974543771	111.7	197.0
2	Waveform 1	1	623.097453360	623.669486094	102.5	157.8
2	Spectrogram 1	1	623.097453360	623.669486094	102.5	157.8
3	Waveform 1	1	670.457581428	671.093173356	84.1	153.2
3	Spectrogram 1	1	670.457581428	671.093173356	84.1	153.2
5	Waveform 1	1	756.953387891	757.313556650	95.6	162.4
5	Spectrogram 1	1	756.953387891	757.313556650	95.6	162.4
6	Waveform 1	1	922.999989827	924.122868899	40.3	137.0
6	Spectrogram 1	1	922.999989827	924.122868899	40.3	137.0
7	Waveform 1	1	1127.042332105	1128.694871116	40.3	118.6
7	Spectrogram 1	1	1127.042332105	1128.694871116	40.3	118.6
8	Waveform 1	1	1205.394032408	1207.131317009	40.3	125.5
8	Spectrogram 1	1	1205.394032408	1207.131317009	40.3	125.5
9	Waveform 1	1	1273.470329888	1275.038123309	47.2	160.1
9	Spectrogram 1	1	1273.470329888	1275.038123309	47.2	160.1
10	Waveform 1	1	1323.605876039	1325.173669459	40.3	144.0
10	Spectrogram 1	1	1323.605876039	1325.173669459	40.3	144.0
11	Waveform 1	1	1362.838956930	1363.813531218	100.2	194.7
11	Spectrogram 1	1	1362.838956930	1363.813531218	100.2	194.7
12	Waveform 1	1	1388.927941834	1389.881329725	65.6	123.2
12	Spectrogram 1	1	1388.927941834	1389.881329725	65.6	123.2
13	Waveform 1	1	1402.953337028	1403.716047341	79.4	173.9
13	Spectrogram 1	1	1402.953337028	1403.716047341	79.4	173.9
14	Waveform 1	1	1416.182178605	1416.966075315	51.8	178.5
14	Spectrogram 1	1	1416.182178605	1416.966075315	51.8	178.5
15	Waveform 1	1	1450.237248997	1451.127077695	79.4	201.6
15	Spectrogram 1	1	1450.237248997	1451.127077695	79.4	201.6
16	Waveform 1	1	1495.677944377	1496.758450654	72.5	153.2
16	Spectrogram 1	1	1495.677944377	1496.758450654	72.5	153.2
17	Waveform 1	1	1505.614364840	1506.355888755	74.8	160.1
17	Spectrogram 1	1	1505.614364840	1506.355888755	74.8	160.1
18	Waveform 1	1	1537.105881125	1537.805032245	81.7	134.7
18	Spectrogram 1	1	1537.105881125	1537.805032245	81.7	134.7
19	Waveform 1	1	1688.025395194	1688.703359916	91.0	173.9
19	Spectrogram 1	1	1688.025395194	1688.703359916	91.0	173.9
20	Waveform 1	1	1732.470329888	1733.169481008	74.8	164.7
20	Spectrogram 1	1	1732.470329888	1733.169481008	74.8	164.7
21	Waveform 1	1	1765.317775619	1766.016926739	77.1	157.8
21	Spectrogram 1	1	1765.317775619	1766.016926739	77.1	157.8
22	Waveform 1	1	1767.775397737	1768.707599230	100.2	157.8
22	Spectrogram 1	1	1767.775397737	1768.707599230	100.2	157.8
23	Waveform 1	1	1797.190647061	1798.144034951	70.2	180.8
23	Spectrogram 1	1	1797.190647061	1798.144034951	70.2	180.8
24	Waveform 1	1	1851.932170976	1852.716067686	81.7	180.8
24	Spectrogram 1	1	1851.932170976	1852.716067686	81.7	180.8
25	Waveform 1	1	1894.449143491	1895.338972189	84.1	155.5
25	Spectrogram 1	1	1894.449143491	1895.338972189	84.1	155.5
26	Waveform 1	1	2044.894027322	2045.635551237	88.7	160.1
26	Spectrogram 1	1	2044.894027322	2045.635551237	88.7	160.1
27	Waveform 1	1	2080.135535978	2080.940619086	91.0	167.0
27	Spectrogram 1	1	2080.135535978	2080.940619086	91.0	167.0
28	Waveform 1	1	2115.999979655	2116.762689968	65.6	169.3
28	Spectrogram 1	1	2115.999979655	2116.762689968	65.6	169.3
29	Waveform 1	1	2118.309296991	2118.987261713	100.2	180.8
29	Spectrogram 1	1	2118.309296991	2118.987261713	100.2	180.8
30	Waveform 1	1	2150.415218806	2151.241488311	77.1	199.3
30	Spectrogram 1	1	2150.415218806	2151.241488311	77.1	199.3
31	Waveform 1	1	2180.529619249	2181.610125526	88.7	171.6
31	Spectrogram 1	1	2180.529619249	2181.610125526	88.7	171.6
32	Waveform 1	1	2226.288110593	2227.135566496	79.4	157.8
32	Spectrogram 1	1	2226.288110593	2227.135566496	79.4	157.8
33	Waveform 1	1	2239.423677089	2240.144014606	79.4	167.0
33	Spectrogram 1	1	2239.423677089	2240.144014606	79.4	167.0
34	Waveform 1	1	2242.029603990	2242.855873496	88.7	157.8
34	Spectrogram 1	1	2242.029603990	2242.855873496	88.7	157.8
35	Waveform 1	1	2277.639810896	2278.317775619	81.7	187.7
35	Spectrogram 1	1	2277.639810896	2278.317775619	81.7	187.7
36	Waveform 1	1	2325.262705226	2326.131347527	84.1	222.3
36	Spectrogram 1	1	2325.262705226	2326.131347527	84.1	222.3
37	Waveform 1	1	2374.550795474	2375.186387402	77.1	176.2
37	Spectrogram 1	1	2374.550795474	2375.186387402	77.1	176.2
38	Waveform 1	1	2486.584740504	2487.559314792	93.3	178.5
38	Spectrogram 1	1	2486.584740504	2487.559314792	93.3	178.5
39	Waveform 1	1	2511.542316846	2513.025364676	84.1	137.0
39	Spectrogram 1	1	2511.542316846	2513.025364676	84.1	137.0
40	Waveform 1	1	2515.406770695	2516.169481008	79.4	167.0
40	Spectrogram 1	1	2515.406770695	2516.169481008	79.4	167.0
41	Waveform 1	1	2543.889818526	2544.610156043	93.3	171.6
41	Spectrogram 1	1	2543.889818526	2544.610156043	93.3	171.6
42	Waveform 1	1	2585.762669623	2586.483007140	88.7	164.7
42	Spectrogram 1	1	2585.762669623	2586.483007140	88.7	164.7
43	Waveform 1	1	2633.258445567	2634.211833458	65.6	160.1
43	Spectrogram 1	1	2633.258445567	2634.211833458	65.6	160.1
44	Waveform 1	1	2679.822020019	2680.605916729	79.4	155.5
44	Spectrogram 1	1	2679.822020019	2680.605916729	79.4	155.5
45	Waveform 1	1	2718.368606697	2719.067757817	70.2	141.7
45	Spectrogram 1	1	2718.368606697	2719.067757817	70.2	141.7
46	Waveform 1	1	2728.898246291	2729.533838218	74.8	141.7
46	Spectrogram 1	1	2728.898246291	2729.533838218	74.8	141.7
47	Waveform 1	1	2778.936389945	2779.529609077	84.1	167.0
47	Spectrogram 1	1	2778.936389945	2779.529609077	84.1	167.0
48	Waveform 1	1	2975.779637051	2976.648279352	70.2	132.4
48	Spectrogram 1	1	2975.779637051	2976.648279352	70.2	132.4
49	Waveform 1	1	3012.758430309	3013.499954224	74.8	125.5
49	Spectrogram 1	1	3012.758430309	3013.499954224	74.8	125.5
50	Waveform 1	1	3053.601677415	3054.152523752	70.2	153.2
50	Spectrogram 1	1	3053.601677415	3054.152523752	70.2	153.2
51	Waveform 1	1	3090.834707443	3091.639790551	72.5	173.9
51	Spectrogram 1	1	3090.834707443	3091.639790551	72.5	173.9
52	Waveform 1	1	3115.716067686	3116.457591601	86.4	185.4
52	Spectrogram 1	1	3115.716067686	3116.457591601	86.4	185.4
53	Waveform 1	1	3180.487287144	3181.461861433	84.1	155.5
53	Spectrogram 1	1	3180.487287144	3181.461861433	84.1	155.5
54	Waveform 1	1	3360.224520883	3361.050790388	77.1	146.3
54	Spectrogram 1	1	3360.224520883	3361.050790388	77.1	146.3
55	Waveform 1	1	3466.995709823	3467.673674546	100.2	173.9
55	Spectrogram 1	1	3466.995709823	3467.673674546	100.2	173.9
56	Waveform 1	1	3476.792354993	3478.042352450	74.8	153.2
56	Spectrogram 1	1	3476.792354993	3478.042352450	74.8	153.2
57	Waveform 1	1	3487.957586515	3488.699110430	114.0	167.0
57	Spectrogram 1	1	3487.957586515	3488.699110430	114.0	167.0
58	Waveform 1	1	3776.716077858	3778.093193701	38.0	148.6
58	Spectrogram 1	1	3776.716077858	3778.093193701	38.0	148.6
59	Waveform 1	1	3791.525369763	3792.690621629	44.9	176.2
59	Spectrogram 1	1	3791.525369763	3792.690621629	44.9	176.2
60	Waveform 1	1	3820.326213556	3821.364347038	51.8	141.7
60	Spectrogram 1	1	3820.326213556	3821.364347038	51.8	141.7
61	Waveform 1	1	3835.652508493	3836.754201167	47.2	130.1
61	Spectrogram 1	1	3835.652508493	3836.754201167	47.2	130.1
62	Waveform 1	1	3958.004229141	3959.402531381	70.2	141.7
62	Spectrogram 1	1	3958.004229141	3959.402531381	70.2	141.7
63	Waveform 1	1	4095.758460826	4096.542357536	81.7	127.8
63	Spectrogram 1	1	4095.758460826	4096.542357536	81.7	127.8
64	Waveform 1	1	4121.423717779	4122.144055296	120.9	213.1
64	Spectrogram 1	1	4121.423717779	4122.144055296	120.9	213.1
65	Waveform 1	1	4148.614395357	4150.182188778	47.2	208.5
65	Spectrogram 1	1	4148.614395357	4150.182188778	47.2	208.5
66	Waveform 1	1	4166.516901307	4167.491475596	84.1	226.9
66	Spectrogram 1	1	4166.516901307	4167.491475596	84.1	226.9
