Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	127.227381992	128.141417129	71.3	192.2
1	Spectrogram 1	1	127.227381992	128.141417129	71.3	192.2
2	Waveform 1	1	169.279636985	170.291604458	83.1	171.5
2	Spectrogram 1	1	169.279636985	170.291604458	83.1	171.5
3	Waveform 1	1	298.433021587	299.608209620	106.7	162.7
3	Spectrogram 1	1	298.433021587	299.608209620	106.7	162.7
4	Waveform 1	1	366.603885555	367.093547236	159.7	233.5
4	Spectrogram 1	1	366.603885555	367.093547236	159.7	233.5
5	Waveform 1	1	375.515728142	376.103322159	91.9	142.1
5	Spectrogram 1	1	375.515728142	376.103322159	91.9	142.1
6	Waveform 1	1	425.852948908	426.440542925	133.2	221.7
6	Spectrogram 1	1	425.852948908	426.440542925	133.2	221.7
7	Waveform 1	1	470.255579968	470.973750433	80.1	162.7
7	Spectrogram 1	1	470.255579968	470.973750433	80.1	162.7
8	Waveform 1	1	560.755016572	561.669051709	62.4	124.4
8	Spectrogram 1	1	560.755016572	561.669051709	62.4	124.4
9	Waveform 1	1	588.832272269	589.452510398	86.0	168.6
9	Spectrogram 1	1	588.832272269	589.452510398	86.0	168.6
10	Waveform 1	1	660.006394545	660.496056226	83.1	183.3
10	Spectrogram 1	1	660.006394545	660.496056226	83.1	183.3
11	Waveform 1	1	675.133651650	675.917110339	112.6	204.0
11	Spectrogram 1	1	675.133651650	675.917110339	112.6	204.0
12	Waveform 1	1	687.538414226	688.060720018	83.1	150.9
12	Spectrogram 1	1	687.538414226	688.060720018	83.1	150.9
13	Waveform 1	1	692.924692712	693.773439625	86.0	153.8
13	Spectrogram 1	1	692.924692712	693.773439625	86.0	153.8
14	Waveform 1	1	803.568865787	804.515545037	68.3	159.7
14	Spectrogram 1	1	803.568865787	804.515545037	68.3	159.7
15	Waveform 1	1	807.877888577	808.628703154	74.2	150.9
15	Spectrogram 1	1	807.877888577	808.628703154	74.2	150.9
16	Waveform 1	1	868.964980232	869.683150697	109.6	201.0
16	Spectrogram 1	1	868.964980232	869.683150697	109.6	201.0
17	Waveform 1	1	988.488351782	989.500319256	97.8	230.5
17	Spectrogram 1	1	988.488351782	989.500319256	97.8	230.5
18	Waveform 1	1	1134.982398563	1135.994366037	77.2	189.2
18	Spectrogram 1	1	1134.982398563	1135.994366037	77.2	189.2
19	Waveform 1	1	1225.122749935	1225.710343951	100.8	195.1
19	Spectrogram 1	1	1225.122749935	1225.710343951	100.8	195.1
20	Waveform 1	1	1268.911659481	1269.695118170	83.1	174.5
20	Spectrogram 1	1	1268.911659481	1269.695118170	83.1	174.5
21	Waveform 1	1	1464.146684881	1465.158652354	80.1	192.2
