Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	556.4324646	557.546722412	67	226
2	Spectrogram 1	1	577.185516357	577.67300415	67	226
3	Spectrogram 1	1	1038.766815186	1039.393585205	67	226
4	Spectrogram 1	1	1105.204437256	1105.761566162	67	226
5	Spectrogram 1	1	2049.677215576	2051.348602295	67	226
6	Spectrogram 1	1	2463.275787354	2464.459686279	67	226
7	Spectrogram 1	1	2576.442596436	2576.930084229	67	226
8	Spectrogram 1	1	2962.254364014	2963.2293396	67	226
9	Spectrogram 1	1	3559.705474854	3560.4715271	67	226
10	Spectrogram 1	1	3720.019317627	3720.9246521	67	226
11	Spectrogram 1	1	3873.926177979	3875.110076904	67	226
12	Spectrogram 1	1	3979.571746826	3980.198516846	67	226
13	Spectrogram 1	1	3983.402008057	3984.794830322	67	226
14	Spectrogram 1	1	4842.564422607	4843.88760376	67	226
15	Spectrogram 1	1	5131.923248291	5133.664276123	67	226
16	Spectrogram 1	1	5155.392303467	5156.436920166	67	226
17	Spectrogram 1	1	5161.172515869	5161.660003662	67	226
18	Spectrogram 1	1	5210.199859619	5210.965911865	67	226
19	Spectrogram 1	1	5239.309844971	5240.215179443	67	226
20	Spectrogram 1	1	5341.334075928	5342.44833374	67	226
21	Spectrogram 1	1	5722.897735596	5723.803070068	67	226
22	Spectrogram 1	1	6017.827850342	6018.593902588	67	226
23	Spectrogram 1	1	6031.268585205	6031.895355225	67	226
24	Spectrogram 1	1	6041.505828857	6041.99331665	67	226
25	Spectrogram 1	1	6086.424346924	6087.329681396	67	226
26	Spectrogram 1	1	6104.670318604	6105.993499756	67	226
27	Spectrogram 1	1	6317.632843018	6318.32925415	67	226
28	Spectrogram 1	1	6407.121673584	6407.957366943	67	226
29	Spectrogram 1	1	6411.648345947	6412.76260376	67	226
30	Spectrogram 1	1	6452.388397217	6453.363372803	67	226
31	Spectrogram 1	1	6794.047698975	6794.953033447	67	226
32	Spectrogram 1	1	7055.480438232	7057.221466064	67	226
33	Spectrogram 1	1	7071.358612061	7072.40322876	67	226
34	Spectrogram 1	1	7153.744049072	7154.719024658	67	226
