Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	53.345062256	54.111114502	150	180
2	Spectrogram 1	1	160.453094482	160.731658936	150	180
3	Spectrogram 1	1	317.215240479	317.981292725	150	180
4	Spectrogram 1	1	401.829193115	402.525604248	150	180
5	Spectrogram 1	1	522.935089111	523.352935791	150	180
6	Spectrogram 1	1	755.536407471	755.814971924	150	180
7	Spectrogram 1	1	900.041717529	900.807769775	150	180
8	Spectrogram 1	1	1489.623382568	1490.389434814	150	180
9	Spectrogram 1	1	1523.468963623	1523.956451416	150	180
10	Spectrogram 1	1	1830.238067627	1830.586273193	150	180
11	Spectrogram 1	1	1972.027374268	1972.584503174	150	180
12	Spectrogram 1	1	2092.576141357	2092.854705811	150	180
13	Spectrogram 1	1	2338.896759033	2339.175323486	150	180
14	Spectrogram 1	1	3214.494476318	3214.912322998	150	180
15	Spectrogram 1	1	3267.421722412	3267.769927979	150	180
16	Spectrogram 1	1	4237.661712646	4237.9402771	150	180
17	Spectrogram 1	1	4662.681427002	4662.959991455	150	180
18	Spectrogram 1	1	4797.436981201	4797.785186768	150	180
19	Spectrogram 1	1	4921.467803955	4921.816009521	150	180
20	Spectrogram 1	1	5156.0887146	5156.367279053	150	180
21	Spectrogram 1	1	6018.106414795	6018.454620361	150	180
22	Spectrogram 1	1	6096.034820557	6096.383026123	150	180
23	Spectrogram 1	1	6120.548492432	6120.827056885	150	180
24	Spectrogram 1	1	6129.601837158	6129.950042725	150	180
25	Spectrogram 1	1	6501.415740967	6501.763946533	150	180
26	Spectrogram 1	1	6512.697601318	6513.115447998	150	180
27	Spectrogram 1	1	6623.914459229	6624.193023682	150	180
28	Spectrogram 1	1	6950.600921631	6951.43661499	150	180
29	Spectrogram 1	1	7163.075958252	7163.493804932	150	180
30	Spectrogram 1	1	7636.635528564	7636.983734131	150	180
31	Spectrogram 1	1	8232.624176025	8232.902740479	150	180
32	Spectrogram 1	1	8280.746185303	8281.024749756	150	180
33	Spectrogram 1	1	8391.196990967	8391.47555542	150	180
34	Spectrogram 1	1	8908.978668213	8909.257232666	150	180
35	Spectrogram 1	1	9099.168548584	9099.72567749	150	180
36	Spectrogram 1	1	9750.034393311	9750.66116333	150	180
37	Spectrogram 1	1	9944.124176025	9944.472381592	150	180
38	Spectrogram 1	1	10078.740447998	10079.088653564	150	180
39	Spectrogram 1	1	10223.10647583	10223.385040283	150	180
40	Spectrogram 1	1	11373.577667236	11373.925872803	150	180
41	Spectrogram 1	1	13757.044769287	13757.462615967	150	180
42	Spectrogram 1	1	14304.772125244	14305.050689697	150	180
43	Spectrogram 1	1	14466.966278076	14467.314483643	150	180
44	Spectrogram 1	1	14470.935821533	14471.492950439	150	180
45	Spectrogram 1	1	14493.429901123	14493.917388916	150	180
46	Spectrogram 1	1	14601.930755615	14602.487884521	150	180
47	Spectrogram 1	1	15174.032501221	15174.519989014	150	180
48	Spectrogram 1	1	15194.437347412	15194.715911865	150	180
49	Spectrogram 1	1	15221.249176025	15221.667022705	150	180
50	Spectrogram 1	1	17284.924285889	17285.342132568	150	180
51	Spectrogram 1	1	18018.732696533	18019.011260986	150	180
52	Spectrogram 1	1	18236.291534424	18236.570098877	150	180
53	Spectrogram 1	1	18392.63583374	18392.914398193	150	180
54	Spectrogram 1	1	19066.970733643	19067.667144775	150	180
55	Spectrogram 1	1	19100.746673584	19101.164520264	150	180
56	Spectrogram 1	1	19131.249481201	19131.597686768	150	180
57	Spectrogram 1	1	19168.507476807	19168.78604126	150	180
58	Spectrogram 1	1	19173.521636963	19173.869842529	150	180
59	Spectrogram 1	1	19251.171478271	19251.519683838	150	180
60	Spectrogram 1	1	19274.988739014	19275.33694458	150	180
61	Spectrogram 1	1	19498.675994873	19499.372406006	150	180
62	Spectrogram 1	1	19525.975311279	19526.532440186	150	180
63	Spectrogram 1	1	19553.901397705	19554.388885498	150	180
64	Spectrogram 1	1	19601.187713623	19601.744842529	150	180
65	Spectrogram 1	1	19619.572967529	19620.408660889	150	180
