Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	89.070953369	89.767364502	65	165
2	Spectrogram 1	1	205.023406982	205.580535889	45	125
3	Spectrogram 1	1	225.98538208	226.472869873	165	205
4	Spectrogram 1	1	236.083343506	236.988677979	125	205
5	Spectrogram 1	1	259.064910889	259.900604248	45	105
6	Spectrogram 1	1	522.726165771	523.074371338	105	145
7	Spectrogram 1	1	720.437286377	721.203338623	65	125
8	Spectrogram 1	1	836.737945557	837.503997803	85	225
9	Spectrogram 1	1	923.789337158	924.485748291	45	145
10	Spectrogram 1	1	1563.234039307	1564.209014893	105	205
11	Spectrogram 1	1	1575.003387451	1575.699798584	85	205
12	Spectrogram 1	1	1709.96786499	1710.455352783	165	225
13	Spectrogram 1	1	1876.201202393	1876.897613525	85	185
14	Spectrogram 1	1	1990.691192627	1991.109039307	65	125
15	Spectrogram 1	1	2286.248077393	2287.083770752	65	185
16	Spectrogram 1	1	2296.903167725	2297.529937744	45	125
17	Spectrogram 1	1	2570.453460693	2571.428436279	165	225
18	Spectrogram 1	1	2719.415802002	2720.112213135	145	225
19	Spectrogram 1	1	2841.705596924	2841.984161377	125	165
20	Spectrogram 1	1	2986.489471436	2987.394805908	125	225
21	Spectrogram 1	1	3132.944732666	3133.780426025	85	145
22	Spectrogram 1	1	3199.03414917	3199.660919189	105	205
23	Spectrogram 1	1	3267.073516846	3267.769927979	85	165
24	Spectrogram 1	1	3311.365264893	3312.061676025	125	185
25	Spectrogram 1	1	3584.845916748	3585.611968994	105	185
26	Spectrogram 1	1	3662.843963623	3663.610015869	125	225
27	Spectrogram 1	1	3788.546173096	3789.312225342	105	165
28	Spectrogram 1	1	3796.833465576	3797.599517822	65	205
29	Spectrogram 1	1	3836.737823486	3837.294952393	65	105
30	Spectrogram 1	1	4036.886383057	4037.443511963	85	185
31	Spectrogram 1	1	4132.225067139	4132.503631592	185	225
32	Spectrogram 1	1	4516.295806885	4516.713653564	85	145
33	Spectrogram 1	1	4661.985015869	4663.029632568	45	165
34	Spectrogram 1	1	4682.320220947	4683.155914307	65	125
35	Spectrogram 1	1	4696.039520264	4696.735931396	85	125
36	Spectrogram 1	1	4710.594512939	4711.151641846	85	165
37	Spectrogram 1	1	4895.352386475	4896.118438721	65	165
38	Spectrogram 1	1	4980.941314697	4981.63772583	105	165
39	Spectrogram 1	1	5341.682281494	5342.030487061	105	185
40	Spectrogram 1	1	5488.973236084	5489.73928833	85	185
41	Spectrogram 1	1	5613.352264404	5613.909393311	125	225
42	Spectrogram 1	1	6095.338409424	6096.52230835	85	165
43	Spectrogram 1	1	6158.363616943	6159.268951416	85	205
44	Spectrogram 1	1	6411.648345947	6412.34475708	65	145
45	Spectrogram 1	1	6433.306732178	6433.724578857	65	145
46	Spectrogram 1	1	6512.488677979	6513.324371338	105	205
47	Spectrogram 1	1	6591.600982666	6592.018829346	105	185
48	Spectrogram 1	1	6686.243255615	6686.870025635	65	125
49	Spectrogram 1	1	6788.058563232	6788.824615479	65	145
50	Spectrogram 1	1	6875.109954834	6875.806365967	45	165
51	Spectrogram 1	1	6904.568145752	6905.055633545	45	105
52	Spectrogram 1	1	7135.985565186	7136.612335205	85	185
53	Spectrogram 1	1	7162.240264893	7163.145599365	65	125
54	Spectrogram 1	1	7241.840057373	7242.606109619	45	105
55	Spectrogram 1	1	7303.263519287	7303.75100708	45	145
56	Spectrogram 1	1	7314.057891846	7314.545379639	85	145
57	Spectrogram 1	1	7507.033416748	7507.869110107	125	205
58	Spectrogram 1	1	7508.3565979	7508.844085693	105	165
59	Spectrogram 1	1	7587.608184814	7588.165313721	65	145
60	Spectrogram 1	1	7677.793426514	7678.14163208	45	125
61	Spectrogram 1	1	7959.213165283	7959.909576416	85	145
62	Spectrogram 1	1	7992.362335205	7993.267669678	85	185
63	Spectrogram 1	1	7996.192596436	7996.749725342	105	205
64	Spectrogram 1	1	8055.596466064	8056.432159424	65	165
65	Spectrogram 1	1	8094.874053955	8095.361541748	45	125
66	Spectrogram 1	1	8280.189056396	8281.303314209	65	225
67	Spectrogram 1	1	8302.195648193	8302.961700439	125	185
68	Spectrogram 1	1	8390.8487854	8391.545196533	85	165
69	Spectrogram 1	1	8539.602203369	8540.159332275	145	185
70	Spectrogram 1	1	9248.200531006	9248.896942139	145	225
71	Spectrogram 1	1	9300.361724854	9301.336700439	105	225
72	Spectrogram 1	1	9359.278106689	9359.765594482	65	145
73	Spectrogram 1	1	9452.806121826	9453.432891846	45	105
74	Spectrogram 1	1	9564.022979736	9564.510467529	125	185
75	Spectrogram 1	1	10098.448883057	10098.866729736	105	165
76	Spectrogram 1	1	10253.330718994	10254.166412354	65	145
