Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	20.683380127	21.17086792	65	125
2	Spectrogram 1	1	45.823822021	46.241668701	155	185
3	Spectrogram 1	1	69.362518311	69.850006104	65	115
4	Spectrogram 1	1	141.232147217	141.580352783	115	135
5	Spectrogram 1	1	208.7840271	209.689361572	105	195
6	Spectrogram 1	1	239.77432251	240.331451416	155	245
7	Spectrogram 1	1	266.795074463	267.561126709	65	105
8	Spectrogram 1	1	336.923675537	337.689727783	185	245
9	Spectrogram 1	1	392.218719482	392.915130615	125	145
10	Spectrogram 1	1	441.803192139	442.290679932	115	175
11	Spectrogram 1	1	448.279815674	448.767303467	115	175
12	Spectrogram 1	1	459.979522705	460.745574951	155	215
13	Spectrogram 1	1	511.23538208	511.65322876	175	235
14	Spectrogram 1	1	523.770782471	524.258270264	75	105
15	Spectrogram 1	1	538.952545166	539.509674072	145	215
16	Spectrogram 1	1	548.145172119	548.702301025	125	195
17	Spectrogram 1	1	580.319366455	581.433624268	115	175
18	Spectrogram 1	1	592.297637939	592.854766846	145	235
19	Spectrogram 1	1	602.117034912	602.883087158	115	195
20	Spectrogram 1	1	708.180450439	709.085784912	125	195
21	Spectrogram 1	1	779.701873779	780.746490479	145	215
22	Spectrogram 1	1	812.293914795	812.851043701	145	215
23	Spectrogram 1	1	908.189727783	908.746856689	125	165
24	Spectrogram 1	1	927.341033936	927.758880615	165	225
25	Spectrogram 1	1	974.418426514	975.045196533	95	135
26	Spectrogram 1	1	1065.439361572	1066.275054932	115	165
27	Spectrogram 1	1	1116.416656494	1116.9737854	95	165
28	Spectrogram 1	1	1157.156707764	1158.13168335	145	245
29	Spectrogram 1	1	1182.297149658	1183.759613037	165	245
30	Spectrogram 1	1	1261.827301025	1262.454071045	65	125
31	Spectrogram 1	1	1319.350860596	1319.907989502	175	245
32	Spectrogram 1	1	1479.177215576	1480.012908936	105	125
33	Spectrogram 1	1	1489.484100342	1490.459075928	135	205
34	Spectrogram 1	1	1559.403778076	1559.682342529	75	135
35	Spectrogram 1	1	1578.764007568	1579.181854248	215	245
36	Spectrogram 1	1	1625.91104126	1626.468170166	165	235
37	Spectrogram 1	1	1646.524810791	1647.012298584	135	205
38	Spectrogram 1	1	1662.402984619	1663.029754639	95	145
39	Spectrogram 1	1	1698.407440186	1698.964569092	175	215
40	Spectrogram 1	1	1705.998321533	1706.625091553	55	165
41	Spectrogram 1	1	1708.366119385	1708.992889404	135	165
42	Spectrogram 1	1	1759.41305542	1759.900543213	195	215
43	Spectrogram 1	1	1806.699371338	1807.395782471	165	235
44	Spectrogram 1	1	1818.399078369	1818.677642822	215	235
45	Spectrogram 1	1	1821.324005127	1822.577545166	85	215
46	Spectrogram 1	1	1827.243499756	1827.661346436	185	215
47	Spectrogram 1	1	1857.04989624	1857.537384033	105	125
48	Spectrogram 1	1	1912.344940186	1912.832427979	125	175
49	Spectrogram 1	1	1957.193817139	1957.890228271	75	95
50	Spectrogram 1	1	1974.604095459	1975.439788818	185	235
51	Spectrogram 1	1	1990.621551514	1991.735809326	105	175
52	Spectrogram 1	1	2027.879547119	2028.575958252	175	245
53	Spectrogram 1	1	2123.078948975	2123.775360107	85	155
54	Spectrogram 1	1	2182.20425415	2183.03994751	55	85
55	Spectrogram 1	1	2253.098907471	2254.004241943	115	215
56	Spectrogram 1	1	2269.603851318	2270.021697998	95	115
57	Spectrogram 1	1	2286.596282959	2287.292694092	115	175
58	Spectrogram 1	1	2291.262237549	2292.097930908	45	135
59	Spectrogram 1	1	2295.510345459	2296.067474365	55	105
60	Spectrogram 1	1	2310.274261475	2311.109954834	45	115
61	Spectrogram 1	1	2373.786956787	2374.622650146	105	185
62	Spectrogram 1	1	2500.046295166	2501.090911865	175	205
63	Spectrogram 1	1	2534.170440674	2534.866851807	145	245
64	Spectrogram 1	1	2576.024749756	2577.069366455	65	165
65	Spectrogram 1	1	2593.713592529	2594.201080322	165	235
66	Spectrogram 1	1	2606.806121826	2607.502532959	115	185
67	Spectrogram 1	1	2615.232696533	2616.277313232	45	165
68	Spectrogram 1	1	2629.160919189	2629.857330322	75	115
69	Spectrogram 1	1	2634.035797119	2634.732208252	75	105
70	Spectrogram 1	1	2661.822601318	2662.519012451	75	95
71	Spectrogram 1	1	2696.573516846	2697.061004639	145	215
72	Spectrogram 1	1	2719.415802002	2720.112213135	165	225
73	Spectrogram 1	1	2784.042755127	2784.9480896	145	215
74	Spectrogram 1	1	2797.48348999	2798.597747803	195	235
75	Spectrogram 1	1	2812.038482666	2812.665252686	115	185
76	Spectrogram 1	1	2825.966705322	2826.314910889	75	105
77	Spectrogram 1	1	2832.93081665	2833.34866333	145	165
78	Spectrogram 1	1	2887.45980835	2888.086578369	125	195
79	Spectrogram 1	1	2935.930023193	2936.417510986	185	205
80	Spectrogram 1	1	2993.871429443	2994.289276123	175	195
81	Spectrogram 1	1	3038.929229736	3039.555999756	105	235
82	Spectrogram 1	1	3058.150177002	3058.916229248	135	245
83	Spectrogram 1	1	3102.581207275	3103.277618408	175	235
84	Spectrogram 1	1	3112.191680908	3112.539886475	215	245
85	Spectrogram 1	1	3185.175567627	3186.289825439	45	105
86	Spectrogram 1	1	3243.325897217	3244.02230835	185	225
87	Spectrogram 1	1	3244.579437256	3244.927642822	135	205
88	Spectrogram 1	1	3259.691558838	3260.736175537	165	245
89	Spectrogram 1	1	3425.576690674	3426.13381958	205	245
90	Spectrogram 1	1	3472.514801025	3473.350494385	75	155
91	Spectrogram 1	1	3504.340789795	3504.897918701	195	215
92	Spectrogram 1	1	3548.980743408	3549.537872314	195	245
93	Spectrogram 1	1	3612.9112854	3613.32913208	145	225
94	Spectrogram 1	1	3626.28237915	3627.048431396	145	205
95	Spectrogram 1	1	3743.558013916	3743.906219482	135	175
96	Spectrogram 1	1	3808.463531494	3809.090301514	45	105
97	Spectrogram 1	1	3837.155670166	3837.921722412	125	145
98	Spectrogram 1	1	3860.972930908	3861.669342041	85	195
99	Spectrogram 1	1	3886.670501709	3886.949066162	195	215
100	Spectrogram 1	1	3917.939361572	3918.914337158	165	185
101	Spectrogram 1	1	3922.814239502	3923.371368408	165	215
102	Spectrogram 1	1	3925.32131958	3926.087371826	125	165
103	Spectrogram 1	1	3979.989593506	3981.382415771	155	245
104	Spectrogram 1	1	4063.976776123	4065.717803955	85	155
105	Spectrogram 1	1	4078.183563232	4078.740692139	135	195
106	Spectrogram 1	1	4088.420806885	4088.838653564	75	125
107	Spectrogram 1	1	4100.886566162	4101.652618408	95	165
108	Spectrogram 1	1	4198.035919189	4198.871612549	85	125
109	Spectrogram 1	1	4303.75112915	4304.447540283	55	195
110	Spectrogram 1	1	4370.885162354	4371.511932373	85	115
111	Spectrogram 1	1	4480.360992432	4481.475250244	125	195
112	Spectrogram 1	1	4538.232757568	4539.695220947	145	215
113	Spectrogram 1	1	4551.673492432	4552.091339111	45	95
114	Spectrogram 1	1	4565.532073975	4565.810638428	125	145
115	Spectrogram 1	1	4574.655059814	4575.212188721	115	225
116	Spectrogram 1	1	4632.596466064	4633.292877197	195	245
117	Spectrogram 1	1	4679.18637085	4679.882781982	135	185
118	Spectrogram 1	1	4705.649993896	4706.973175049	145	195
119	Spectrogram 1	1	4767.49130249	4768.048431396	95	145
120	Spectrogram 1	1	4787.756866455	4788.592559814	85	185
121	Spectrogram 1	1	4797.297698975	4797.924468994	145	185
122	Spectrogram 1	1	4801.336883545	4801.685089111	135	185
123	Spectrogram 1	1	4804.470733643	4805.306427002	185	245
124	Spectrogram 1	1	4827.521942139	4828.009429932	185	245
125	Spectrogram 1	1	4883.16519165	4883.513397217	125	145
126	Spectrogram 1	1	4948.488555908	4949.115325928	95	195
127	Spectrogram 1	1	5009.981658936	5010.538787842	125	185
128	Spectrogram 1	1	5067.435577393	5067.853424072	85	105
129	Spectrogram 1	1	5100.375823975	5100.932952881	85	145
130	Spectrogram 1	1	5107.548858643	5108.245269775	185	205
131	Spectrogram 1	1	5209.5730896	5210.339141846	75	185
132	Spectrogram 1	1	5272.110809326	5272.807220459	45	115
133	Spectrogram 1	1	5300.385101318	5300.942230225	85	105
134	Spectrogram 1	1	5324.759490967	5325.734466553	185	235
135	Spectrogram 1	1	5350.874908447	5351.98916626	65	145
136	Spectrogram 1	1	5363.688873291	5364.52456665	105	195
137	Spectrogram 1	1	5372.881500244	5373.229705811	105	165
138	Spectrogram 1	1	5464.250640869	5464.668487549	95	135
139	Spectrogram 1	1	5523.236663818	5524.629486084	165	225
140	Spectrogram 1	1	5564.115997314	5564.882049561	115	185
141	Spectrogram 1	1	5623.86807251	5624.634124756	75	105
142	Spectrogram 1	1	5671.224029541	5671.850799561	105	195
143	Spectrogram 1	1	5677.491729736	5677.909576416	75	95
144	Spectrogram 1	1	5683.411224365	5684.246917725	65	165
145	Spectrogram 1	1	5697.060882568	5697.826934814	185	215
146	Spectrogram 1	1	5717.605010986	5718.231781006	185	245
147	Spectrogram 1	1	5719.624603271	5720.251373291	135	185
148	Spectrogram 1	1	5758.832550049	5759.459320068	165	245
149	Spectrogram 1	1	5766.980560303	5767.607330322	155	235
150	Spectrogram 1	1	5837.248443604	5838.362701416	65	145
151	Spectrogram 1	1	5949.997406006	5950.345611572	55	85
152	Spectrogram 1	1	6096.383026123	6097.149078369	85	205
153	Spectrogram 1	1	6128.557220459	6129.392913818	175	215
154	Spectrogram 1	1	6140.46585083	6141.301544189	115	185
155	Spectrogram 1	1	6165.049163818	6165.954498291	85	165
156	Spectrogram 1	1	6211.012298584	6211.708709717	145	235
157	Spectrogram 1	1	6213.519378662	6213.937225342	175	205
158	Spectrogram 1	1	6270.555450439	6271.321502686	155	225
159	Spectrogram 1	1	6273.828582764	6274.80355835	95	155
160	Spectrogram 1	1	6292.144195557	6292.910247803	55	105
161	Spectrogram 1	1	6369.585113525	6369.933319092	175	205
162	Spectrogram 1	1	6382.608001709	6382.956207275	95	145
163	Spectrogram 1	1	6425.576568604	6426.13369751	55	115
164	Spectrogram 1	1	6529.202545166	6529.968597412	225	245
165	Spectrogram 1	1	6555.944732666	6556.641143799	115	145
166	Spectrogram 1	1	6603.439971924	6605.041717529	185	245
167	Spectrogram 1	1	6617.15927124	6617.716400146	175	195
168	Spectrogram 1	1	6660.545684814	6661.172454834	115	155
169	Spectrogram 1	1	6724.894073486	6725.381561279	195	225
170	Spectrogram 1	1	6752.054107666	6752.750518799	65	185
171	Spectrogram 1	1	6761.316375732	6761.803863525	95	155
172	Spectrogram 1	1	6966.061248779	6966.896942139	115	145
173	Spectrogram 1	1	6981.034088135	6981.451934814	165	235
174	Spectrogram 1	1	7037.582672119	7038.279083252	115	155
175	Spectrogram 1	1	7045.173553467	7045.8699646	205	235
176	Spectrogram 1	1	7073.517486572	7074.213897705	125	195
177	Spectrogram 1	1	7135.915924072	7136.612335205	85	185
178	Spectrogram 1	1	7231.184967041	7231.672454834	105	165
179	Spectrogram 1	1	7312.2472229	7312.804351807	155	185
180	Spectrogram 1	1	7363.920928955	7364.617340088	85	175
181	Spectrogram 1	1	7368.029754639	7368.656524658	135	155
182	Spectrogram 1	1	7414.96786499	7415.664276123	185	235
183	Spectrogram 1	1	7462.254180908	7463.020233154	55	125
184	Spectrogram 1	1	7492.478424072	7493.244476318	55	195
185	Spectrogram 1	1	7523.816925049	7524.513336182	185	235
186	Spectrogram 1	1	7563.582000732	7564.069488525	195	215
187	Spectrogram 1	1	7624.378692627	7624.796539307	185	245
188	Spectrogram 1	1	7636.565887451	7637.053375244	175	205
189	Spectrogram 1	1	7687.821746826	7688.518157959	145	205
190	Spectrogram 1	1	7717.767425537	7718.67276001	95	165
191	Spectrogram 1	1	7732.949188232	7734.759857178	135	225
192	Spectrogram 1	1	7744.857818604	7746.041717529	185	245
193	Spectrogram 1	1	7753.284393311	7753.980804443	95	185
194	Spectrogram 1	1	7763.800201416	7764.566253662	105	215
195	Spectrogram 1	1	7782.951507568	7783.996124268	135	205
196	Spectrogram 1	1	7790.263824463	7790.890594482	125	235
197	Spectrogram 1	1	7792.213775635	7793.119110107	45	155
198	Spectrogram 1	1	7817.632781982	7818.607757568	85	135
199	Spectrogram 1	1	7916.732086182	7917.010650635	205	245
200	Spectrogram 1	1	7931.287078857	7932.40133667	165	245
201	Spectrogram 1	1	7951.900848389	7952.736541748	65	145
202	Spectrogram 1	1	7963.60055542	7964.088043213	175	195
203	Spectrogram 1	1	8016.87600708	8017.5027771	125	165
204	Spectrogram 1	1	8168.972198486	8170.016815186	45	105
205	Spectrogram 1	1	8177.259490967	8178.582672119	85	155
206	Spectrogram 1	1	8214.029998779	8214.308563232	135	155
207	Spectrogram 1	1	8221.4815979	8222.178009033	75	145
208	Spectrogram 1	1	8222.247650146	8222.804779053	85	185
209	Spectrogram 1	1	8229.211761475	8229.699249268	145	175
210	Spectrogram 1	1	8230.952789307	8231.649200439	125	175
211	Spectrogram 1	1	8237.568695068	8238.195465088	95	135
212	Spectrogram 1	1	8238.265106201	8238.682952881	115	155
213	Spectrogram 1	1	8245.855987549	8246.761322021	75	105
214	Spectrogram 1	1	8260.898468018	8261.455596924	105	165
215	Spectrogram 1	1	8310.343658447	8310.970428467	195	245
216	Spectrogram 1	1	8332.002044678	8332.489532471	145	225
217	Spectrogram 1	1	8363.897674561	8364.594085693	175	235
218	Spectrogram 1	1	8444.890289307	8445.3777771	45	115
219	Spectrogram 1	1	8453.734710693	8454.361480713	95	165
220	Spectrogram 1	1	8509.795806885	8510.422576904	145	175
221	Spectrogram 1	1	8512.790374756	8513.347503662	75	115
222	Spectrogram 1	1	8536.329071045	8537.025482178	145	185
223	Spectrogram 1	1	8635.219451904	8635.637298584	115	145
224	Spectrogram 1	1	8671.014984131	8671.781036377	125	195
225	Spectrogram 1	1	8685.987823486	8686.823516846	105	175
226	Spectrogram 1	1	8741.700714111	8742.536407471	85	195
227	Spectrogram 1	1	8855.703216553	8856.399627686	85	155
228	Spectrogram 1	1	8866.149383545	8866.636871338	135	155
229	Spectrogram 1	1	8909.257232666	8910.023284912	65	125
230	Spectrogram 1	1	8953.4793396	8954.175750732	195	235
231	Spectrogram 1	1	9008.983306885	9010.027923584	55	145
232	Spectrogram 1	1	9048.957305908	9049.444793701	55	85
233	Spectrogram 1	1	9059.890960693	9060.587371826	165	235
234	Spectrogram 1	1	9072.287078857	9072.77456665	175	205
235	Spectrogram 1	1	9072.98348999	9073.61026001	135	195
236	Spectrogram 1	1	9140.04788208	9140.535369873	105	125
237	Spectrogram 1	1	9175.70413208	9176.539825439	65	135
238	Spectrogram 1	1	9202.44631958	9203.769500732	75	115
239	Spectrogram 1	1	9256.069976807	9256.5574646	155	205
240	Spectrogram 1	1	9302.799163818	9303.843780518	175	225
241	Spectrogram 1	1	9377.384796143	9378.081207275	205	235
242	Spectrogram 1	1	9447.095550537	9448.20980835	185	215
243	Spectrogram 1	1	9455.731048584	9456.357818604	105	135
244	Spectrogram 1	1	9479.966156006	9480.732208252	135	215
245	Spectrogram 1	1	9505.176239014	9506.081573486	65	135
246	Spectrogram 1	1	9548.841217041	9549.955474854	135	195
247	Spectrogram 1	1	9560.332000732	9560.889129639	75	115
248	Spectrogram 1	1	9747.388031006	9748.014801025	215	235
249	Spectrogram 1	1	9775.244476318	9775.731964111	175	205
250	Spectrogram 1	1	9932.911956787	9933.60836792	205	225
251	Spectrogram 1	1	10009.099334717	10009.79574585	65	165
252	Spectrogram 1	1	10046.218048096	10046.844818115	55	95
253	Spectrogram 1	1	10119.759063721	10120.525115967	115	175
254	Spectrogram 1	1	10121.2215271	10121.917938232	85	125
255	Spectrogram 1	1	10144.063812256	10144.551300049	175	225
256	Spectrogram 1	1	10146.083404541	10146.779815674	135	155
257	Spectrogram 1	1	10250.684356689	10251.937896729	145	235
258	Spectrogram 1	1	10299.29385376	10300.408111572	75	185
259	Spectrogram 1	1	10342.471343994	10343.098114014	185	235
260	Spectrogram 1	1	10376.595489502	10376.943695068	105	165
261	Spectrogram 1	1	10397.5574646	10398.184234619	105	225
262	Spectrogram 1	1	10403.337677002	10404.173370361	135	175
263	Spectrogram 1	1	10414.96774292	10415.873077393	125	195
264	Spectrogram 1	1	10418.589080811	10419.42477417	115	155
265	Spectrogram 1	1	10435.860076904	10436.277923584	125	165
266	Spectrogram 1	1	10460.930877686	10461.766571045	145	175
267	Spectrogram 1	1	10465.736114502	10466.502166748	125	175
268	Spectrogram 1	1	10476.042999268	10476.7394104	95	155
269	Spectrogram 1	1	10533.357635498	10533.914764404	135	155
270	Spectrogram 1	1	10538.720001221	10539.207489014	85	125
271	Spectrogram 1	1	10558.846282959	10559.333770752	145	175
272	Spectrogram 1	1	10580.852874756	10581.270721436	135	195
273	Spectrogram 1	1	10626.328521729	10627.164215088	135	225
274	Spectrogram 1	1	10705.162261963	10705.858673096	85	105
275	Spectrogram 1	1	10769.510650635	10770.973114014	135	235
276	Spectrogram 1	1	10919.308685303	10919.865814209	115	205
277	Spectrogram 1	1	10938.459991455	10939.017120361	195	245
278	Spectrogram 1	1	10966.316436768	10967.361053467	115	175
279	Spectrogram 1	1	11108.941436768	11109.707489014	55	95
280	Spectrogram 1	1	11126.769561768	11127.535614014	105	125
281	Spectrogram 1	1	11169.807769775	11170.573822021	105	165
282	Spectrogram 1	1	11191.326873779	11192.580413818	125	215
283	Spectrogram 1	1	11214.517364502	11215.213775635	135	165
284	Spectrogram 1	1	11226.217071533	11227.261688232	155	175
285	Spectrogram 1	1	11236.454315186	11237.150726318	175	215
286	Spectrogram 1	1	11242.652374268	11243.209503174	95	225
287	Spectrogram 1	1	11249.616485596	11250.312896729	105	135
288	Spectrogram 1	1	11286.874481201	11287.640533447	115	185
289	Spectrogram 1	1	11288.058380127	11288.615509033	135	155
290	Spectrogram 1	1	11309.020355225	11309.647125244	185	215
291	Spectrogram 1	1	11328.519866943	11329.07699585	85	145
292	Spectrogram 1	1	11364.593963623	11365.220733643	45	105
293	Spectrogram 1	1	11395.51461792	11396.141387939	145	205
294	Spectrogram 1	1	11429.986968994	11430.613739014	85	125
295	Spectrogram 1	1	11435.21005249	11435.976104736	45	165
296	Spectrogram 1	1	11441.268829346	11442.661651611	75	165
297	Spectrogram 1	1	11484.86416626	11485.908782959	135	235
298	Spectrogram 1	1	11599.772003174	11600.607696533	155	195
299	Spectrogram 1	1	11602.070159912	11602.905853271	45	135
300	Spectrogram 1	1	11665.165008545	11666.000701904	65	155
301	Spectrogram 1	1	11732.438323975	11733.274017334	175	215
302	Spectrogram 1	1	11794.279632568	11794.836761475	215	245
303	Spectrogram 1	1	11825.896697998	11826.593109131	145	225
304	Spectrogram 1	1	11895.398529053	11895.955657959	145	185
305	Spectrogram 1	1	11910.858856201	11911.415985107	135	195
306	Spectrogram 1	1	11941.988433838	11942.336639404	175	205
