Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	39.068634033	39.486480713	90	135
2	Spectrogram 1	1	190.886260986	191.721954346	90	135
3	Spectrogram 1	1	206.068023682	206.764434814	90	135
4	Spectrogram 1	1	408.862945557	409.628997803	90	135
5	Spectrogram 1	1	720.437286377	721.203338623	90	135
6	Spectrogram 1	1	1083.058563232	1083.963897705	90	135
7	Spectrogram 1	1	1156.738861084	1157.50491333	90	135
8	Spectrogram 1	1	1857.189178467	1857.537384033	90	135
9	Spectrogram 1	1	2030.525909424	2031.361602783	90	135
10	Spectrogram 1	1	2282.069610596	2282.557098389	90	135
11	Spectrogram 1	1	2347.671539307	2348.298309326	90	135
12	Spectrogram 1	1	2366.404998779	2367.240692139	90	135
13	Spectrogram 1	1	4946.817169189	4947.235015869	90	135
14	Spectrogram 1	1	5155.601226807	5156.0887146	90	135
15	Spectrogram 1	1	5470.309417725	5470.727264404	90	135
16	Spectrogram 1	1	7071.358612061	7071.846099854	90	135
17	Spectrogram 1	1	7162.658111572	7163.145599365	90	135
18	Spectrogram 1	1	7959.213165283	7959.770294189	90	135
19	Spectrogram 1	1	8301.290313721	8302.33493042	90	135
20	Spectrogram 1	1	10424.369293213	10425.065704346	90	135
21	Spectrogram 1	1	10428.965606689	10429.383453369	90	135
22	Spectrogram 1	1	11764.194671631	11764.960723877	90	135
23	Spectrogram 1	1	12426.412017822	12426.899505615	90	135
24	Spectrogram 1	1	13883.164825439	13883.513031006	90	135
25	Spectrogram 1	1	14104.136077881	14104.832489014	90	135
26	Spectrogram 1	1	15714.865386963	15715.422515869	90	135
27	Spectrogram 1	1	15820.371673584	15820.92880249	90	135
28	Spectrogram 1	1	15833.394561768	15833.742767334	90	135
29	Spectrogram 1	1	16293.79196167	16294.349090576	90	135
30	Spectrogram 1	1	16896.396514893	16896.884002686	90	135
31	Spectrogram 1	1	19195.876434326	19196.572845459	90	135
32	Spectrogram 1	1	19274.9190979	19275.476226807	90	135
33	Spectrogram 1	1	19446.305877686	19447.211212158	90	135
34	Spectrogram 1	1	19547.285491943	19547.84262085	90	135
