Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Spectrogram 1	1	22.494049072	22.842254639	105	150	TP
2	Spectrogram 1	1	38.99899292	39.486480713	75	135	FP
3	Spectrogram 1	1	53.484344482	53.902191162	180	210	FP
4	Spectrogram 1	1	83.221099854	83.638946533	60	105	FP
5	Spectrogram 1	1	160.313812256	160.801300049	135	210	FP
6	Spectrogram 1	1	206.416229248	206.764434814	105	135	FP
7	Spectrogram 1	1	249.524078369	250.220489502	75	150	FP
8	Spectrogram 1	1	268.675384521	269.441436768	75	120	FP
9	Spectrogram 1	1	316.797393799	318.050933838	105	210	TP
10	Spectrogram 1	1	322.786529541	323.552581787	60	105	FP
11	Spectrogram 1	1	359.069549561	359.974884033	90	150	FP
12	Spectrogram 1	1	364.36227417	364.849761963	120	165	TP
13	Spectrogram 1	1	377.31552124	378.011932373	75	120	FP
14	Spectrogram 1	1	408.862945557	409.628997803	90	165	FP
4	Spectrogram 1	1	419.830478302	421.165221349	114	240.7	FN
15	Spectrogram 1	1	446.747711182	447.235198975	120	165	TP
6	Spectrogram 1	1	522.300828535	523.487266799	58.7	199.3	TP
17	Spectrogram 1	1	556.4324646	557.268157959	75	120	TP
8	Spectrogram 1	1	577.04235245	578.483027485	65.6	194.7	FN
9	Spectrogram 1	1	607.262684881	608.555055133	63.3	176.2	FN
18	Spectrogram 1	1	720.437286377	721.203338623	90	135	TP
11	Spectrogram 1	1	744.593188614	746.139795637	63.3	160.1	FN
12	Spectrogram 1	1	915.838926412	917.406719833	61	187.7	FN
19	Spectrogram 1	1	1075.676605225	1076.512298584	45	90	FP
20	Spectrogram 1	1	1083.058563232	1083.963897705	90	135	FP
13	Spectrogram 1	1	1156.042321933	1158.118588895	47.2	215.4	TP
14	Spectrogram 1	1	1180.766939454	1182.567783248	72.5	203.9	FN
22	Spectrogram 1	1	1181.809661865	1182.366790771	120	165	TP
15	Spectrogram 1	1	1199.177918946	1200.745712366	56.4	173.9	FN
16	Spectrogram 1	1	1488.910984578	1490.20335483	54.1	199.3	FN
23	Spectrogram 1	1	1489.623382568	1490.389434814	150	195	TP
17	Spectrogram 1	1	1522.758440481	1524.156742721	88.7	206.2	FN
24	Spectrogram 1	1	1523.468963623	1523.956451416	150	195	TP
25	Spectrogram 1	1	1562.6769104	1563.442962646	45	105	TP
18	Spectrogram 1	1	1562.88135007	1564.27965231	74.8	208.5	FN
19	Spectrogram 1	1	1782.648279352	1784.32200476	44.9	194.7	FN
20	Spectrogram 1	1	1832.940604301	1833.99992418	72.5	194.7	FN
26	Spectrogram 1	1	1857.189178467	1857.537384033	90	135	FP
27	Spectrogram 1	1	1911.091400146	1911.787811279	75	120	FP
28	Spectrogram 1	1	2030.525909424	2031.361602783	90	135	FP
21	Spectrogram 1	1	2091.915148072	2093.059213541	58.7	222.3	FN
29	Spectrogram 1	1	2095.988555908	2096.684967041	60	105	FP
30	Spectrogram 1	1	2282.069610596	2282.557098389	90	135	FP
22	Spectrogram 1	1	2338.351593966	2339.304981857	70.2	206.2	TP
32	Spectrogram 1	1	2347.671539307	2348.298309326	90	135	FP
33	Spectrogram 1	1	2366.404998779	2367.240692139	75	135	FP
