Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Waveform 1	1	22.309276645	23.029614163	88.7	180.8	FN
2	Waveform 1	1	316.936400117	318.186397574	102.5	243.0	FN
3	Waveform 1	1	364.050820906	365.491495941	86.4	226.9	FN
4	Waveform 1	1	419.830478302	421.165221349	114.0	240.7	FN
5	Waveform 1	1	446.279631965	447.741493398	81.7	217.7	FN
6	Waveform 1	1	522.300828535	523.487266799	58.7	199.3	FN
7	Waveform 1	1	556.432464600	557.546722412	67.0	226.0	TP
8	Waveform 1	1	577.185516357	577.673004150	67.0	226.0	TP
9	Waveform 1	1	607.262684881	608.555055133	63.3	176.2	FN
10	Waveform 1	1	720.410979492	721.385553780	56.4	162.4	FN
11	Waveform 1	1	744.593188614	746.139795637	63.3	160.1	FN
12	Waveform 1	1	915.838926412	917.406719833	61.0	187.7	FN
13	Waveform 1	1	1038.766815186	1039.393585205	67.0	226.0	FP
14	Waveform 1	1	1105.204437256	1105.761566162	67.0	226.0	FP
15	Waveform 1	1	1156.042321933	1158.118588895	47.2	215.4	FN
16	Waveform 1	1	1180.766939454	1182.567783248	72.5	203.9	FN
17	Waveform 1	1	1199.177918946	1200.745712366	56.4	173.9	FN
18	Waveform 1	1	1488.910984578	1490.203354830	54.1	199.3	FN
19	Waveform 1	1	1522.758440481	1524.156742721	88.7	206.2	FN
20	Waveform 1	1	1562.881350070	1564.279652310	74.8	208.5	FN
21	Waveform 1	1	1782.648279352	1784.322004760	44.9	194.7	FN
22	Waveform 1	1	1832.940604301	1833.999924180	72.5	194.7	FN
23	Waveform 1	1	2049.677215576	2051.348602295	67.0	226.0	FP
24	Waveform 1	1	2091.915148072	2093.059213541	58.7	222.3	FN
25	Waveform 1	1	2338.351593966	2339.304981857	70.2	206.2	FN
26	Waveform 1	1	2373.665160788	2374.533803089	65.6	183.1	FN
27	Waveform 1	1	2380.054984400	2380.965999496	79.4	185.4	FN
28	Waveform 1	1	2393.474503555	2394.152468277	79.4	178.5	FN
29	Waveform 1	1	2463.275787354	2464.459686279	67.0	226.0	FP
30	Waveform 1	1	2542.309221171	2544.088878567	70.2	208.5	FN
