Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy	Frame Duration	Reason
1	Waveform 1	1	2.298126221	4.248077393	67.0	226.0	0.1071	28	Too long
1	Spectrogram 1	1	2.298126221	4.248077393	67.0	226.0	0.1071	28	Too long
2	Waveform 1	1	11.072906494	11.142547607	67.0	226.0	1.0000	1	Too short
2	Spectrogram 1	1	11.072906494	11.142547607	67.0	226.0	1.0000	1	Too short
3	Waveform 1	1	14.485321045	18.106658936	67.0	226.0	0.1538	52	Too long
3	Spectrogram 1	1	14.485321045	18.106658936	67.0	226.0	0.1538	52	Too long
4	Waveform 1	1	32.243804932	32.313446045	67.0	226.0	1.0000	1	Too short
4	Spectrogram 1	1	32.243804932	32.313446045	67.0	226.0	1.0000	1	Too short
5	Waveform 1	1	35.934783936	36.004425049	67.0	226.0	1.0000	1	Too short
5	Spectrogram 1	1	35.934783936	36.004425049	67.0	226.0	1.0000	1	Too short
6	Waveform 1	1	39.068634033	39.486480713	67.0	226.0	0.5000	6	Too short
6	Spectrogram 1	1	39.068634033	39.486480713	67.0	226.0	0.5000	6	Too short
7	Waveform 1	1	43.595306396	44.082794189	67.0	226.0	0.5714	7	Detection
7	Spectrogram 1	1	43.595306396	44.082794189	67.0	226.0	0.5714	7	Detection
8	Waveform 1	1	47.634490967	54.528961182	67.0	226.0	0.3737	99	Too long
8	Spectrogram 1	1	47.634490967	54.528961182	67.0	226.0	0.3737	99	Too long
9	Waveform 1	1	59.821685791	60.239532471	67.0	226.0	0.8333	6	Too short
9	Spectrogram 1	1	59.821685791	60.239532471	67.0	226.0	0.8333	6	Too short
10	Waveform 1	1	65.810821533	66.646514893	67.0	226.0	0.5833	12	Detection
10	Spectrogram 1	1	65.810821533	66.646514893	67.0	226.0	0.5833	12	Detection
11	Waveform 1	1	72.148162842	72.287445068	67.0	226.0	1.0000	2	Too short
11	Spectrogram 1	1	72.148162842	72.287445068	67.0	226.0	1.0000	2	Too short
12	Waveform 1	1	80.853302002	83.499664307	67.0	226.0	0.2105	38	Too long
12	Spectrogram 1	1	80.853302002	83.499664307	67.0	226.0	0.2105	38	Too long
13	Waveform 1	1	87.678131104	89.349517822	67.0	226.0	0.2083	24	Detection
13	Spectrogram 1	1	87.678131104	89.349517822	67.0	226.0	0.2083	24	Detection
14	Waveform 1	1	96.870758057	102.720611572	67.0	226.0	0.3690	84	Too long
14	Spectrogram 1	1	96.870758057	102.720611572	67.0	226.0	0.3690	84	Too long
15	Waveform 1	1	108.988311768	116.230987549	67.0	226.0	0.1058	104	Too long
15	Spectrogram 1	1	108.988311768	116.230987549	67.0	226.0	0.1058	104	Too long
16	Waveform 1	1	122.637969971	123.404022217	67.0	226.0	0.2727	11	Detection
16	Spectrogram 1	1	122.637969971	123.404022217	67.0	226.0	0.2727	11	Detection
17	Waveform 1	1	127.373565674	127.930694580	67.0	226.0	0.2500	8	Detection
17	Spectrogram 1	1	127.373565674	127.930694580	67.0	226.0	0.2500	8	Detection
18	Waveform 1	1	131.134185791	131.900238037	67.0	226.0	0.6364	11	Detection
18	Spectrogram 1	1	131.134185791	131.900238037	67.0	226.0	0.6364	11	Detection
19	Waveform 1	1	137.262603760	138.167938232	67.0	226.0	0.3077	13	Detection
19	Spectrogram 1	1	137.262603760	138.167938232	67.0	226.0	0.3077	13	Detection
20	Waveform 1	1	146.873077393	147.778411865	67.0	226.0	0.6154	13	Detection
20	Spectrogram 1	1	146.873077393	147.778411865	67.0	226.0	0.6154	13	Detection
21	Waveform 1	1	155.230010986	159.756683350	67.0	226.0	0.2308	65	Too long
21	Spectrogram 1	1	155.230010986	159.756683350	67.0	226.0	0.2308	65	Too long
22	Waveform 1	1	163.586944580	163.656585693	67.0	226.0	1.0000	1	Too short
22	Spectrogram 1	1	163.586944580	163.656585693	67.0	226.0	1.0000	1	Too short
23	Waveform 1	1	170.481414795	172.501007080	67.0	226.0	0.1724	29	Too long
23	Spectrogram 1	1	170.481414795	172.501007080	67.0	226.0	0.1724	29	Too long
24	Waveform 1	1	182.807891846	187.125640869	67.0	226.0	0.5000	62	Too long
24	Spectrogram 1	1	182.807891846	187.125640869	67.0	226.0	0.5000	62	Too long
25	Waveform 1	1	191.234466553	191.373748779	67.0	226.0	1.0000	2	Too short
25	Spectrogram 1	1	191.234466553	191.373748779	67.0	226.0	1.0000	2	Too short
26	Waveform 1	1	195.830780029	196.736114502	67.0	226.0	0.4615	13	Detection
26	Spectrogram 1	1	195.830780029	196.736114502	67.0	226.0	0.4615	13	Detection
27	Waveform 1	1	204.605560303	206.694793701	67.0	226.0	0.2333	30	Too long
27	Spectrogram 1	1	204.605560303	206.694793701	67.0	226.0	0.2333	30	Too long
28	Waveform 1	1	212.126800537	213.658905029	67.0	226.0	0.2273	22	Detection
28	Spectrogram 1	1	212.126800537	213.658905029	67.0	226.0	0.2273	22	Detection
29	Waveform 1	1	216.792755127	226.263946533	67.0	226.0	0.2353	136	Too long
29	Spectrogram 1	1	216.792755127	226.263946533	67.0	226.0	0.2353	136	Too long
30	Waveform 1	1	231.138824463	238.590423584	67.0	226.0	0.1495	107	Too long
30	Spectrogram 1	1	231.138824463	238.590423584	67.0	226.0	0.1495	107	Too long
31	Waveform 1	1	248.131256104	249.941925049	67.0	226.0	0.2308	26	Too long
31	Spectrogram 1	1	248.131256104	249.941925049	67.0	226.0	0.2308	26	Too long
32	Waveform 1	1	253.632904053	254.816802979	67.0	226.0	0.4706	17	Detection
32	Spectrogram 1	1	253.632904053	254.816802979	67.0	226.0	0.4706	17	Detection
33	Waveform 1	1	259.343475342	270.277130127	67.0	226.0	0.1338	157	Too long
33	Spectrogram 1	1	259.343475342	270.277130127	67.0	226.0	0.1338	157	Too long
34	Waveform 1	1	277.101959229	280.792938232	67.0	226.0	0.0943	53	Too long
34	Spectrogram 1	1	277.101959229	280.792938232	67.0	226.0	0.0943	53	Too long
35	Waveform 1	1	287.617767334	290.124847412	67.0	226.0	0.1667	36	Too long
35	Spectrogram 1	1	287.617767334	290.124847412	67.0	226.0	0.1667	36	Too long
36	Waveform 1	1	294.164031982	296.462188721	67.0	226.0	0.1818	33	Too long
36	Spectrogram 1	1	294.164031982	296.462188721	67.0	226.0	0.1818	33	Too long
37	Waveform 1	1	303.287017822	312.270721436	67.0	226.0	0.1628	129	Too long
37	Spectrogram 1	1	303.287017822	312.270721436	67.0	226.0	0.1628	129	Too long
38	Waveform 1	1	319.025909424	322.856170654	67.0	226.0	0.1091	55	Too long
38	Spectrogram 1	1	319.025909424	322.856170654	67.0	226.0	0.1091	55	Too long
39	Waveform 1	1	327.939971924	331.770233154	67.0	226.0	0.1091	55	Too long
39	Spectrogram 1	1	327.939971924	331.770233154	67.0	226.0	0.1091	55	Too long
40	Waveform 1	1	339.709320068	346.255584717	67.0	226.0	0.2128	94	Too long
40	Spectrogram 1	1	339.709320068	346.255584717	67.0	226.0	0.2128	94	Too long
41	Waveform 1	1	351.060821533	353.428619385	67.0	226.0	0.5882	34	Too long
41	Spectrogram 1	1	351.060821533	353.428619385	67.0	226.0	0.5882	34	Too long
42	Waveform 1	1	359.487396240	361.019500732	67.0	226.0	0.3182	22	Detection
42	Spectrogram 1	1	359.487396240	361.019500732	67.0	226.0	0.3182	22	Detection
43	Waveform 1	1	368.053253174	371.883514404	67.0	226.0	0.6182	55	Too long
43	Spectrogram 1	1	368.053253174	371.883514404	67.0	226.0	0.6182	55	Too long
44	Waveform 1	1	377.524444580	377.594085693	67.0	226.0	1.0000	1	Too short
44	Spectrogram 1	1	377.524444580	377.594085693	67.0	226.0	1.0000	1	Too short
45	Waveform 1	1	381.842193604	382.051116943	67.0	226.0	1.0000	3	Too short
45	Spectrogram 1	1	381.842193604	382.051116943	67.0	226.0	1.0000	3	Too short
46	Waveform 1	1	385.951019287	391.034820557	67.0	226.0	0.1370	73	Too long
46	Spectrogram 1	1	385.951019287	391.034820557	67.0	226.0	0.1370	73	Too long
47	Waveform 1	1	396.118621826	402.873809814	67.0	226.0	0.1649	97	Too long
47	Spectrogram 1	1	396.118621826	402.873809814	67.0	226.0	0.1649	97	Too long
48	Waveform 1	1	406.912994385	407.052276611	67.0	226.0	1.0000	2	Too short
48	Spectrogram 1	1	406.912994385	407.052276611	67.0	226.0	1.0000	2	Too short
49	Waveform 1	1	410.603973389	415.618133545	67.0	226.0	0.1528	72	Too long
49	Spectrogram 1	1	410.603973389	415.618133545	67.0	226.0	0.1528	72	Too long
50	Waveform 1	1	420.423370361	420.980499268	67.0	226.0	0.8750	8	Detection
50	Spectrogram 1	1	420.423370361	420.980499268	67.0	226.0	0.8750	8	Detection
51	Waveform 1	1	426.064300537	426.342864990	67.0	226.0	1.0000	4	Too short
51	Spectrogram 1	1	426.064300537	426.342864990	67.0	226.0	1.0000	4	Too short
52	Waveform 1	1	434.142669678	438.947906494	67.0	226.0	0.4348	69	Too long
52	Spectrogram 1	1	434.142669678	438.947906494	67.0	226.0	0.4348	69	Too long
53	Waveform 1	1	444.379913330	450.020843506	67.0	226.0	0.1235	81	Too long
53	Spectrogram 1	1	444.379913330	450.020843506	67.0	226.0	0.1235	81	Too long
54	Waveform 1	1	461.929473877	464.993682861	67.0	226.0	0.0455	44	Too long
