Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram	1	131.412750244	132.109161377	85	225
2	Spectrogram	1	189.145233154	189.702362061	45	185
3	Spectrogram	1	226.751434326	227.378204346	125	225
4	Spectrogram	1	397.650726318	398.973907471	45	205
5	Spectrogram	1	439.992523193	440.619293213	105	225
6	Spectrogram	1	467.779327393	468.475738525	125	185
7	Spectrogram	1	480.45401001	481.080780029	85	225
8	Spectrogram	1	708.319732666	708.807220459	45	225
9	Spectrogram	1	821.834747314	822.252593994	125	225
10	Spectrogram	1	1155.206756592	1155.624603271	45	125
11	Spectrogram	1	1695.134307861	1695.621795654	45	205
12	Spectrogram	1	1867.287139893	1868.192474365	45	225
13	Spectrogram	1	1886.925933838	1887.343780518	65	125
14	Spectrogram	1	1943.335235596	1944.031646729	125	205
15	Spectrogram	1	1980.314666748	1981.150360107	85	165
16	Spectrogram	1	2011.722808838	2012.628143311	45	145
17	Spectrogram	1	2143.414154053	2144.667694092	85	185
18	Spectrogram	1	2206.648284912	2207.483978271	65	165
19	Spectrogram	1	2273.294830322	2274.060882568	85	165
20	Spectrogram	1	2295.371063232	2296.137115479	45	225
21	Spectrogram	1	2577.487213135	2577.974700928	65	185
22	Spectrogram	1	2589.813690186	2590.510101318	45	225
23	Spectrogram	1	2773.805511475	2774.501922607	125	205
24	Spectrogram	1	2839.477081299	2840.103851318	145	205
25	Spectrogram	1	2927.921295166	2928.687347412	65	205
26	Spectrogram	1	2947.560089111	2948.395782471	85	205
27	Spectrogram	1	3104.949005127	3105.297210693	165	225
28	Spectrogram	1	3696.132415771	3696.828826904	125	225
29	Spectrogram	1	3868.912017822	3869.956634521	105	165
30	Spectrogram	1	3986.535858154	3987.232269287	105	165
31	Spectrogram	1	4223.73348999	4224.15133667	45	125
32	Spectrogram	1	4301.731536865	4302.427947998	125	205
33	Spectrogram	1	4347.833953857	4348.669647217	45	145
34	Spectrogram	1	4635.173187256	4635.939239502	45	165
35	Spectrogram	1	4862.203216553	4863.108551025	65	205
36	Spectrogram	1	4892.984588623	4893.611358643	145	205
37	Spectrogram	1	4988.532196045	4989.089324951	65	205
38	Spectrogram	1	5046.543243408	5047.170013428	45	125
39	Spectrogram	1	5170.852630615	5171.549041748	125	205
40	Spectrogram	1	5262.569976807	5263.266387939	45	185
41	Spectrogram	1	5574.283599854	5575.119293213	105	185
42	Spectrogram	1	5627.280487061	5627.837615967	65	165
43	Spectrogram	1	5697.757293701	5698.453704834	105	185
44	Spectrogram	1	6991.132049561	6991.75881958	105	165
45	Spectrogram	1	7068.851531982	7069.478302002	65	165
46	Spectrogram	1	7114.257537842	7114.814666748	85	165
47	Spectrogram	1	7194.901947021	7195.250152588	105	225
48	Spectrogram	1	7255.420074463	7255.907562256	65	145
49	Spectrogram	1	7366.428009033	7366.985137939	45	205
50	Spectrogram	1	7691.51272583	7692.418060303	105	225
51	Spectrogram	1	8155.879669189	8156.227874756	45	125
52	Spectrogram	1	8416.407073975	8417.521331787	45	225
53	Spectrogram	1	8440.154693604	8440.781463623	145	225
54	Spectrogram	1	8726.936798096	8727.633209229	85	225
55	Spectrogram	1	8830.144927979	8830.493133545	105	165
56	Spectrogram	1	8938.088653564	8938.645782471	125	185
57	Spectrogram	1	9000.138885498	9000.696014404	105	225
58	Spectrogram	1	9005.431610107	9005.849456787	85	205
59	Spectrogram	1	9424.671112061	9425.367523193	105	225
60	Spectrogram	1	9554.34286499	9555.17855835	45	225
61	Spectrogram	1	9728.724212646	9729.629547119	85	225
62	Spectrogram	1	10035.980804443	10036.607574463	85	225
63	Spectrogram	1	10241.56137085	10242.605987549	45	205
64	Spectrogram	1	10330.005584717	10330.771636963	45	185
65	Spectrogram	1	10567.621063232	10568.178192139	45	185
66	Spectrogram	1	10635.172943115	10635.730072021	105	225
67	Spectrogram	1	10748.61831665	10749.314727783	105	185
68	Spectrogram	1	10788.592315674	10789.14944458	45	105
69	Spectrogram	1	10876.061553955	10876.897247314	45	185
70	Spectrogram	1	11052.601776123	11053.367828369	45	105
71	Spectrogram	1	11163.95791626	11164.306121826	145	225
72	Spectrogram	1	11307.627532959	11308.184661865	105	205
73	Spectrogram	1	11358.117340088	11358.604827881	45	225
74	Spectrogram	1	11454.500640869	11455.475616455	45	105
75	Spectrogram	1	11513.138458252	11514.113433838	65	205
76	Spectrogram	1	11738.566741943	11739.193511963	85	165
77	Spectrogram	1	11802.706207275	11803.541900635	105	185
78	Spectrogram	1	11883.489898682	11884.186309814	105	225
79	Spectrogram	1	12024.095306396	12024.652435303	65	125
80	Spectrogram	1	12071.938751221	12072.913726807	105	225
81	Spectrogram	1	12095.68637085	12096.382781982	145	225
82	Spectrogram	1	12126.8855896	12127.303436279	45	205
83	Spectrogram	1	12132.944366455	12133.640777588	85	165
84	Spectrogram	1	12160.522247314	12161.218658447	125	225
85	Spectrogram	1	12163.238250732	12163.865020752	125	205
86	Spectrogram	1	12341.867706299	12342.564117432	85	225
87	Spectrogram	1	12496.40133667	12497.237030029	45	165
88	Spectrogram	1	12591.879302979	12592.297149658	65	165
89	Spectrogram	1	12605.668243408	12605.946807861	125	185
90	Spectrogram	1	12626.003448486	12626.699859619	85	185
91	Spectrogram	1	12688.680450439	12689.516143799	125	225
92	Spectrogram	1	12705.46395874	12706.021087646	65	145
93	Spectrogram	1	12791.470733643	12792.376068115	45	205
94	Spectrogram	1	12930.265472412	12931.101165771	45	225
95	Spectrogram	1	12953.038116455	12953.804168701	85	225
96	Spectrogram	1	13214.470855713	13215.027984619	45	105
97	Spectrogram	1	13225.056304932	13225.822357178	45	225
98	Spectrogram	1	13421.722808838	13422.628143311	85	205
99	Spectrogram	1	13537.884185791	13538.510955811	105	185
100	Spectrogram	1	13604.809295654	13605.366424561	45	225
101	Spectrogram	1	13613.723358154	13614.210845947	105	225
102	Spectrogram	1	13651.399200439	13652.095611572	105	145
103	Spectrogram	1	13686.985809326	13687.682220459	105	205
104	Spectrogram	1	13829.680450439	13830.446502686	45	205
105	Spectrogram	1	13947.234649658	13947.791778564	85	205
106	Spectrogram	1	14060.122894287	14061.02822876	85	165
107	Spectrogram	1	14128.510467529	14129.067596436	45	125
108	Spectrogram	1	14415.292572021	14416.058624268	105	185
109	Spectrogram	1	14482.078399658	14482.705169678	105	165
110	Spectrogram	1	14610.566253662	14611.262664795	85	225
111	Spectrogram	1	15059.263946533	15059.751434326	165	225
112	Spectrogram	1	15087.886444092	15088.513214111	145	205
113	Spectrogram	1	15424.46194458	15425.0887146	85	225
114	Spectrogram	1	15544.662506104	15545.080352783	45	125
115	Spectrogram	1	15700.728240967	15701.633575439	125	185
116	Spectrogram	1	16073.099273682	16073.726043701	45	205
117	Spectrogram	1	16089.464935303	16090.300628662	105	185
118	Spectrogram	1	16102.209259033	16103.114593506	45	225
119	Spectrogram	1	16193.787322998	16194.414093018	65	205
120	Spectrogram	1	16340.312225342	16340.869354248	85	225
121	Spectrogram	1	16373.39175415	16374.43637085	45	125
122	Spectrogram	1	16378.545196533	16379.032684326	65	225
123	Spectrogram	1	16493.94052124	16494.845855713	65	185
124	Spectrogram	1	16569.50112915	16569.988616943	65	185
125	Spectrogram	1	16833.023101807	16834.137359619	105	185
126	Spectrogram	1	16865.336578369	16866.241912842	45	225
127	Spectrogram	1	16886.9949646	16887.691375732	105	185
128	Spectrogram	1	16918.820953369	16919.795928955	85	165
129	Spectrogram	1	16922.163726807	16922.720855713	45	185
130	Spectrogram	1	16947.373809814	16947.930938721	145	225
131	Spectrogram	1	17002.45993042	17003.086700439	125	225
132	Spectrogram	1	17598.100372314	17598.796783447	45	225
133	Spectrogram	1	17827.21963501	17827.637481689	85	145
134	Spectrogram	1	18782.974273682	18783.670684814	105	225
135	Spectrogram	1	19198.801361084	19199.428131104	145	205
136	Spectrogram	1	19325.826751709	19326.314239502	85	225
