Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	35.238372803	35.725860596	67	226
2	Spectrogram 1	1	60.86630249	62.050201416	67	226
3	Spectrogram 1	1	85.449615479	86.424591064	67	226
4	Spectrogram 1	1	151.260467529	152.722930908	67	226
5	Spectrogram 1	1	241.306427002	242.281402588	67	226
6	Spectrogram 1	1	329.889923096	330.795257568	67	226
7	Spectrogram 1	1	357.816009521	358.860626221	67	226
8	Spectrogram 1	1	367.705047607	368.749664307	67	226
9	Spectrogram 1	1	397.441802979	398.764984131	67	226
10	Spectrogram 1	1	428.641021729	429.615997314	67	226
11	Spectrogram 1	1	467.640045166	468.823944092	67	226
12	Spectrogram 1	1	674.961639404	676.702667236	67	226
13	Spectrogram 1	1	904.011260986	904.777313232	67	226
14	Spectrogram 1	1	973.861297607	974.76663208	67	226
15	Spectrogram 1	1	1004.781951904	1005.478363037	67	226
16	Spectrogram 1	1	1052.903961182	1053.391448975	67	226
17	Spectrogram 1	1	1359.046295166	1359.533782959	67	226
18	Spectrogram 1	1	1508.426483154	1509.40145874	67	226
19	Spectrogram 1	1	1710.17678833	1710.664276123	67	226
20	Spectrogram 1	1	1899.948822021	1901.272003174	67	226
21	Spectrogram 1	1	1980.314666748	1981.220001221	67	226
22	Spectrogram 1	1	2038.395355225	2039.161407471	67	226
23	Spectrogram 1	1	2100.793792725	2101.908050537	67	226
24	Spectrogram 1	1	2218.208709717	2219.114044189	67	226
25	Spectrogram 1	1	2291.471160889	2292.515777588	67	226
26	Spectrogram 1	1	2330.261260986	2331.723724365	67	226
27	Spectrogram 1	1	2385.765228271	2386.740203857	67	226
28	Spectrogram 1	1	2436.951446533	2438.413909912	67	226
29	Spectrogram 1	1	2731.25479126	2732.229766846	67	226
30	Spectrogram 1	1	2838.711029053	2839.964569092	67	226
31	Spectrogram 1	1	2880.147491455	2881.609954834	67	226
32	Spectrogram 1	1	4076.372894287	4076.999664307	67	226
33	Spectrogram 1	1	4204.930389404	4205.417877197	67	226
34	Spectrogram 1	1	4424.71774292	4425.762359619	67	226
35	Spectrogram 1	1	4440.735198975	4441.710174561	67	226
36	Spectrogram 1	1	5084.288726807	5085.194061279	67	226
37	Spectrogram 1	1	6239.495513916	6240.052642822	67	226
38	Spectrogram 1	1	6372.718963623	6373.415374756	67	226
39	Spectrogram 1	1	6638.539093018	6639.026580811	67	226
40	Spectrogram 1	1	6828.520050049	6829.146820068	67	226
41	Spectrogram 1	1	7138.283721924	7138.980133057	67	226
42	Spectrogram 1	1	7271.367889404	7271.855377197	67	226
43	Spectrogram 1	1	7348.73916626	7350.062347412	67	226
44	Spectrogram 1	1	8086.238555908	8087.074249268	67	226
45	Spectrogram 1	1	8130.460662842	8131.505279541	67	226
46	Spectrogram 1	1	8149.751251221	8150.935150146	67	226
47	Spectrogram 1	1	8159.70993042	8160.336700439	67	226
48	Spectrogram 1	1	8171.061431885	8171.827484131	67	226
49	Spectrogram 1	1	8182.343292236	8183.457550049	67	226
50	Spectrogram 1	1	8194.460845947	8195.017974854	67	226
51	Spectrogram 1	1	8217.65133667	8218.347747803	67	226
52	Spectrogram 1	1	8223.222625732	8224.058319092	67	226
53	Spectrogram 1	1	8318.770233154	8319.675567627	67	226
54	Spectrogram 1	1	8421.212310791	8422.88369751	67	226
55	Spectrogram 1	1	8427.619293213	8429.012115479	67	226
56	Spectrogram 1	1	8460.211334229	8461.325592041	67	226
57	Spectrogram 1	1	8671.781036377	8673.522064209	67	226
58	Spectrogram 1	1	8695.319732666	8696.712554932	67	226
59	Spectrogram 1	1	8762.593048096	8763.985870361	67	226
60	Spectrogram 1	1	8887.668487549	8888.922027588	67	226
61	Spectrogram 1	1	8974.093109131	8975.76449585	67	226
62	Spectrogram 1	1	9098.332855225	9100.073883057	67	226
63	Spectrogram 1	1	9195.412567139	9196.805389404	67	226
64	Spectrogram 1	1	9553.437530518	9554.899993896	67	226
65	Spectrogram 1	1	9599.818511963	9601.211334229	67	226
66	Spectrogram 1	1	9670.573883057	9672.314910889	67	226
67	Spectrogram 1	1	9879.775787354	9881.307891846	67	226
68	Spectrogram 1	1	10037.303985596	10038.627166748	67	226
69	Spectrogram 1	1	10086.818817139	10088.350921631	67	226
70	Spectrogram 1	1	10211.685333252	10213.217437744	67	226
71	Spectrogram 1	1	10241.909576416	10243.163116455	67	226
72	Spectrogram 1	1	10346.580169678	10347.555145264	67	226
73	Spectrogram 1	1	10352.917510986	10353.892486572	67	226
74	Spectrogram 1	1	10505.779754639	10507.242218018	67	226
75	Spectrogram 1	1	10636.078277588	10637.81930542	67	226
76	Spectrogram 1	1	10660.174102783	10661.845489502	67	226
77	Spectrogram 1	1	10807.6043396	10809.275726318	67	226
78	Spectrogram 1	1	11052.601776123	11054.203521729	67	226
79	Spectrogram 1	1	11092.64541626	11094.247161865	67	226
80	Spectrogram 1	1	11188.193023682	11189.376922607	67	226
81	Spectrogram 1	1	11460.280853271	11461.325469971	67	226
82	Spectrogram 1	1	11611.193145752	11612.655609131	67	226
83	Spectrogram 1	1	11648.590423584	11649.843963623	67	226
84	Spectrogram 1	1	11817.679046631	11818.166534424	67	226
85	Spectrogram 1	1	11828.334136963	11829.726959229	67	226
86	Spectrogram 1	1	11882.584564209	11884.255950928	67	226
87	Spectrogram 1	1	16624.099761963	16625.631866455	67	226
88	Spectrogram 1	1	16650.633026123	16651.329437256	67	226
89	Spectrogram 1	1	16801.823883057	16802.659576416	67	226
90	Spectrogram 1	1	16832.814178467	16833.928436279	67	226
91	Spectrogram 1	1	16886.925323486	16887.691375732	67	226
92	Spectrogram 1	1	16918.890594482	16919.656646729	67	226
93	Spectrogram 1	1	17036.932281494	17037.767974854	67	226
94	Spectrogram 1	1	17375.388092041	17376.084503174	67	226
95	Spectrogram 1	1	17470.308929443	17471.074981689	67	226
96	Spectrogram 1	1	17921.374420166	17922.349395752	67	226
97	Spectrogram 1	1	18072.843841553	18073.331329346	67	226
98	Spectrogram 1	1	18266.933624268	18267.490753174	67	226
99	Spectrogram 1	1	18301.614898682	18302.311309814	67	226
100	Spectrogram 1	1	18494.033294678	18495.286834717	67	226
101	Spectrogram 1	1	18592.018341064	18592.575469971	67	226
102	Spectrogram 1	1	18685.894561768	18686.730255127	67	226
103	Spectrogram 1	1	19031.105560303	19032.707305908	67	226
104	Spectrogram 1	1	19201.865570068	19202.353057861	67	226
