Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	226.751434326	227.378204346	125	225
2	Spectrogram 1	1	397.650726318	398.973907471	45	205
3	Spectrogram 1	1	467.779327393	468.475738525	125	185
4	Spectrogram 1	1	821.834747314	822.252593994	125	225
5	Spectrogram 1	1	1155.206756592	1155.624603271	45	125
6	Spectrogram 1	1	1502.994476318	1503.342681885	105	145
7	Spectrogram 1	1	1886.925933838	1887.343780518	65	125
8	Spectrogram 1	1	1943.335235596	1944.031646729	125	205
9	Spectrogram 1	1	1980.314666748	1981.150360107	85	165
10	Spectrogram 1	1	2011.722808838	2012.628143311	45	145
11	Spectrogram 1	1	2143.414154053	2144.667694092	85	185
12	Spectrogram 1	1	2206.648284912	2207.483978271	65	165
13	Spectrogram 1	1	2273.294830322	2274.060882568	85	165
14	Spectrogram 1	1	2773.805511475	2774.501922607	125	205
15	Spectrogram 1	1	2839.477081299	2840.103851318	145	205
16	Spectrogram 1	1	2946.167266846	2946.863677979	105	165
17	Spectrogram 1	1	2947.560089111	2948.395782471	85	205
18	Spectrogram 1	1	3104.949005127	3105.297210693	165	225
19	Spectrogram 1	1	3696.132415771	3696.828826904	125	225
20	Spectrogram 1	1	3868.912017822	3869.956634521	105	165
21	Spectrogram 1	1	3986.535858154	3987.232269287	105	165
22	Spectrogram 1	1	4223.73348999	4224.15133667	45	125
23	Spectrogram 1	1	4301.731536865	4302.427947998	125	205
24	Spectrogram 1	1	4347.833953857	4348.669647217	45	145
25	Spectrogram 1	1	4635.173187256	4635.939239502	45	165
26	Spectrogram 1	1	4862.203216553	4863.108551025	65	205
27	Spectrogram 1	1	4892.984588623	4893.611358643	145	205
28	Spectrogram 1	1	5046.543243408	5047.170013428	45	125
29	Spectrogram 1	1	5170.852630615	5171.549041748	125	205
30	Spectrogram 1	1	5174.961456299	5175.309661865	125	225
31	Spectrogram 1	1	5574.283599854	5575.119293213	105	185
32	Spectrogram 1	1	5627.280487061	5627.837615967	65	165
33	Spectrogram 1	1	5697.757293701	5698.453704834	105	185
34	Spectrogram 1	1	6463.043487549	6463.530975342	125	185
35	Spectrogram 1	1	6991.132049561	6991.75881958	105	165
36	Spectrogram 1	1	7068.851531982	7069.478302002	65	165
37	Spectrogram 1	1	7114.257537842	7114.814666748	85	165
38	Spectrogram 1	1	7137.935516357	7139.04977417	85	165
39	Spectrogram 1	1	7194.901947021	7195.250152588	105	225
40	Spectrogram 1	1	7255.420074463	7255.907562256	65	145
41	Spectrogram 1	1	7296.438690186	7297.483306885	45	125
42	Spectrogram 1	1	7691.51272583	7692.418060303	105	225
43	Spectrogram 1	1	8155.879669189	8156.227874756	45	125
44	Spectrogram 1	1	8217.999542236	8218.417388916	105	165
45	Spectrogram 1	1	8416.407073975	8417.312408447	45	145
46	Spectrogram 1	1	8440.154693604	8440.781463623	145	225
47	Spectrogram 1	1	8830.144927979	8830.493133545	105	165
48	Spectrogram 1	1	8938.088653564	8938.645782471	125	185
49	Spectrogram 1	1	9066.646148682	9067.551483154	105	225
50	Spectrogram 1	1	9553.437530518	9554.273223877	85	125
51	Spectrogram 1	1	10635.172943115	10635.730072021	105	225
52	Spectrogram 1	1	10748.61831665	10749.314727783	105	185
53	Spectrogram 1	1	10788.592315674	10789.14944458	45	105
54	Spectrogram 1	1	11052.601776123	11053.367828369	45	105
55	Spectrogram 1	1	11163.95791626	11164.306121826	145	225
56	Spectrogram 1	1	11307.627532959	11308.184661865	105	205
57	Spectrogram 1	1	11454.500640869	11455.475616455	45	105
58	Spectrogram 1	1	11738.566741943	11739.193511963	85	165
59	Spectrogram 1	1	11788.847625732	11789.474395752	145	205
60	Spectrogram 1	1	11802.706207275	11803.541900635	105	185
61	Spectrogram 1	1	12024.095306396	12024.652435303	65	125
62	Spectrogram 1	1	12071.938751221	12072.913726807	105	225
63	Spectrogram 1	1	12095.68637085	12096.382781982	145	225
64	Spectrogram 1	1	12132.944366455	12133.640777588	85	165
65	Spectrogram 1	1	12160.522247314	12161.218658447	125	225
66	Spectrogram 1	1	12163.238250732	12163.865020752	125	205
67	Spectrogram 1	1	12591.879302979	12592.297149658	65	165
68	Spectrogram 1	1	12605.668243408	12605.946807861	125	185
69	Spectrogram 1	1	12626.003448486	12626.699859619	85	185
70	Spectrogram 1	1	12688.680450439	12689.516143799	125	225
71	Spectrogram 1	1	12705.46395874	12706.021087646	65	145
