Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	75.212371826	75.490936279	135	165
2	Spectrogram 1	1	131.691314697	131.96987915	135	165
3	Spectrogram 1	1	375.017364502	375.713775635	135	165
4	Spectrogram 1	1	398.068572998	398.625701904	135	165
5	Spectrogram 1	1	467.988250732	468.406097412	135	165
6	Spectrogram 1	1	1110.427520752	1110.706085205	135	165
7	Spectrogram 1	1	1146.431976318	1146.780181885	135	165
8	Spectrogram 1	1	1867.356781006	1867.983551025	135	165
9	Spectrogram 1	1	1900.575592041	1901.132720947	135	165
10	Spectrogram 1	1	1943.335235596	1943.962005615	135	165
11	Spectrogram 1	1	1980.732513428	1981.150360107	135	165
12	Spectrogram 1	1	2101.281280518	2101.629486084	135	165
13	Spectrogram 1	1	2143.971282959	2144.458770752	135	165
14	Spectrogram 1	1	2183.945281982	2184.502410889	135	165
15	Spectrogram 1	1	2218.556915283	2219.114044189	135	165
16	Spectrogram 1	1	2248.781158447	2249.338287354	135	165
17	Spectrogram 1	1	2386.322357178	2386.670562744	135	165
18	Spectrogram 1	1	2773.944793701	2774.501922607	135	165
19	Spectrogram 1	1	2880.843902588	2881.192108154	135	165
20	Spectrogram 1	1	3010.654937744	3011.072784424	135	165
21	Spectrogram 1	1	3477.598602295	3478.503936768	135	165
22	Spectrogram 1	1	3900.320159912	3900.738006592	135	165
23	Spectrogram 1	1	4793.815643311	4794.303131104	135	165
24	Spectrogram 1	1	4927.526580811	4927.94442749	135	165
25	Spectrogram 1	1	5158.944000244	5159.361846924	135	165
26	Spectrogram 1	1	5170.852630615	5171.131195068	135	165
27	Spectrogram 1	1	5188.402191162	5188.820037842	135	165
28	Spectrogram 1	1	5698.105499268	5698.384063721	135	165
29	Spectrogram 1	1	6560.123199463	6560.610687256	135	165
30	Spectrogram 1	1	6638.817657471	6639.096221924	135	165
31	Spectrogram 1	1	6991.3409729	6991.619537354	135	165
32	Spectrogram 1	1	7138.562286377	7138.980133057	135	165
33	Spectrogram 1	1	7949.115203857	7949.533050537	135	165
34	Spectrogram 1	1	8086.656402588	8086.934967041	135	165
35	Spectrogram 1	1	8101.211395264	8101.55960083	135	165
36	Spectrogram 1	1	8182.761138916	8183.039703369	135	165
37	Spectrogram 1	1	8624.216156006	8624.494720459	135	165
38	Spectrogram 1	1	9099.307830811	9100.14352417	135	165
39	Spectrogram 1	1	9126.050018311	9126.746429443	135	165
40	Spectrogram 1	1	9590.765167236	9591.113372803	135	165
41	Spectrogram 1	1	10037.721832275	10038.348602295	135	165
42	Spectrogram 1	1	10087.445587158	10088.350921631	135	165
43	Spectrogram 1	1	10242.536346436	10243.163116455	135	165
44	Spectrogram 1	1	10506.406524658	10507.311859131	135	165
45	Spectrogram 1	1	10661.079437256	10661.775848389	135	165
46	Spectrogram 1	1	10715.120941162	10715.399505615	135	165
47	Spectrogram 1	1	11266.399993896	11267.026763916	135	165
48	Spectrogram 1	1	11312.850616455	11313.477386475	135	165
49	Spectrogram 1	1	11412.855255127	11413.203460693	135	165
50	Spectrogram 1	1	11611.889556885	11612.655609131	135	165
51	Spectrogram 1	1	11905.287567139	11906.123260498	135	165
52	Spectrogram 1	1	12071.799468994	12072.56552124	135	165
53	Spectrogram 1	1	12093.806060791	12094.084625244	135	165
54	Spectrogram 1	1	12118.110809326	12118.667938232	135	165
55	Spectrogram 1	1	12140.883453369	12141.440582275	135	165
56	Spectrogram 1	1	12160.661529541	12161.079376221	135	165
57	Spectrogram 1	1	12412.065948486	12412.483795166	135	165
58	Spectrogram 1	1	12505.942169189	12506.638580322	135	165
59	Spectrogram 1	1	12539.648468018	12540.34487915	135	165
60	Spectrogram 1	1	12626.282012939	12626.769500732	135	165
61	Spectrogram 1	1	12647.383270264	12648.14932251	135	165
62	Spectrogram 1	1	12685.128753662	12685.476959229	135	165
