Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	13.510345459	13.928192139	150	180
2	Spectrogram 1	1	75.282012939	75.560577393	150	180
3	Spectrogram 1	1	131.691314697	132.039520264	150	180
4	Spectrogram 1	1	375.017364502	375.713775635	150	180
5	Spectrogram 1	1	398.207855225	398.625701904	150	180
6	Spectrogram 1	1	428.989227295	429.755279541	150	180
7	Spectrogram 1	1	467.988250732	468.406097412	150	180
8	Spectrogram 1	1	1867.496063232	1868.192474365	150	180
9	Spectrogram 1	1	1943.544158936	1943.962005615	150	180
10	Spectrogram 1	1	1980.871795654	1981.220001221	150	180
11	Spectrogram 1	1	2101.281280518	2101.629486084	150	180
12	Spectrogram 1	1	2144.110565186	2144.667694092	150	180
13	Spectrogram 1	1	2184.084564209	2184.502410889	150	180
14	Spectrogram 1	1	2218.69619751	2219.114044189	150	180
15	Spectrogram 1	1	2515.994110107	2516.342315674	150	180
16	Spectrogram 1	1	2774.014434814	2774.432281494	150	180
17	Spectrogram 1	1	2839.616363525	2839.964569092	150	180
18	Spectrogram 1	1	2880.913543701	2881.192108154	150	180
19	Spectrogram 1	1	3286.712310791	3287.199798584	150	180
20	Spectrogram 1	1	3869.678070068	3869.956634521	150	180
21	Spectrogram 1	1	4577.788909912	4578.137115479	150	180
22	Spectrogram 1	1	4612.609466553	4612.957672119	150	180
23	Spectrogram 1	1	4927.665863037	4927.94442749	150	180
24	Spectrogram 1	1	5541.412994385	5541.761199951	150	180
25	Spectrogram 1	1	5698.175140381	5698.453704834	150	180
26	Spectrogram 1	1	7949.115203857	7949.60269165	150	180
27	Spectrogram 1	1	8086.656402588	8086.934967041	150	180
28	Spectrogram 1	1	8140.976470947	8141.2550354	150	180
29	Spectrogram 1	1	8228.863555908	8229.211761475	150	180
30	Spectrogram 1	1	8449.20803833	8449.556243896	150	180
31	Spectrogram 1	1	8652.977935791	8653.81362915	150	180
32	Spectrogram 1	1	8930.706695557	8931.612030029	150	180
33	Spectrogram 1	1	9099.447113037	9100.14352417	150	180
34	Spectrogram 1	1	9281.558624268	9282.46395874	150	180
35	Spectrogram 1	1	9600.445281982	9601.141693115	150	180
36	Spectrogram 1	1	10087.515228271	10088.350921631	150	180
37	Spectrogram 1	1	10242.745269775	10243.163116455	150	180
38	Spectrogram 1	1	10506.406524658	10507.311859131	150	180
39	Spectrogram 1	1	10808.370391846	10809.136444092	150	180
40	Spectrogram 1	1	11361.669036865	11362.504730225	150	180
41	Spectrogram 1	1	11393.495025635	11393.982513428	150	180
42	Spectrogram 1	1	11611.889556885	11612.655609131	150	180
43	Spectrogram 1	1	11649.077911377	11649.843963623	150	180
44	Spectrogram 1	1	12072.008392334	12072.635162354	150	180
45	Spectrogram 1	1	12141.022735596	12141.440582275	150	180
46	Spectrogram 1	1	12480.035675049	12480.592803955	150	180
47	Spectrogram 1	1	12506.151092529	12506.568939209	150	180
48	Spectrogram 1	1	12539.648468018	12540.066314697	150	180
49	Spectrogram 1	1	12626.212371826	12626.630218506	150	180
50	Spectrogram 1	1	12647.52255249	12648.14932251	150	180
51	Spectrogram 1	1	12689.028656006	12689.376861572	150	180
52	Spectrogram 1	1	12726.843780518	12727.122344971	150	180
53	Spectrogram 1	1	12733.877532959	12734.225738525	150	180
54	Spectrogram 1	1	12985.142669678	12985.560516357	150	180
55	Spectrogram 1	1	13059.867584229	13060.355072021	150	180
56	Spectrogram 1	1	13414.062286377	13414.480133057	150	180
57	Spectrogram 1	1	13447.350738525	13447.698944092	150	180
58	Spectrogram 1	1	13687.055450439	13687.682220459	150	180
59	Spectrogram 1	1	13908.6534729	13909.558807373	150	180
60	Spectrogram 1	1	14052.183807373	14052.740936279	150	180
61	Spectrogram 1	1	14283.531585693	14283.87979126	150	180
62	Spectrogram 1	1	14415.710418701	14415.988983154	150	180
63	Spectrogram 1	1	14426.08694458	14426.365509033	150	180
64	Spectrogram 1	1	14482.287322998	14482.705169678	150	180
65	Spectrogram 1	1	14763.637420654	14764.055267334	150	180
66	Spectrogram 1	1	14797.831207275	14798.249053955	150	180
67	Spectrogram 1	1	15198.964019775	15199.590789795	150	180
68	Spectrogram 1	1	15554.272979736	15554.690826416	150	180
69	Spectrogram 1	1	15580.806243896	15581.363372803	150	180
70	Spectrogram 1	1	16090.022064209	16090.300628662	150	180
71	Spectrogram 1	1	16142.601104736	16142.949310303	150	180
72	Spectrogram 1	1	16285.574310303	16285.992156982	150	180
73	Spectrogram 1	1	16582.175811768	16582.593658447	150	180
74	Spectrogram 1	1	16625.283660889	16625.701507568	150	180
75	Spectrogram 1	1	16802.31137085	16802.659576416	150	180
76	Spectrogram 1	1	16833.371307373	16833.928436279	150	180
77	Spectrogram 1	1	16866.102630615	16866.590118408	150	180
78	Spectrogram 1	1	16887.343170166	16887.691375732	150	180
79	Spectrogram 1	1	16919.308441162	16920.074493408	150	180
80	Spectrogram 1	1	16966.316192627	16966.59475708	150	180
81	Spectrogram 1	1	17295.370452881	17295.927581787	150	180
82	Spectrogram 1	1	18072.843841553	18073.400970459	150	180
83	Spectrogram 1	1	18151.7472229	18152.304351807	150	180
84	Spectrogram 1	1	18374.320220947	18375.086273193	150	180
85	Spectrogram 1	1	18494.93862915	18495.286834717	150	180
86	Spectrogram 1	1	18539.230377197	18539.578582764	150	180
87	Spectrogram 1	1	18755.674957275	18756.023162842	150	180
88	Spectrogram 1	1	19874.877288818	19875.225494385	150	180
89	Spectrogram 1	1	19907.469329834	19907.747894287	150	180
90	Spectrogram 1	1	19944.239837646	19944.657684326	150	180
91	Spectrogram 1	1	20004.131195068	20004.409759521	150	180
92	Spectrogram 1	1	20095.63961792	20095.987823486	150	180
93	Spectrogram 1	1	20606.596466064	20607.014312744	150	180
94	Spectrogram 1	1	20700.054840088	20700.890533447	150	180
95	Spectrogram 1	1	21057.592315674	21057.94052124	150	180
