Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	11.978240967	12.6746521	105	145
2	Spectrogram 1	1	20.474456787	21.519073486	145	175
3	Spectrogram 1	1	29.597442627	30.154571533	145	205
4	Spectrogram 1	1	47.634490967	48.3309021	145	225
5	Spectrogram 1	1	69.641082764	70.40713501	155	225
6	Spectrogram 1	1	81.410430908	82.106842041	185	235
7	Spectrogram 1	1	134.198394775	135.034088135	185	225
8	Spectrogram 1	1	233.645904541	234.69052124	165	235
9	Spectrogram 1	1	235.874420166	236.501190186	155	205
10	Spectrogram 1	1	258.298858643	259.413116455	45	95
11	Spectrogram 1	1	269.511077881	270.1378479	155	205
12	Spectrogram 1	1	278.982269287	279.817962646	215	245
13	Spectrogram 1	1	403.8487854	404.47555542	165	195
14	Spectrogram 1	1	433.028411865	433.446258545	125	175
15	Spectrogram 1	1	441.524627686	442.151397705	45	85
16	Spectrogram 1	1	447.165557861	447.931610107	135	205
17	Spectrogram 1	1	449.324432373	449.951202393	85	105
18	Spectrogram 1	1	455.661773682	456.009979248	155	175
19	Spectrogram 1	1	499.396392822	499.953521729	85	125
20	Spectrogram 1	1	521.054779053	522.656524658	135	185
21	Spectrogram 1	1	543.409576416	544.105987549	165	195
22	Spectrogram 1	1	573.703460693	573.982025146	175	195
23	Spectrogram 1	1	601.211700439	601.559906006	95	125
24	Spectrogram 1	1	609.359710693	609.986480713	95	135
25	Spectrogram 1	1	629.416351318	629.834197998	115	175
26	Spectrogram 1	1	632.410919189	633.107330322	135	165
27	Spectrogram 1	1	667.44039917	668.415374756	125	215
28	Spectrogram 1	1	676.006256104	676.702667236	85	145
29	Spectrogram 1	1	680.463287354	681.090057373	95	125
30	Spectrogram 1	1	712.637481689	712.985687256	215	245
31	Spectrogram 1	1	725.17288208	725.59072876	55	95
32	Spectrogram 1	1	737.986846924	738.75289917	155	225
33	Spectrogram 1	1	771.484222412	772.180633545	195	245
34	Spectrogram 1	1	792.515838623	793.351531982	175	205
35	Spectrogram 1	1	880.890411377	881.58682251	85	155
36	Spectrogram 1	1	932.773040771	933.887298584	145	195
37	Spectrogram 1	1	944.472747803	945.238800049	175	215
38	Spectrogram 1	1	959.515228271	960.141998291	195	245
39	Spectrogram 1	1	967.245391846	968.081085205	195	245
40	Spectrogram 1	1	1070.801727295	1071.289215088	185	215
41	Spectrogram 1	1	1094.410064697	1094.827911377	115	165
42	Spectrogram 1	1	1173.870574951	1174.636627197	75	145
43	Spectrogram 1	1	1176.656219482	1177.561553955	165	215
44	Spectrogram 1	1	1188.216644287	1188.49520874	135	185
45	Spectrogram 1	1	1189.748748779	1190.584442139	65	145
46	Spectrogram 1	1	1216.282012939	1216.769500732	135	205
47	Spectrogram 1	1	1246.22769165	1246.85446167	145	195
48	Spectrogram 1	1	1247.899078369	1248.177642822	115	135
49	Spectrogram 1	1	1300.12991333	1300.687042236	215	245
50	Spectrogram 1	1	1302.149505615	1302.845916748	165	205
51	Spectrogram 1	1	1335.716522217	1336.482574463	65	125
52	Spectrogram 1	1	1368.378204346	1369.144256592	55	115
53	Spectrogram 1	1	1380.843963623	1381.401092529	185	215
