Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	131.552032471	132.039520264	90	180
2	Spectrogram 1	1	397.441802979	398.973907471	75	210
3	Spectrogram 1	1	467.779327393	468.475738525	120	195
4	Spectrogram 1	1	1867.078216553	1868.192474365	105	210
5	Spectrogram 1	1	1943.195953369	1943.962005615	105	180
6	Spectrogram 1	1	1980.593231201	1981.220001221	120	180
7	Spectrogram 1	1	2143.692718506	2144.667694092	105	195
8	Spectrogram 1	1	2183.805999756	2184.502410889	105	180
9	Spectrogram 1	1	2218.347991943	2219.114044189	105	195
10	Spectrogram 1	1	2773.318023682	2774.501922607	60	210
11	Spectrogram 1	1	2947.211883545	2948.117218018	60	135
12	Spectrogram 1	1	5697.826934814	5698.453704834	105	180
13	Spectrogram 1	1	6559.705352783	6560.610687256	90	165
14	Spectrogram 1	1	6991.132049561	6991.619537354	105	165
15	Spectrogram 1	1	7138.283721924	7138.980133057	90	165
16	Spectrogram 1	1	7949.115203857	7949.672332764	135	225
17	Spectrogram 1	1	8008.031585693	8008.936920166	60	135
18	Spectrogram 1	1	8318.770233154	8319.675567627	60	120
19	Spectrogram 1	1	8411.810760498	8412.367889404	180	240
20	Spectrogram 1	1	8428.037139893	8428.733551025	165	240
21	Spectrogram 1	1	8710.710418701	8711.406829834	60	120
22	Spectrogram 1	1	8762.593048096	8763.568023682	75	135
23	Spectrogram 1	1	8930.706695557	8931.820953369	150	240
24	Spectrogram 1	1	9099.168548584	9100.14352417	120	180
25	Spectrogram 1	1	9125.701812744	9127.09463501	105	225
26	Spectrogram 1	1	9461.5809021	9462.555877686	45	105
27	Spectrogram 1	1	9912.994598389	9913.969573975	45	120
28	Spectrogram 1	1	10241.909576416	10242.814910889	45	120
29	Spectrogram 1	1	10242.327423096	10243.232757568	120	180
30	Spectrogram 1	1	10427.433502197	10428.33883667	45	120
31	Spectrogram 1	1	11454.500640869	11455.545257568	45	120
32	Spectrogram 1	1	11702.074798584	11702.910491943	45	105
33	Spectrogram 1	1	12160.522247314	12161.079376221	90	165
34	Spectrogram 1	1	12505.802886963	12506.638580322	90	180
35	Spectrogram 1	1	12626.003448486	12626.769500732	90	180
36	Spectrogram 1	1	12647.243988037	12648.14932251	105	180
37	Spectrogram 1	1	12984.864105225	12985.560516357	105	180
38	Spectrogram 1	1	13059.658660889	13060.355072021	105	180
39	Spectrogram 1	1	13115.023345947	13115.789398193	90	165
40	Spectrogram 1	1	13447.141815186	13447.698944092	105	180
41	Spectrogram 1	1	13651.468841553	13652.095611572	105	165
42	Spectrogram 1	1	14051.90524292	14052.740936279	135	195
43	Spectrogram 1	1	14481.939117432	14482.705169678	75	180
44	Spectrogram 1	1	14763.358856201	14764.055267334	120	180
45	Spectrogram 1	1	14937.461639404	14938.575897217	90	150
46	Spectrogram 1	1	15046.449981689	15047.355316162	90	165
47	Spectrogram 1	1	15328.287567139	15329.401824951	60	120
48	Spectrogram 1	1	15553.785491943	15554.690826416	90	180
49	Spectrogram 1	1	15872.184661865	15872.881072998	75	165
50	Spectrogram 1	1	16089.604217529	16090.439910889	105	180
51	Spectrogram 1	1	16141.62612915	16142.67074585	90	150
52	Spectrogram 1	1	16369.9793396	16371.023956299	75	150
53	Spectrogram 1	1	16582.106170654	16582.593658447	135	195
54	Spectrogram 1	1	16624.865814209	16625.701507568	90	180
55	Spectrogram 1	1	16801.823883057	16802.659576416	105	180
56	Spectrogram 1	1	16832.88381958	16834.067718506	75	195
57	Spectrogram 1	1	16886.925323486	16887.691375732	105	195
58	Spectrogram 1	1	17375.248809814	17376.014862061	90	165
59	Spectrogram 1	1	17921.583343506	17922.349395752	105	165
60	Spectrogram 1	1	18266.933624268	18267.560394287	90	150
61	Spectrogram 1	1	18494.660064697	18495.35647583	120	180
