Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	131.552032471	131.96987915	90	135
2	Spectrogram 1	1	397.441802979	398.277496338	90	135
3	Spectrogram 1	1	1900.088104248	1900.854156494	90	135
4	Spectrogram 1	1	2947.560089111	2948.117218018	90	135
5	Spectrogram 1	1	6559.705352783	6560.332122803	90	135
6	Spectrogram 1	1	8008.031585693	8008.936920166	90	135
7	Spectrogram 1	1	8041.528961182	8042.295013428	90	135
8	Spectrogram 1	1	8182.761138916	8183.596832275	90	135
9	Spectrogram 1	1	8762.662689209	8763.568023682	90	135
10	Spectrogram 1	1	9982.774993896	9983.541046143	90	135
11	Spectrogram 1	1	12605.528961182	12605.946807861	90	135
12	Spectrogram 1	1	12626.003448486	12626.769500732	90	135
13	Spectrogram 1	1	12733.807891846	12734.365020752	90	135
14	Spectrogram 1	1	13152.977752686	13153.674163818	90	135
15	Spectrogram 1	1	13237.800628662	13238.497039795	90	135
16	Spectrogram 1	1	13855.58694458	13856.492279053	90	135
17	Spectrogram 1	1	14481.939117432	14482.426605225	90	135
18	Spectrogram 1	1	14937.461639404	14938.297332764	90	135
19	Spectrogram 1	1	15553.785491943	15554.481903076	90	135
20	Spectrogram 1	1	15872.184661865	15872.811431885	90	135
21	Spectrogram 1	1	15924.833343506	15925.669036865	90	135
22	Spectrogram 1	1	16141.62612915	16142.67074585	90	135
23	Spectrogram 1	1	16624.865814209	16625.422943115	90	135
24	Spectrogram 1	1	16832.88381958	16833.5105896	90	135
25	Spectrogram 1	1	16918.820953369	16919.517364502	90	135
26	Spectrogram 1	1	17036.792999268	17037.4894104	90	135
27	Spectrogram 1	1	17375.248809814	17375.805938721	90	135
28	Spectrogram 1	1	18266.933624268	18267.421112061	90	135
29	Spectrogram 1	1	19527.925262451	19528.552032471	90	135
30	Spectrogram 1	1	19849.527923584	19850.154693604	90	135
31	Spectrogram 1	1	20200.797698975	20201.354827881	90	135
32	Spectrogram 1	1	20479.710357666	20480.546051025	90	135
