Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	meantime	detectionType
2	Spectrogram 1	1	397.650726318	398.973907471	45	205	398.3123168945	TP
3	Spectrogram 1	1	467.779327393	468.475738525	125	185	468.127532959	TP
8	Spectrogram 1	1	1943.335235596	1944.031646729	125	205	1943.6834411625	TP
9	Spectrogram 1	1	1980.314666748	1981.150360107	85	165	1980.7325134275	TP
10	Spectrogram 1	1	2011.722808838	2012.628143311	45	145	2012.1754760745	TP
11	Spectrogram 1	1	2143.414154053	2144.667694092	85	185	2144.0409240725	TP
14	Spectrogram 1	1	2773.805511475	2774.501922607	125	205	2774.153717041	TP
15	Spectrogram 1	1	2839.477081299	2840.103851318	145	205	2839.7904663085	TP
17	Spectrogram 1	1	2947.560089111	2948.395782471	85	205	2947.977935791	TP
20	Spectrogram 1	1	3868.912017822	3869.956634521	105	165	3869.4343261715	TP
21	Spectrogram 1	1	3986.535858154	3987.232269287	105	165	3986.8840637205	TP
24	Spectrogram 1	1	4347.833953857	4348.669647217	45	145	4348.251800537	TP
26	Spectrogram 1	1	4862.203216553	4863.108551025	65	205	4862.655883789	TP
29	Spectrogram 1	1	5170.852630615	5171.549041748	125	205	5171.2008361815	TP
32	Spectrogram 1	1	5627.280487061	5627.837615967	65	165	5627.559051514	TP
33	Spectrogram 1	1	5697.757293701	5698.453704834	105	185	5698.1054992675	TP
35	Spectrogram 1	1	6991.132049561	6991.75881958	105	165	6991.4454345705	TP
38	Spectrogram 1	1	7137.935516357	7139.04977417	85	165	7138.4926452635	TP
45	Spectrogram 1	1	8416.407073975	8417.312408447	45	145	8416.859741211	TP
50	Spectrogram 1	1	9553.437530518	9554.273223877	85	125	9553.8553771975	TP
54	Spectrogram 1	1	11052.601776123	11053.367828369	45	105	11052.984802246	TP
57	Spectrogram 1	1	11454.500640869	11455.475616455	45	105	11454.988128662	TP
58	Spectrogram 1	1	11738.566741943	11739.193511963	85	165	11738.880126953	TP
60	Spectrogram 1	1	11802.706207275	11803.541900635	105	185	11803.124053955	TP
62	Spectrogram 1	1	12071.938751221	12072.913726807	105	225	12072.426239014	TP
65	Spectrogram 1	1	12160.522247314	12161.218658447	125	225	12160.8704528805	TP
66	Spectrogram 1	1	12163.238250732	12163.865020752	125	205	12163.551635742	TP
69	Spectrogram 1	1	12626.003448486	12626.699859619	85	185	12626.3516540525	TP
70	Spectrogram 1	1	12688.680450439	12689.516143799	125	225	12689.098297119	TP
72	Spectrogram 1	1	12952.202423096	12953.177398682	105	185	12952.689910889	TP
78	Spectrogram 1	1	13651.399200439	13652.095611572	105	145	13651.7474060055	TP
79	Spectrogram 1	1	13686.985809326	13687.682220459	105	205	13687.3340148925	TP
83	Spectrogram 1	1	14482.078399658	14482.705169678	105	165	14482.391784668	TP
87	Spectrogram 1	1	15700.728240967	15701.633575439	125	185	15701.180908203	TP
90	Spectrogram 1	1	16089.464935303	16090.300628662	105	185	16089.8827819825	TP
93	Spectrogram 1	1	16833.023101807	16834.137359619	105	185	16833.580230713	TP
94	Spectrogram 1	1	16886.9949646	16887.691375732	105	185	16887.343170166	TP
95	Spectrogram 1	1	16918.820953369	16919.795928955	85	165	16919.308441162	TP
