Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Spectrogram 1	1	11.652518666	12.563533761	61	176.2	TP
2	Spectrogram 1	1	13.283871279	14.427936748	127.8	224.6	FN
2	Spectrogram 1	1	20.474456787	21.519073486	145	175	FP
3	Spectrogram 1	1	29.597442627	30.154571533	145	205	FP
4	Spectrogram 1	1	47.634490967	48.3309021	145	225	FP
5	Spectrogram 1	1	69.641082764	70.40713501	155	225	FP
3	Spectrogram 1	1	75.080465586	76.033853477	114	222.3	FN
6	Spectrogram 1	1	81.410430908	82.106842041	185	235	FP
7	Spectrogram 1	1	134.198394775	135.034088135	185	225	FP
4	Spectrogram 1	1	221.326254247	222.110150957	91	199.3	FN
8	Spectrogram 1	1	233.645904541	234.69052124	165	235	FP
9	Spectrogram 1	1	235.874420166	236.501190186	155	205	FP
10	Spectrogram 1	1	258.298858643	259.413116455	45	95	FP
5	Spectrogram 1	1	262.542327019	263.728765283	74.8	206.2	FN
11	Spectrogram 1	1	269.511077881	270.1378479	155	205	FP
12	Spectrogram 1	1	278.982269287	279.817962646	215	245	FP
6	Spectrogram 1	1	397.245717453	398.834697271	56.4	229.2	FN
13	Spectrogram 1	1	403.8487854	404.47555542	165	195	FP
7	Spectrogram 1	1	428.271132992	429.711808027	61	201.6	FN
14	Spectrogram 1	1	433.028411865	433.446258545	125	175	FP
15	Spectrogram 1	1	441.524627686	442.151397705	45	85	FP
16	Spectrogram 1	1	447.165557861	447.931610107	135	205	FP
17	Spectrogram 1	1	449.324432373	449.951202393	85	105	FP
18	Spectrogram 1	1	455.661773682	456.009979248	155	175	FP
8	Spectrogram 1	1	467.44065469	468.648279352	65.6	215.4	FN
19	Spectrogram 1	1	499.396392822	499.953521729	85	125	FP
20	Spectrogram 1	1	521.054779053	522.656524658	135	185	FP
21	Spectrogram 1	1	543.409576416	544.105987549	165	195	FP
9	Spectrogram 1	1	547.939377787	549.484829188	57.5	165.6	FN
22	Spectrogram 1	1	573.703460693	573.982025146	175	195	FP
23	Spectrogram 1	1	601.211700439	601.559906006	95	125	FP
24	Spectrogram 1	1	609.359710693	609.986480713	95	135	FP
25	Spectrogram 1	1	629.416351318	629.834197998	115	175	TP
10	Spectrogram 1	1	629.515134191	630.818161843	60.2	184.5	FN
26	Spectrogram 1	1	632.410919189	633.107330322	135	165	FP
27	Spectrogram 1	1	667.44039917	668.415374756	125	215	FP
11	Spectrogram 1	1	675.242368818	676.606002407	79.1	203.4	FN
28	Spectrogram 1	1	676.006256104	676.702667236	85	145	TP
29	Spectrogram 1	1	680.463287354	681.090057373	95	125	FP
30	Spectrogram 1	1	712.637481689	712.985687256	215	245	FP
31	Spectrogram 1	1	725.17288208	725.59072876	55	95	FP
32	Spectrogram 1	1	737.986846924	738.75289917	155	225	FP
33	Spectrogram 1	1	771.484222412	772.180633545	195	245	FP
34	Spectrogram 1	1	792.515838623	793.351531982	175	205	FP
12	Spectrogram 1	1	834.969652272	836.484800705	52.1	181.8	FN
13	Spectrogram 1	1	879.36361121	880.363609175	76.4	149.4	FN
35	Spectrogram 1	1	880.890411377	881.58682251	85	155	FP
14	Spectrogram 1	1	903.727252937	904.99997762	57.5	173.7	FN
36	Spectrogram 1	1	932.773040771	933.887298584	145	195	FP
15	Spectrogram 1	1	940.272688062	941.302988996	73.7	179.1	FN
37	Spectrogram 1	1	944.472747803	945.238800049	175	215	FP
38	Spectrogram 1	1	959.515228271	960.141998291	195	245	FP
39	Spectrogram 1	1	967.245391846	968.081085205	195	245	FP
16	Spectrogram 1	1	973.727220385	975.030248037	76.4	165.6	FN
40	Spectrogram 1	1	1070.801727295	1071.289215088	185	215	FP
41	Spectrogram 1	1	1094.410064697	1094.827911377	115	165	FP
17	Spectrogram 1	1	1110.090853974	1111.121154908	65.6	168.3	FN
18	Spectrogram 1	1	1146.060587627	1146.909070749	71	179.1	FN
42	Spectrogram 1	1	1173.870574951	1174.636627197	75	145	TP
43	Spectrogram 1	1	1176.656219482	1177.561553955	165	215	FP
44	Spectrogram 1	1	1188.216644287	1188.49520874	135	185	FP
45	Spectrogram 1	1	1189.748748779	1190.584442139	65	145	FP
20	Spectrogram 1	1	1215.636313514	1216.999947103	46.7	184.5	TP
47	Spectrogram 1	1	1246.22769165	1246.85446167	145	195	FP
48	Spectrogram 1	1	1247.899078369	1248.177642822	115	135	FP
21	Spectrogram 1	1	1251.999985758	1253.484831222	57.5	189.9	FN
49	Spectrogram 1	1	1300.12991333	1300.687042236	215	245	FP
50	Spectrogram 1	1	1302.149505615	1302.845916748	165	205	FP
22	Spectrogram 1	1	1321.606014614	1323.121163046	62.9	154.8	FN
51	Spectrogram 1	1	1335.716522217	1336.482574463	65	125	FP
52	Spectrogram 1	1	1368.378204346	1369.144256592	55	115	FP
53	Spectrogram 1	1	1380.843963623	1381.401092529	185	215	FP
54	Spectrogram 1	1	1389.966949463	1390.454437256	105	135	FP
55	Spectrogram 1	1	1420.609039307	1421.235809326	185	235	FP
56	Spectrogram 1	1	1474.37197876	1475.138031006	125	175	FP
57	Spectrogram 1	1	1477.018341064	1477.784393311	175	235	FP
23	Spectrogram 1	1	1581.614450478	1583.671906903	71.3	166.3	FN
58	Spectrogram 1	1	1589.070892334	1589.767303467	75	105	FP
59	Spectrogram 1	1	1596.243927002	1596.870697021	115	155	FP
60	Spectrogram 1	1	1618.946929932	1619.434417725	135	185	FP
61	Spectrogram 1	1	1694.925384521	1695.621795654	165	225	FP
62	Spectrogram 1	1	1797.854949951	1798.690643311	85	135	FP
63	Spectrogram 1	1	1808.301116943	1808.927886963	175	235	FP
64	Spectrogram 1	1	1849.319732666	1850.155426025	75	125	FP
24	Spectrogram 1	1	1866.378090506	1868.240922675	46.4	198	FN
65	Spectrogram 1	1	1895.561431885	1896.536407471	185	245	FP
66	Spectrogram 1	1	1899.948822021	1900.436309814	165	205	TP
26	Spectrogram 1	1	1942.679304885	1944.069478145	60	193.5	TP
27	Spectrogram 1	1	1979.910980083	1981.301153344	69	184.4	FN
69	Spectrogram 1	1	1988.393035889	1988.880523682	75	105	FP
70	Spectrogram 1	1	1998.630279541	1999.535614014	155	195	FP
28	Spectrogram 1	1	2011.665372635	2012.555083521	55.4	152.7	FN
29	Spectrogram 1	1	2037.831268678	2039.277048869	48.7	209.3	FN
71	Spectrogram 1	1	2039.648895264	2040.972076416	155	185	FP
72	Spectrogram 1	1	2045.777313232	2046.543365479	155	225	FP
30	Spectrogram 1	1	2100.397571242	2101.954565294	64.5	182.1	FN
73	Spectrogram 1	1	2110.961395264	2111.72744751	165	215	FP
74	Spectrogram 1	1	2120.084381104	2121.268280029	85	115	FP
75	Spectrogram 1	1	2126.003875732	2126.561004639	65	155	FP
76	Spectrogram 1	1	2138.887481689	2139.653533936	135	175	FP
31	Spectrogram 1	1	2143.189939483	2144.663523139	75.8	193.5	TP
78	Spectrogram 1	1	2153.860321045	2154.556732178	155	195	FP
32	Spectrogram 1	1	2183.343813807	2184.567166276	69	170.8	TP
33	Spectrogram 1	1	2218.017570206	2219.129708814	69	207	FN
80	Spectrogram 1	1	2226.356719971	2226.913848877	135	195	FP
34	Spectrogram 1	1	2248.520806823	2249.660748896	69	195.7	FN
81	Spectrogram 1	1	2266.8878479	2267.375335693	55	105	FP
35	Spectrogram 1	1	2291.260403411	2292.233524694	75.8	179.9	FN
82	Spectrogram 1	1	2307.906463623	2308.881439209	75	165	FP
36	Spectrogram 1	1	2330.966587014	2331.939708296	62.2	157.3	FN
37	Spectrogram 1	1	2385.772887505	2386.857222648	57.7	164	FN
83	Spectrogram 1	1	2386.391998291	2386.879486084	165	185	TP
84	Spectrogram 1	1	2404.916534424	2405.68258667	85	115	FP
85	Spectrogram 1	1	2425.808868408	2426.574920654	145	195	FP
38	Spectrogram 1	1	2436.797916727	2437.993465731	55.4	161.8	FN
86	Spectrogram 1	1	2450.322540283	2450.810028076	125	175	FP
