Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	End File
1	Waveform 1	1	11.652518666	12.563533761	61.0	176.2	11.653	AU-BS02a_20150622_180730.wav	AU-BS02a_20150622_180730.wav
1	Spectrogram 1	1	11.652518666	12.563533761	61.0	176.2	11.653	AU-BS02a_20150622_180730.wav	AU-BS02a_20150622_180730.wav
2	Waveform 1	1	13.283871279	14.427936748	127.8	224.6	13.284	AU-BS02a_20150622_180730.wav	AU-BS02a_20150622_180730.wav
2	Spectrogram 1	1	13.283871279	14.427936748	127.8	224.6	13.284	AU-BS02a_20150622_180730.wav	AU-BS02a_20150622_180730.wav
3	Waveform 1	1	75.080465586	76.033853477	114.0	222.3	75.080	AU-BS02a_20150622_180730.wav	AU-BS02a_20150622_180730.wav
3	Spectrogram 1	1	75.080465586	76.033853477	114.0	222.3	75.080	AU-BS02a_20150622_180730.wav	AU-BS02a_20150622_180730.wav
4	Waveform 1	1	221.326254247	222.110150957	91.0	199.3	71.326	AU-BS02a_20150622_183000.wav	AU-BS02a_20150622_183000.wav
4	Spectrogram 1	1	221.326254247	222.110150957	91.0	199.3	71.326	AU-BS02a_20150622_183000.wav	AU-BS02a_20150622_183000.wav
5	Waveform 1	1	262.542327019	263.728765283	74.8	206.2	112.542	AU-BS02a_20150622_183000.wav	AU-BS02a_20150622_183000.wav
5	Spectrogram 1	1	262.542327019	263.728765283	74.8	206.2	112.542	AU-BS02a_20150622_183000.wav	AU-BS02a_20150622_183000.wav
6	Waveform 1	1	397.245717453	398.834697271	56.4	229.2	22.246	AU-BS02a_20150625_010000.wav	AU-BS02a_20150625_010000.wav
6	Spectrogram 1	1	397.245717453	398.834697271	56.4	229.2	22.246	AU-BS02a_20150625_010000.wav	AU-BS02a_20150625_010000.wav
7	Waveform 1	1	428.271132992	429.711808027	61.0	201.6	53.271	AU-BS02a_20150625_010000.wav	AU-BS02a_20150625_010000.wav
7	Spectrogram 1	1	428.271132992	429.711808027	61.0	201.6	53.271	AU-BS02a_20150625_010000.wav	AU-BS02a_20150625_010000.wav
8	Waveform 1	1	467.440654690	468.648279352	65.6	215.4	92.441	AU-BS02a_20150625_010000.wav	AU-BS02a_20150625_010000.wav
