Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	70.128570557	70.616058350	50.0	250.0	0.8571
1	Spectrogram 1	1	70.128570557	70.616058350	50.0	250.0	0.8571
2	Waveform 1	1	102.442047119	103.208099365	50.0	250.0	0.9091
2	Spectrogram 1	1	102.442047119	103.208099365	50.0	250.0	0.9091
3	Waveform 1	1	114.698883057	115.604217529	50.0	250.0	0.9231
3	Spectrogram 1	1	114.698883057	115.604217529	50.0	250.0	0.9231
4	Waveform 1	1	117.763092041	118.320220947	50.0	250.0	0.8750
4	Spectrogram 1	1	117.763092041	118.320220947	50.0	250.0	0.8750
5	Waveform 1	1	129.671722412	130.159210205	50.0	250.0	1.0000
5	Spectrogram 1	1	129.671722412	130.159210205	50.0	250.0	1.0000
6	Waveform 1	1	135.451934814	136.009063721	50.0	250.0	1.0000
6	Spectrogram 1	1	135.451934814	136.009063721	50.0	250.0	1.0000
7	Waveform 1	1	151.399749756	152.026519775	50.0	250.0	1.0000
7	Spectrogram 1	1	151.399749756	152.026519775	50.0	250.0	1.0000
8	Waveform 1	1	159.129913330	160.035247803	50.0	250.0	1.0000
8	Spectrogram 1	1	159.129913330	160.035247803	50.0	250.0	1.0000
9	Waveform 1	1	185.593536377	186.359588623	50.0	250.0	0.8182
9	Spectrogram 1	1	185.593536377	186.359588623	50.0	250.0	0.8182
10	Waveform 1	1	237.058319092	237.545806885	50.0	250.0	0.8571
10	Spectrogram 1	1	237.058319092	237.545806885	50.0	250.0	0.8571
11	Waveform 1	1	294.442596436	295.278289795	50.0	250.0	0.9167
11	Spectrogram 1	1	294.442596436	295.278289795	50.0	250.0	0.9167
12	Waveform 1	1	329.889923096	330.795257568	50.0	250.0	1.0000
12	Spectrogram 1	1	329.889923096	330.795257568	50.0	250.0	1.0000
13	Waveform 1	1	348.553741455	349.459075928	50.0	250.0	0.9231
13	Spectrogram 1	1	348.553741455	349.459075928	50.0	250.0	0.9231
14	Waveform 1	1	357.955291748	358.860626221	50.0	250.0	1.0000
14	Spectrogram 1	1	357.955291748	358.860626221	50.0	250.0	1.0000
15	Waveform 1	1	1900.436309814	1901.132720947	50.0	250.0	0.8000
15	Spectrogram 1	1	1900.436309814	1901.132720947	50.0	250.0	0.8000
16	Waveform 1	1	2589.535125732	2590.440460205	50.0	250.0	1.0000
16	Spectrogram 1	1	2589.535125732	2590.440460205	50.0	250.0	1.0000
17	Waveform 1	1	2633.826873779	2634.662567139	50.0	250.0	0.9167
17	Spectrogram 1	1	2633.826873779	2634.662567139	50.0	250.0	0.9167
18	Waveform 1	1	2703.467987061	2704.025115967	50.0	250.0	1.0000
18	Spectrogram 1	1	2703.467987061	2704.025115967	50.0	250.0	1.0000
19	Waveform 1	1	2773.596588135	2774.362640381	50.0	250.0	0.9091
19	Spectrogram 1	1	2773.596588135	2774.362640381	50.0	250.0	0.9091
20	Waveform 1	1	2839.198516846	2839.755645752	50.0	250.0	1.0000
20	Spectrogram 1	1	2839.198516846	2839.755645752	50.0	250.0	1.0000
21	Waveform 1	1	2880.356414795	2881.052825928	50.0	250.0	0.9000
21	Spectrogram 1	1	2880.356414795	2881.052825928	50.0	250.0	0.9000
22	Waveform 1	1	5774.153594971	5775.058929443	50.0	250.0	0.8462
22	Spectrogram 1	1	5774.153594971	5775.058929443	50.0	250.0	0.8462
23	Waveform 1	1	6200.914337158	6201.610748291	50.0	250.0	1.0000
23	Spectrogram 1	1	6200.914337158	6201.610748291	50.0	250.0	1.0000
24	Waveform 1	1	8041.250396729	8042.016448975	50.0	250.0	0.8182
24	Spectrogram 1	1	8041.250396729	8042.016448975	50.0	250.0	0.8182
25	Waveform 1	1	8139.235443115	8139.792572021	50.0	250.0	1.0000
25	Spectrogram 1	1	8139.235443115	8139.792572021	50.0	250.0	1.0000
26	Waveform 1	1	8176.841644287	8177.816619873	50.0	250.0	0.8571
26	Spectrogram 1	1	8176.841644287	8177.816619873	50.0	250.0	0.8571
27	Waveform 1	1	8228.167144775	8228.793914795	50.0	250.0	1.0000
27	Spectrogram 1	1	8228.167144775	8228.793914795	50.0	250.0	1.0000
28	Waveform 1	1	8428.106781006	8428.594268799	50.0	250.0	0.8571
28	Spectrogram 1	1	8428.106781006	8428.594268799	50.0	250.0	0.8571
29	Waveform 1	1	8445.447418213	8446.213470459	50.0	250.0	0.9091
29	Spectrogram 1	1	8445.447418213	8446.213470459	50.0	250.0	0.9091
30	Waveform 1	1	8460.350616455	8460.838104248	50.0	250.0	1.0000
30	Spectrogram 1	1	8460.350616455	8460.838104248	50.0	250.0	1.0000
31	Waveform 1	1	8583.824310303	8584.590362549	50.0	250.0	0.9091
31	Spectrogram 1	1	8583.824310303	8584.590362549	50.0	250.0	0.9091
32	Waveform 1	1	8652.351165771	8652.838653564	50.0	250.0	0.8571
32	Spectrogram 1	1	8652.351165771	8652.838653564	50.0	250.0	0.8571
33	Waveform 1	1	8695.598297119	8696.294708252	50.0	250.0	1.0000
33	Spectrogram 1	1	8695.598297119	8696.294708252	50.0	250.0	1.0000
34	Waveform 1	1	8887.807769775	8888.782745361	50.0	250.0	1.0000
34	Spectrogram 1	1	8887.807769775	8888.782745361	50.0	250.0	1.0000
35	Waveform 1	1	8974.302032471	8975.207366943	50.0	250.0	0.9231
35	Spectrogram 1	1	8974.302032471	8975.207366943	50.0	250.0	0.9231
36	Waveform 1	1	9125.353607178	9126.258941650	50.0	250.0	0.9231
36	Spectrogram 1	1	9125.353607178	9126.258941650	50.0	250.0	0.9231
37	Waveform 1	1	9461.720184326	9462.416595459	50.0	250.0	1.0000
37	Spectrogram 1	1	9461.720184326	9462.416595459	50.0	250.0	1.0000
38	Waveform 1	1	9492.849761963	9493.615814209	50.0	250.0	1.0000
38	Spectrogram 1	1	9492.849761963	9493.615814209	50.0	250.0	1.0000
39	Waveform 1	1	9728.793853760	9729.281341553	50.0	250.0	1.0000
39	Spectrogram 1	1	9728.793853760	9729.281341553	50.0	250.0	1.0000
40	Waveform 1	1	11155.531341553	11156.227752686	50.0	250.0	0.9000
40	Spectrogram 1	1	11155.531341553	11156.227752686	50.0	250.0	0.9000
41	Waveform 1	1	11188.332305908	11189.167999268	50.0	250.0	1.0000
41	Spectrogram 1	1	11188.332305908	11189.167999268	50.0	250.0	1.0000
42	Waveform 1	1	11312.223846436	11313.198822021	50.0	250.0	1.0000
42	Spectrogram 1	1	11312.223846436	11313.198822021	50.0	250.0	1.0000
43	Waveform 1	1	11905.287567139	11906.123260498	50.0	250.0	0.8333
43	Spectrogram 1	1	11905.287567139	11906.123260498	50.0	250.0	0.8333
44	Waveform 1	1	15587.143585205	15587.631072998	50.0	250.0	0.8571
44	Spectrogram 1	1	15587.143585205	15587.631072998	50.0	250.0	0.8571
45	Waveform 1	1	15636.449493408	15637.215545654	50.0	250.0	0.8182
45	Spectrogram 1	1	15636.449493408	15637.215545654	50.0	250.0	0.8182
46	Waveform 1	1	19360.786590576	19361.413360596	50.0	250.0	0.8889
46	Spectrogram 1	1	19360.786590576	19361.413360596	50.0	250.0	0.8889
47	Waveform 1	1	19414.410247803	19414.967376709	50.0	250.0	1.0000
47	Spectrogram 1	1	19414.410247803	19414.967376709	50.0	250.0	1.0000
