Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Waveform 1	1	11.652518666	12.563533761	61.0	176.2	FN
2	Waveform 1	1	13.283871279	14.427936748	127.8	224.6	FN
3	Waveform 1	1	70.128570557	70.616058350	50.0	250.0	FP
4	Waveform 1	1	75.080465586	76.033853477	114.0	222.3	FN
5	Waveform 1	1	102.442047119	103.208099365	50.0	250.0	FP
6	Waveform 1	1	114.698883057	115.604217529	50.0	250.0	FP
7	Waveform 1	1	117.763092041	118.320220947	50.0	250.0	FP
8	Waveform 1	1	129.671722412	130.159210205	50.0	250.0	FP
9	Waveform 1	1	135.451934814	136.009063721	50.0	250.0	FP
10	Waveform 1	1	151.399749756	152.026519775	50.0	250.0	FP
11	Waveform 1	1	159.129913330	160.035247803	50.0	250.0	FP
12	Waveform 1	1	185.593536377	186.359588623	50.0	250.0	FP
13	Waveform 1	1	221.326254247	222.110150957	91.0	199.3	FN
14	Waveform 1	1	237.058319092	237.545806885	50.0	250.0	FP
15	Waveform 1	1	262.542327019	263.728765283	74.8	206.2	FN
16	Waveform 1	1	294.442596436	295.278289795	50.0	250.0	FP
17	Waveform 1	1	329.889923096	330.795257568	50.0	250.0	FP
18	Waveform 1	1	348.553741455	349.459075928	50.0	250.0	FP
19	Waveform 1	1	357.955291748	358.860626221	50.0	250.0	FP
20	Waveform 1	1	397.245717453	398.834697271	56.4	229.2	FN
21	Waveform 1	1	428.271132992	429.711808027	61.0	201.6	FN
22	Waveform 1	1	467.440654690	468.648279352	65.6	215.4	FN
23	Waveform 1	1	547.939377787	549.484829188	57.5	165.6	FN
24	Waveform 1	1	629.515134191	630.818161843	60.2	184.5	FN
25	Waveform 1	1	675.242368818	676.606002407	79.1	203.4	FN
26	Waveform 1	1	834.969652272	836.484800705	52.1	181.8	FN
27	Waveform 1	1	879.363611210	880.363609175	76.4	149.4	FN
28	Waveform 1	1	903.727252937	904.999977620	57.5	173.7	FN
29	Waveform 1	1	940.272688062	941.302988996	73.7	179.1	FN
