Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Waveform 1	1	11.652518666	12.563533761	61.0	176.2	FN
2	Waveform 1	1	13.283871279	14.427936748	127.8	224.6	FN
3	Waveform 1	1	75.080465586	76.033853477	114.0	222.3	FN
4	Waveform 1	1	221.326254247	222.110150957	91.0	199.3	FN
5	Waveform 1	1	262.542327019	263.728765283	74.8	206.2	FN
6	Waveform 1	1	375.017364502	375.435211182	135.0	175.0	FP
7	Waveform 1	1	398.068572998	398.625701904	135.0	175.0	TP
8	Waveform 1	1	428.989227295	429.615997314	135.0	175.0	TP
9	Waveform 1	1	467.988250732	468.406097412	135.0	175.0	TP
10	Waveform 1	1	547.939377787	549.484829188	57.5	165.6	FN
11	Waveform 1	1	629.515134191	630.818161843	60.2	184.5	FN
12	Waveform 1	1	675.242368818	676.606002407	79.1	203.4	FN
13	Waveform 1	1	834.969652272	836.484800705	52.1	181.8	FN
14	Waveform 1	1	879.363611210	880.363609175	76.4	149.4	FN
15	Waveform 1	1	903.727252937	904.999977620	57.5	173.7	FN
16	Waveform 1	1	940.272688062	941.302988996	73.7	179.1	FN
17	Waveform 1	1	973.727220385	975.030248037	76.4	165.6	FN
18	Waveform 1	1	1110.090853974	1111.121154908	65.6	168.3	FN
19	Waveform 1	1	1146.060587627	1146.909070749	71.0	179.1	FN
20	Waveform 1	1	1173.666647000	1175.060583558	57.5	165.6	FN
21	Waveform 1	1	1215.636313514	1216.999947103	46.7	184.5	FN
22	Waveform 1	1	1251.999985758	1253.484831222	57.5	189.9	FN
23	Waveform 1	1	1321.606014614	1323.121163046	62.9	154.8	FN
24	Waveform 1	1	1581.614450478	1583.671906903	71.3	166.3	FN
25	Waveform 1	1	1867.426422119	1867.983551025	135.0	175.0	TP
26	Waveform 1	1	1899.884101366	1901.357685022	69.0	209.3	FN
27	Waveform 1	1	1943.404876709	1943.962005615	135.0	175.0	TP
28	Waveform 1	1	1980.732513428	1981.150360107	135.0	175.0	TP
