Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Waveform 1	1	0.139251709	1.044586182	67.0	226.0	FP
2	Waveform 1	1	11.652518666	12.563533761	61.0	176.2	FN
3	Waveform 1	1	13.283871279	14.427936748	127.8	224.6	FN
4	Waveform 1	1	24.652923584	25.627899170	67.0	226.0	FP
5	Waveform 1	1	61.005584717	61.493072510	67.0	226.0	FP
6	Waveform 1	1	75.080465586	76.033853477	114.0	222.3	FN
7	Waveform 1	1	85.449615479	86.424591064	67.0	226.0	FP
8	Waveform 1	1	102.442047119	103.138458252	67.0	226.0	FP
9	Waveform 1	1	151.260467529	151.747955322	67.0	226.0	FP
10	Waveform 1	1	221.326254247	222.110150957	91.0	199.3	FN
11	Waveform 1	1	241.376068115	242.281402588	67.0	226.0	FP
12	Waveform 1	1	248.966949463	250.150848389	67.0	226.0	FP
13	Waveform 1	1	262.542327019	263.728765283	74.8	206.2	FN
14	Waveform 1	1	294.442596436	295.278289795	67.0	226.0	FP
15	Waveform 1	1	367.705047607	368.610382080	67.0	226.0	FP
16	Waveform 1	1	397.245717453	398.834697271	56.4	229.2	FN
17	Waveform 1	1	428.271132992	429.711808027	61.0	201.6	FN
18	Waveform 1	1	453.154693604	454.756439209	67.0	226.0	FP
19	Waveform 1	1	467.848968506	468.406097412	67.0	226.0	TP
20	Waveform 1	1	548.493377686	549.189788818	67.0	226.0	TP
21	Waveform 1	1	559.705596924	560.332366943	67.0	226.0	FP
22	Waveform 1	1	629.515134191	630.818161843	60.2	184.5	FN
23	Waveform 1	1	674.961639404	676.702667236	67.0	226.0	TP
24	Waveform 1	1	834.969652272	836.484800705	52.1	181.8	FN
25	Waveform 1	1	879.497589111	880.333282471	67.0	226.0	TP
26	Waveform 1	1	904.011260986	904.777313232	67.0	226.0	TP
27	Waveform 1	1	940.272688062	941.302988996	73.7	179.1	FN
28	Waveform 1	1	973.861297607	974.766632080	67.0	226.0	TP
29	Waveform 1	1	1052.903961182	1053.391448975	67.0	226.0	FP
30	Waveform 1	1	1110.218597412	1110.706085205	67.0	226.0	TP
31	Waveform 1	1	1146.060587627	1146.909070749	71.0	179.1	FN
32	Waveform 1	1	1173.870574951	1174.636627197	67.0	226.0	TP
33	Waveform 1	1	1215.794525146	1216.699859619	67.0	226.0	TP
34	Waveform 1	1	1251.999985758	1253.484831222	57.5	189.9	FN
35	Waveform 1	1	1321.606014614	1323.121163046	62.9	154.8	FN
36	Waveform 1	1	1359.046295166	1359.533782959	67.0	226.0	FP
37	Waveform 1	1	1416.500213623	1417.893035889	67.0	226.0	FP
38	Waveform 1	1	1446.654815674	1447.281585693	67.0	226.0	FP
39	Waveform 1	1	1493.453643799	1494.219696045	67.0	226.0	FP
40	Waveform 1	1	1508.426483154	1509.331817627	67.0	226.0	FP
41	Waveform 1	1	1550.489715576	1551.116485596	67.0	226.0	FP
42	Waveform 1	1	1581.614450478	1583.671906903	71.3	166.3	FN
43	Waveform 1	1	1592.831512451	1593.806488037	67.0	226.0	FP
44	Waveform 1	1	1681.066802979	1682.389984131	67.0	226.0	FP
45	Waveform 1	1	1689.563018799	1690.050506592	67.0	226.0	FP
46	Waveform 1	1	1710.176788330	1710.664276123	67.0	226.0	FP
47	Waveform 1	1	1866.730010986	1868.122833252	67.0	226.0	TP
48	Waveform 1	1	1899.884101366	1901.357685022	69.0	209.3	FN
49	Waveform 1	1	1942.679304885	1944.069478145	60.0	193.5	FN
50	Waveform 1	1	1980.314666748	1981.220001221	67.0	226.0	TP
51	Waveform 1	1	2011.792449951	2012.419219971	67.0	226.0	TP
52	Waveform 1	1	2038.395355225	2039.022125244	67.0	226.0	TP
53	Waveform 1	1	2078.578277588	2079.135406494	67.0	226.0	FP
