Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	6.228800887	6.843206416	95.6	162.4
1	Spectrogram 1	1	6.228800887	6.843206416	95.6	162.4
2	Waveform 1	1	230.046581592	231.127087868	104.8	185.4
2	Spectrogram 1	1	230.046581592	231.127087868	104.8	185.4
3	Waveform 1	1	377.716047341	378.372825666	114.0	169.3
3	Spectrogram 1	1	377.716047341	378.372825666	114.0	169.3
4	Waveform 1	1	481.055039875	482.432155717	79.4	178.5
4	Spectrogram 1	1	481.055039875	482.432155717	79.4	178.5
5	Waveform 1	1	719.309286818	720.580470672	95.6	185.4
5	Spectrogram 1	1	719.309286818	720.580470672	95.6	185.4
6	Waveform 1	1	864.542316846	865.707568713	93.3	197.0
6	Spectrogram 1	1	864.542316846	865.707568713	93.3	197.0
7	Waveform 1	1	880.567762903	881.584709986	107.1	190.0
7	Spectrogram 1	1	880.567762903	881.584709986	107.1	190.0
8	Waveform 1	1	904.220312086	904.855904013	38.0	150.9
8	Spectrogram 1	1	904.220312086	904.855904013	38.0	150.9
9	Waveform 1	1	910.999959310	911.762669623	74.8	213.1
9	Spectrogram 1	1	910.999959310	911.762669623	74.8	213.1
10	Waveform 1	1	945.974574288	947.012707770	38.0	157.8
10	Spectrogram 1	1	945.974574288	947.012707770	38.0	157.8
11	Waveform 1	1	973.949148577	975.008468456	79.4	169.3
11	Spectrogram 1	1	973.949148577	975.008468456	79.4	169.3
12	Waveform 1	1	998.419437775	998.906724919	54.1	160.1
12	Spectrogram 1	1	998.419437775	998.906724919	54.1	160.1
13	Waveform 1	1	1119.372856183	1120.665226435	100.2	185.4
13	Spectrogram 1	1	1119.372856183	1120.665226435	100.2	185.4
14	Waveform 1	1	1155.165211176	1155.800803104	100.2	148.6
14	Spectrogram 1	1	1155.165211176	1155.800803104	100.2	148.6
15	Waveform 1	1	1197.004218969	1198.148284438	77.1	192.3
15	Spectrogram 1	1	1197.004218969	1198.148284438	77.1	192.3
16	Waveform 1	1	1208.169450490	1209.271143164	63.3	187.7
16	Spectrogram 1	1	1208.169450490	1209.271143164	63.3	187.7
17	Waveform 1	1	1221.207614489	1221.970324802	72.5	160.1
17	Spectrogram 1	1	1221.207614489	1221.970324802	72.5	160.1
18	Waveform 1	1	1236.716057513	1237.394022236	65.6	194.7
18	Spectrogram 1	1	1236.716057513	1237.394022236	65.6	194.7
19	Waveform 1	1	1243.199095171	1244.194855857	56.4	160.1
19	Spectrogram 1	1	1243.199095171	1244.194855857	56.4	160.1
20	Waveform 1	1	1268.461810570	1269.160961690	65.6	162.4
20	Spectrogram 1	1	1268.461810570	1269.160961690	65.6	162.4
21	Waveform 1	1	1293.343170813	1294.275372306	74.8	192.3
21	Spectrogram 1	1	1293.343170813	1294.275372306	74.8	192.3
22	Waveform 1	1	1326.220332431	1327.343211503	74.8	160.1
22	Spectrogram 1	1	1326.220332431	1327.343211503	74.8	160.1
