Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1438	Waveform 1	1	15152.73584	15153.70264	110	200
1438	Spectrogram 1	1	15152.73584	15153.70264	110	200
4	Waveform 1	1	83.59521484	85.46435547	70	220
4	Spectrogram 1	1	83.59521484	85.46435547	70	220
11	Waveform 1	1	219.0112305	219.7202148	80	160
11	Spectrogram 1	1	219.0112305	219.7202148	80	160
17	Waveform 1	1	255.2983398	256.3295898	60	190
17	Spectrogram 1	1	255.2983398	256.3295898	60	190
32	Waveform 1	1	455.6186523	457.7456055	60	240
32	Spectrogram 1	1	455.6186523	457.7456055	60	240
35	Waveform 1	1	493.6459961	494.8706055	60	190
35	Spectrogram 1	1	493.6459961	494.8706055	60	190
37	Waveform 1	1	532.8979492	534.3803711	70	170
37	Spectrogram 1	1	532.8979492	534.3803711	70	170
39	Waveform 1	1	562.4174805	563.5776367	60	120
39	Spectrogram 1	1	562.4174805	563.5776367	60	120
44	Waveform 1	1	608.7592773	610.0483398	60	230
44	Spectrogram 1	1	608.7592773	610.0483398	60	230
45	Waveform 1	1	624.2280273	625.5170898	60	180
45	Spectrogram 1	1	624.2280273	625.5170898	60	180
49	Waveform 1	1	653.2319336	653.940918	60	220
49	Spectrogram 1	1	653.2319336	653.940918	60	220
53	Waveform 1	1	670.7631836	671.7299805	80	190
53	Spectrogram 1	1	670.7631836	671.7299805	80	190
55	Waveform 1	1	693.7084961	695.3842773	80	240
55	Spectrogram 1	1	693.7084961	695.3842773	80	240
56	Waveform 1	1	706.7280273	707.6948242	70	170
56	Spectrogram 1	1	706.7280273	707.6948242	70	170
60	Waveform 1	1	732.8959961	733.6694336	60	170
60	Spectrogram 1	1	732.8959961	733.6694336	60	170
63	Waveform 1	1	741.9838867	743.144043	60	180
63	Spectrogram 1	1	741.9838867	743.144043	60	180
65	Waveform 1	1	747.5268555	748.1713867	60	160
65	Spectrogram 1	1	747.5268555	748.1713867	60	160
69	Waveform 1	1	806.9526367	808.2416992	80	190
69	Spectrogram 1	1	806.9526367	808.2416992	80	190
70	Waveform 1	1	833.1850586	834.925293	70	140
70	Spectrogram 1	1	833.1850586	834.925293	70	140
73	Waveform 1	1	863.4135742	864.6381836	60	240
73	Spectrogram 1	1	863.4135742	864.6381836	60	240
77	Waveform 1	1	898.9916992	900.0874023	70	150
77	Spectrogram 1	1	898.9916992	900.0874023	70	150
79	Waveform 1	1	916.7807617	918.0053711	80	190
79	Spectrogram 1	1	916.7807617	918.0053711	80	190
81	Waveform 1	1	926.9643555	927.9311523	70	140
81	Spectrogram 1	1	926.9643555	927.9311523	70	140
84	Waveform 1	1	948.5561523	949.6518555	60	140
84	Spectrogram 1	1	948.5561523	949.6518555	60	140
86	Waveform 1	1	972.081543	972.9838867	70	180
86	Spectrogram 1	1	972.081543	972.9838867	70	180
95	Waveform 1	1	1082.747559	1084.036621	60	230
95	Spectrogram 1	1	1082.747559	1084.036621	60	230
96	Waveform 1	1	1094.929199	1096.347168	60	170
96	Spectrogram 1	1	1094.929199	1096.347168	60	170
101	Waveform 1	1	1164.925293	1166.72998	60	200
101	Spectrogram 1	1	1164.925293	1166.72998	60	200
102	Waveform 1	1	1175.044434	1176.655762	60	200
102	Spectrogram 1	1	1175.044434	1176.655762	60	200
106	Waveform 1	1	1216.165527	1217.45459	70	190
106	Spectrogram 1	1	1216.165527	1217.45459	70	190
107	Waveform 1	1	1220.806152	1222.353027	80	200
107	Spectrogram 1	1	1220.806152	1222.353027	80	200
