Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
6	Waveform 1	1	30.55029297	31.32373047	100	190
6	Spectrogram 1	1	30.55029297	31.32373047	100	190
12	Waveform 1	1	67.67529297	68.89990234	70	160
12	Spectrogram 1	1	67.67529297	68.89990234	70	160
35	Waveform 1	1	228.8725586	229.7104492	90	200
35	Spectrogram 1	1	228.8725586	229.7104492	90	200
55	Waveform 1	1	321.2338867	322.909668	80	210
55	Spectrogram 1	1	321.2338867	322.909668	80	210
105	Waveform 1	1	572.0209961	575.050293	60	250
105	Spectrogram 1	1	572.0209961	575.050293	60	250
111	Waveform 1	1	607.4057617	608.3725586	120	230
111	Spectrogram 1	1	607.4057617	608.3725586	120	230
156	Waveform 1	1	832.9272461	833.9584961	80	200
156	Spectrogram 1	1	832.9272461	833.9584961	80	200
160	Waveform 1	1	871.7280273	872.5014648	100	160
160	Spectrogram 1	1	871.7280273	872.5014648	100	160
163	Waveform 1	1	899.3139648	900.1518555	100	180
163	Spectrogram 1	1	899.3139648	900.1518555	100	180
171	Waveform 1	1	929.3491211	931.1538086	60	200
171	Spectrogram 1	1	929.3491211	931.1538086	60	200
234	Waveform 1	1	1220.870605	1222.159668	80	160
234	Spectrogram 1	1	1220.870605	1222.159668	80	160
240	Waveform 1	1	1252.32373	1255.030762	60	180
240	Spectrogram 1	1	1252.32373	1255.030762	60	180
244	Waveform 1	1	1287.901855	1288.61084	110	180
244	Spectrogram 1	1	1287.901855	1288.61084	110	180
246	Waveform 1	1	1300.534668	1301.308105	60	130
246	Spectrogram 1	1	1300.534668	1301.308105	60	130
258	Waveform 1	1	1357.962402	1358.671387	120	180
258	Spectrogram 1	1	1357.962402	1358.671387	120	180
287	Waveform 1	1	1480.22998	1480.874512	90	160
287	Spectrogram 1	1	1480.22998	1480.874512	90	160
297	Waveform 1	1	1558.347168	1559.378418	90	190
297	Spectrogram 1	1	1558.347168	1559.378418	90	190
306	Waveform 1	1	1595.92334	1596.696777	120	200
306	Spectrogram 1	1	1595.92334	1596.696777	120	200
311	Waveform 1	1	1620.028809	1621.060059	130	220
311	Spectrogram 1	1	1620.028809	1621.060059	130	220
313	Waveform 1	1	1623.380371	1624.411621	100	200
313	Spectrogram 1	1	1623.380371	1624.411621	100	200
344	Waveform 1	1	1765.692871	1766.466309	160	250
344	Spectrogram 1	1	1765.692871	1766.466309	160	250
351	Waveform 1	1	1803.913574	1805.009277	120	190
351	Spectrogram 1	1	1803.913574	1805.009277	120	190
353	Waveform 1	1	1818.222168	1819.317871	100	200
353	Spectrogram 1	1	1818.222168	1819.317871	100	200
364	Waveform 1	1	1861.276855	1861.921387	110	170
364	Spectrogram 1	1	1861.276855	1861.921387	110	170
373	Waveform 1	1	1908.649902	1910.003418	60	170
373	Spectrogram 1	1	1908.649902	1910.003418	60	170
377	Waveform 1	1	1942.552246	1943.325684	110	180
377	Spectrogram 1	1	1942.552246	1943.325684	110	180
381	Waveform 1	1	1996.435059	1997.144043	60	120
381	Spectrogram 1	1	1996.435059	1997.144043	60	120
384	Waveform 1	1	2009.003418	2009.647949	110	160
384	Spectrogram 1	1	2009.003418	2009.647949	110	160
385	Waveform 1	1	2010.872559	2011.388184	170	220
385	Spectrogram 1	1	2010.872559	2011.388184	170	220
386	Waveform 1	1	2012.612793	2012.999512	120	160
386	Spectrogram 1	1	2012.612793	2012.999512	120	160
387	Waveform 1	1	2015.126465	2016.47998	60	180
387	Spectrogram 1	1	2015.126465	2016.47998	60	180
388	Waveform 1	1	2033.237793	2034.20459	80	180
388	Spectrogram 1	1	2033.237793	2034.20459	80	180
390	Waveform 1	1	2041.616699	2042.970215	80	220
390	Spectrogram 1	1	2041.616699	2042.970215	80	220
395	Waveform 1	1	2061.274902	2062.563965	80	150
395	Spectrogram 1	1	2061.274902	2062.563965	80	150
403	Waveform 1	1	2099.688965	2100.655762	60	160
403	Spectrogram 1	1	2099.688965	2100.655762	60	160
408	Waveform 1	1	2141.905762	2143.259277	70	170
408	Spectrogram 1	1	2141.905762	2143.259277	70	170
413	Waveform 1	1	2172.907715	2174.390137	60	190
413	Spectrogram 1	1	2172.907715	2174.390137	60	190
423	Waveform 1	1	2248.897949	2249.606934	100	170
423	Spectrogram 1	1	2248.897949	2249.606934	100	170
426	Waveform 1	1	2259.919434	2260.821777	60	200
426	Spectrogram 1	1	2259.919434	2260.821777	60	200
439	Waveform 1	1	2363.495605	2364.913574	70	180
439	Spectrogram 1	1	2363.495605	2364.913574	70	180
477	Waveform 1	1	2632.458496	2633.231934	170	230
477	Spectrogram 1	1	2632.458496	2633.231934	170	230
