Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	456.206883924	456.982744414	76.1	157.6
1	Spectrogram 1	1	456.206883924	456.982744414	76.1	157.6
2	Waveform 1	1	602.004306267	603.232752044	85.1	215.6
2	Spectrogram 1	1	602.004306267	603.232752044	85.1	215.6
3	Waveform 1	1	627.710382409	628.723311382	50.7	170.3
3	Spectrogram 1	1	627.710382409	628.723311382	50.7	170.3
4	Waveform 1	1	1217.456861036	1218.426686649	70.7	173.9
4	Spectrogram 1	1	1217.456861036	1218.426686649	70.7	173.9
5	Waveform 1	1	2105.538781835	2107.133606176	67.0	195.7
5	Spectrogram 1	1	2105.538781835	2107.133606176	67.0	195.7
6	Waveform 1	1	2475.926722253	2477.090512988	96.0	212.0
6	Spectrogram 1	1	2475.926722253	2477.090512988	96.0	212.0
7	Waveform 1	1	2494.870649228	2496.120646685	85.1	215.6
7	Spectrogram 1	1	2494.870649228	2496.120646685	85.1	215.6
8	Waveform 1	1	2633.749982198	2634.525842689	77.9	188.4
8	Spectrogram 1	1	2633.749982198	2634.525842689	77.9	188.4
9	Waveform 1	1	2871.241450455	2872.577654633	81.5	255.4
9	Spectrogram 1	1	2871.241450455	2872.577654633	81.5	255.4
10	Waveform 1	1	3316.961172389	3318.060308084	76.1	201.1
10	Spectrogram 1	1	3316.961172389	3318.060308084	76.1	201.1
11	Waveform 1	1	4062.306009446	4063.685316985	89.3	202.2
11	Spectrogram 1	1	4062.306009446	4063.685316985	89.3	202.2
12	Waveform 1	1	4285.711185105	4286.918079201	65.6	189.4
12	Spectrogram 1	1	4285.711185105	4286.918079201	65.6	189.4
13	Waveform 1	1	4287.887904814	4289.482729155	45.5	163.9
13	Spectrogram 1	1	4287.887904814	4289.482729155	45.5	163.9
14	Waveform 1	1	4446.955988582	4448.486157883	38.3	156.6
14	Spectrogram 1	1	4446.955988582	4448.486157883	38.3	156.6
15	Waveform 1	1	5778.340510445	5779.935334787	45.5	149.4
15	Spectrogram 1	1	5778.340510445	5779.935334787	45.5	149.4
16	Waveform 1	1	6001.982754587	6004.547404541	40.1	122.0
16	Spectrogram 1	1	6001.982754587	6004.547404541	40.1	122.0
