Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	159.724525969	160.317745101	114.0	199.3
1	Spectrogram 1	1	159.724525969	160.317745101	114.0	199.3
2	Waveform 1	1	274.385584298	275.042362623	123.2	201.6
2	Spectrogram 1	1	274.385584298	275.042362623	123.2	201.6
3	Waveform 1	1	316.131317009	316.766908937	114.0	192.3
3	Spectrogram 1	1	316.131317009	316.766908937	114.0	192.3
4	Waveform 1	1	601.313526132	601.970304457	93.3	178.5
4	Spectrogram 1	1	601.313526132	601.970304457	93.3	178.5
5	Waveform 1	1	631.957586515	632.635551237	51.8	116.3
5	Spectrogram 1	1	631.957586515	632.635551237	51.8	116.3
6	Waveform 1	1	810.809302077	811.762689968	104.8	215.4
6	Spectrogram 1	1	810.809302077	811.762689968	104.8	215.4
7	Waveform 1	1	1003.016916566	1004.012677252	107.1	222.3
7	Spectrogram 1	1	1003.016916566	1004.012677252	107.1	222.3
8	Waveform 1	1	1023.576251703	1024.699130775	65.6	176.2
8	Spectrogram 1	1	1023.576251703	1024.699130775	65.6	176.2
9	Waveform 1	1	1164.720307000	1166.478777999	47.2	173.9
9	Spectrogram 1	1	1164.720307000	1166.478777999	47.2	173.9
10	Waveform 1	1	1233.686433178	1234.915244237	61.0	173.9
10	Spectrogram 1	1	1233.686433178	1234.915244237	61.0	173.9
11	Waveform 1	1	1349.610115353	1350.415198461	86.4	206.2
11	Spectrogram 1	1	1349.610115353	1350.415198461	86.4	206.2
12	Waveform 1	1	1544.199105344	1544.961815656	58.7	183.1
12	Spectrogram 1	1	1544.199105344	1544.961815656	58.7	183.1
13	Waveform 1	1	1652.516901307	1653.364357210	51.8	150.9
13	Spectrogram 1	1	1652.516901307	1653.364357210	51.8	150.9
14	Waveform 1	1	1704.186397574	1705.245717453	47.2	185.4
14	Spectrogram 1	1	1704.186397574	1705.245717453	47.2	185.4
15	Waveform 1	1	1996.144034951	1997.266914023	61.0	187.7
15	Spectrogram 1	1	1996.144034951	1997.266914023	61.0	187.7
16	Waveform 1	1	2046.097433015	2047.389803267	63.3	176.2
16	Spectrogram 1	1	2046.097433015	2047.389803267	63.3	176.2
17	Waveform 1	1	2146.957617032	2148.080496104	47.2	176.2
17	Spectrogram 1	1	2146.957617032	2148.080496104	47.2	176.2
18	Waveform 1	1	2186.394032408	2187.728775455	67.9	169.3
18	Spectrogram 1	1	2186.394032408	2187.728775455	67.9	169.3
19	Waveform 1	1	2278.313556650	2279.754231685	77.1	187.7
19	Spectrogram 1	1	2278.313556650	2279.754231685	77.1	187.7
20	Waveform 1	1	2336.720327345	2338.288120765	54.1	164.7
20	Spectrogram 1	1	2336.720327345	2338.288120765	54.1	164.7
21	Waveform 1	1	2377.067757817	2378.699110430	47.2	144.0
21	Spectrogram 1	1	2377.067757817	2378.699110430	47.2	144.0
22	Waveform 1	1	2440.906745264	2441.648269179	125.5	206.2
22	Spectrogram 1	1	2440.906745264	2441.648269179	125.5	206.2
23	Waveform 1	1	2589.898297154	2591.190667406	77.1	194.7
23	Spectrogram 1	1	2589.898297154	2591.190667406	77.1	194.7
24	Waveform 1	1	2745.512661993	2746.656727462	58.7	150.9
24	Spectrogram 1	1	2745.512661993	2746.656727462	58.7	150.9
25	Waveform 1	1	2846.733014769	2847.538097877	67.9	173.9
25	Spectrogram 1	1	2846.733014769	2847.538097877	67.9	173.9
26	Waveform 1	1	2878.923682175	2879.728765283	77.1	153.2
26	Spectrogram 1	1	2878.923682175	2879.728765283	77.1	153.2
27	Waveform 1	1	3102.749992371	3103.639821069	81.7	203.9
27	Spectrogram 1	1	3102.749992371	3103.639821069	81.7	203.9
28	Waveform 1	1	3490.872840924	3491.847415213	116.3	224.6
28	Spectrogram 1	1	3490.872840924	3491.847415213	116.3	224.6
29	Waveform 1	1	3617.122858726	3618.055060220	111.7	210.8
29	Spectrogram 1	1	3617.122858726	3618.055060220	111.7	210.8
30	Waveform 1	1	3668.707609403	3669.618624499	100.2	240.7
30	Spectrogram 1	1	3668.707609403	3669.618624499	100.2	240.7
31	Waveform 1	1	3710.516901307	3711.237238825	127.8	220.0
31	Spectrogram 1	1	3710.516901307	3711.237238825	127.8	220.0
32	Waveform 1	1	3745.364397900	3746.423717779	114.0	203.9
32	Spectrogram 1	1	3745.364397900	3746.423717779	114.0	203.9
33	Waveform 1	1	3775.372866356	3776.516931825	79.4	164.7
33	Spectrogram 1	1	3775.372866356	3776.516931825	79.4	164.7
34	Waveform 1	1	3807.224551400	3808.177939291	77.1	187.7
34	Spectrogram 1	1	3807.224551400	3808.177939291	77.1	187.7
35	Waveform 1	1	3831.978793257	3832.741503570	114.0	210.8
35	Spectrogram 1	1	3831.978793257	3832.741503570	114.0	210.8
36	Waveform 1	1	3858.830488474	3859.572012389	93.3	180.8
36	Spectrogram 1	1	3858.830488474	3859.572012389	93.3	180.8
37	Waveform 1	1	3882.377105670	3883.372866356	74.8	192.3
37	Spectrogram 1	1	3882.377105670	3883.372866356	74.8	192.3
38	Waveform 1	1	3998.745732712	4000.821999674	102.5	164.7
38	Spectrogram 1	1	3998.745732712	4000.821999674	102.5	164.7
39	Waveform 1	1	4030.258435395	4031.042332105	88.7	194.7
39	Spectrogram 1	1	4030.258435395	4031.042332105	88.7	194.7
40	Waveform 1	1	4068.093214046	4068.622873985	88.7	185.4
40	Spectrogram 1	1	4068.093214046	4068.622873985	88.7	185.4
41	Waveform 1	1	4104.118619412	4104.944888918	67.9	162.4
41	Spectrogram 1	1	4104.118619412	4104.944888918	67.9	162.4
42	Waveform 1	1	4145.101641811	4145.864352124	91.0	183.1
42	Spectrogram 1	1	4145.101641811	4145.864352124	91.0	183.1
43	Waveform 1	1	4311.283891624	4312.216093117	100.2	233.8
43	Spectrogram 1	1	4311.283891624	4312.216093117	100.2	233.8
44	Waveform 1	1	4357.669445404	4358.580460500	72.5	194.7
44	Spectrogram 1	1	4357.669445404	4358.580460500	72.5	194.7
45	Waveform 1	1	4395.144055296	4395.927952007	93.3	185.4
45	Spectrogram 1	1	4395.144055296	4395.927952007	93.3	185.4
46	Waveform 1	1	4417.432145544	4418.618583809	91.0	171.6
46	Spectrogram 1	1	4417.432145544	4418.618583809	91.0	171.6
47	Waveform 1	1	4711.275372306	4712.652488148	67.9	160.1
47	Spectrogram 1	1	4711.275372306	4712.652488148	67.9	160.1
48	Waveform 1	1	4733.254196081	4734.821989501	88.7	164.7
48	Spectrogram 1	1	4733.254196081	4734.821989501	88.7	164.7
49	Waveform 1	1	4798.809312249	4799.932191321	86.4	213.1
49	Spectrogram 1	1	4798.809312249	4799.932191321	86.4	213.1
50	Waveform 1	1	4845.512661993	4846.635541065	72.5	183.1
50	Spectrogram 1	1	4845.512661993	4846.635541065	72.5	183.1
51	Waveform 1	1	4882.754221512	4883.898286981	93.3	183.1
51	Spectrogram 1	1	4882.754221512	4883.898286981	93.3	183.1
52	Waveform 1	1	4913.038113136	4913.588959473	100.2	148.6
52	Spectrogram 1	1	4913.038113136	4913.588959473	100.2	148.6
53	Waveform 1	1	4948.660976949	4949.444873659	72.5	173.9
53	Spectrogram 1	1	4948.660976949	4949.444873659	72.5	173.9
54	Waveform 1	1	5177.995750513	5178.737274429	114.0	187.7
54	Spectrogram 1	1	5177.995750513	5178.737274429	114.0	187.7
55	Waveform 1	1	5258.885538521	5260.305027159	70.2	208.5
55	Spectrogram 1	1	5258.885538521	5260.305027159	70.2	208.5
56	Waveform 1	1	5358.495725082	5359.258435395	107.1	176.2
56	Spectrogram 1	1	5358.495725082	5359.258435395	107.1	176.2
57	Waveform 1	1	5518.525390108	5519.351659613	56.4	197.0
57	Spectrogram 1	1	5518.525390108	5519.351659613	56.4	197.0
58	Waveform 1	1	5681.033863650	5682.177929119	86.4	197.0
58	Spectrogram 1	1	5681.033863650	5682.177929119	86.4	197.0
59	Waveform 1	1	5862.194896547	5863.233030028	123.2	199.3
59	Spectrogram 1	1	5862.194896547	5863.233030028	123.2	199.3
60	Waveform 1	1	5904.258425222	5905.402490691	88.7	199.3
60	Spectrogram 1	1	5904.258425222	5905.402490691	88.7	199.3
61	Waveform 1	1	5943.067778162	5944.677944377	77.1	171.6
61	Spectrogram 1	1	5943.067778162	5944.677944377	77.1	171.6
62	Waveform 1	1	5948.470309543	5949.783866193	77.1	183.1
62	Spectrogram 1	1	5948.470309543	5949.783866193	77.1	183.1
63	Waveform 1	1	6223.872840924	6224.995719996	86.4	180.8
63	Spectrogram 1	1	6223.872840924	6224.995719996	86.4	180.8
64	Waveform 1	1	6277.067757817	6278.423687261	93.3	261.5
64	Spectrogram 1	1	6277.067757817	6278.423687261	93.3	261.5
65	Waveform 1	1	6281.071986958	6282.491475596	118.6	229.2
65	Spectrogram 1	1	6281.071986958	6282.491475596	118.6	229.2
66	Waveform 1	1	6413.656737635	6414.885548694	95.6	224.6
66	Spectrogram 1	1	6413.656737635	6414.885548694	95.6	224.6
67	Waveform 1	1	6572.245727625	6573.347420299	95.6	190.0
67	Spectrogram 1	1	6572.245727625	6573.347420299	95.6	190.0
68	Waveform 1	1	6687.046561247	6687.957576342	72.5	150.9
68	Spectrogram 1	1	6687.046561247	6687.957576342	72.5	150.9
69	Waveform 1	1	6709.046571419	6710.614364840	58.7	146.3
69	Spectrogram 1	1	6709.046571419	6710.614364840	58.7	146.3
70	Waveform 1	1	6737.783856020	6739.033853477	65.6	146.3
70	Spectrogram 1	1	6737.783856020	6739.033853477	65.6	146.3
71	Waveform 1	1	6791.127077695	6792.334702357	54.1	155.5
71	Spectrogram 1	1	6791.127077695	6792.334702357	54.1	155.5
72	Waveform 1	1	6821.093173356	6822.216052427	70.2	157.8
72	Spectrogram 1	1	6821.093173356	6822.216052427	70.2	157.8
73	Waveform 1	1	6850.783845848	6851.991470509	54.1	164.7
73	Spectrogram 1	1	6850.783845848	6851.991470509	54.1	164.7
74	Waveform 1	1	6884.805072935	6885.991511199	61.0	132.4
74	Spectrogram 1	1	6884.805072935	6885.991511199	61.0	132.4
75	Waveform 1	1	6909.898297154	6911.233040201	61.0	144.0
75	Spectrogram 1	1	6909.898297154	6911.233040201	61.0	144.0
76	Waveform 1	1	7154.347440644	7155.004218969	118.6	201.6
76	Spectrogram 1	1	7154.347440644	7155.004218969	118.6	201.6
77	Waveform 1	1	7155.597438101	7156.105911643	104.8	203.9
77	Spectrogram 1	1	7155.597438101	7156.105911643	104.8	203.9
78	Waveform 1	1	7416.033843304	7416.754180822	91.0	176.2
78	Spectrogram 1	1	7416.033843304	7416.754180822	91.0	176.2
79	Waveform 1	1	7470.182148087	7470.478757654	67.9	141.7
79	Spectrogram 1	1	7470.182148087	7470.478757654	67.9	141.7
80	Waveform 1	1	7716.072027648	7716.707619575	61.0	185.4
80	Spectrogram 1	1	7716.072027648	7716.707619575	61.0	185.4
81	Waveform 1	1	7751.885569039	7753.050820906	81.7	236.1
81	Spectrogram 1	1	7751.885569039	7753.050820906	81.7	236.1
82	Waveform 1	1	7774.542357536	7775.940659776	70.2	206.2
