Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Mooring
1	Waveform 1	1	58.846516796	60.615495426	46.5	154.1	58.846	AU-AWBS03_20120811_104345.wav	AW12_AU_BS3
1	Spectrogram 1	1	58.846516796	60.615495426	46.5	154.1	58.846	AU-AWBS03_20120811_104345.wav	AW12_AU_BS3
2	Waveform 1	1	79.008026665	80.195423280	72.8	151.7	79.008	AU-AWBS03_20120811_104345.wav	AW12_AU_BS3
2	Spectrogram 1	1	79.008026665	80.195423280	72.8	151.7	79.008	AU-AWBS03_20120811_104345.wav	AW12_AU_BS3
3	Waveform 1	1	99.440996407	100.943416614	72.8	192.4	99.441	AU-AWBS03_20120811_104345.wav	AW12_AU_BS3
3	Spectrogram 1	1	99.440996407	100.943416614	72.8	192.4	99.441	AU-AWBS03_20120811_104345.wav	AW12_AU_BS3
4	Waveform 1	1	399.497523342	400.199960938	113.5	211.5	174.497	AU-AWBS03_20120812_221345.wav	AW12_AU_BS3
4	Spectrogram 1	1	399.497523342	400.199960938	113.5	211.5	174.497	AU-AWBS03_20120812_221345.wav	AW12_AU_BS3
5	Waveform 1	1	412.975599633	413.590232529	89.5	185.2	187.976	AU-AWBS03_20120812_221345.wav	AW12_AU_BS3
5	Spectrogram 1	1	412.975599633	413.590232529	89.5	185.2	187.976	AU-AWBS03_20120812_221345.wav	AW12_AU_BS3
6	Waveform 1	1	416.868274640	417.629248702	99.1	175.7	191.868	AU-AWBS03_20120812_221345.wav	AW12_AU_BS3
6	Spectrogram 1	1	416.868274640	417.629248702	99.1	175.7	191.868	AU-AWBS03_20120812_221345.wav	AW12_AU_BS3
7	Waveform 1	1	421.843874274	422.780457734	99.1	182.8	196.844	AU-AWBS03_20120812_221345.wav	AW12_AU_BS3
7	Spectrogram 1	1	421.843874274	422.780457734	99.1	182.8	196.844	AU-AWBS03_20120812_221345.wav	AW12_AU_BS3
8	Waveform 1	1	428.107288372	428.517043636	84.7	149.3	203.107	AU-AWBS03_20120812_221345.wav	AW12_AU_BS3
8	Spectrogram 1	1	428.107288372	428.517043636	84.7	149.3	203.107	AU-AWBS03_20120812_221345.wav	AW12_AU_BS3
9	Waveform 1	1	528.380474824	529.317058284	99.1	166.1	78.380	AU-AWBS03_20120831_200000.wav	AW12_AU_BS3
9	Spectrogram 1	1	528.380474824	529.317058284	99.1	166.1	78.380	AU-AWBS03_20120831_200000.wav	AW12_AU_BS3
10	Waveform 1	1	596.312153797	597.629224288	77.6	180.4	146.312	AU-AWBS03_20120831_200000.wav	AW12_AU_BS3
10	Spectrogram 1	1	596.312153797	597.629224288	77.6	180.4	146.312	AU-AWBS03_20120831_200000.wav	AW12_AU_BS3
11	Waveform 1	1	618.365822397	619.273137624	89.5	180.4	168.366	AU-AWBS03_20120831_200000.wav	AW12_AU_BS3
11	Spectrogram 1	1	618.365822397	619.273137624	89.5	180.4	168.366	AU-AWBS03_20120831_200000.wav	AW12_AU_BS3
12	Waveform 1	1	639.658516935	640.595100395	89.5	187.6	189.659	AU-AWBS03_20120831_200000.wav	AW12_AU_BS3
12	Spectrogram 1	1	639.658516935	640.595100395	89.5	187.6	189.659	AU-AWBS03_20120831_200000.wav	AW12_AU_BS3
13	Waveform 1	1	771.556084223	772.492667683	75.2	158.9	96.556	AU-AWBS03_20120831_200345.wav	AW12_AU_BS3
13	Spectrogram 1	1	771.556084223	772.492667683	75.2	158.9	96.556	AU-AWBS03_20120831_200345.wav	AW12_AU_BS3
14	Waveform 1	1	810.790205674	811.814593833	80.0	228.3	135.790	AU-AWBS03_20120831_200345.wav	AW12_AU_BS3
14	Spectrogram 1	1	810.790205674	811.814593833	80.0	228.3	135.790	AU-AWBS03_20120831_200345.wav	AW12_AU_BS3
15	Waveform 1	1	911.736561488	912.702413181	91.9	242.6	11.737	AU-AWBS03_20120831_200730.wav	AW12_AU_BS3
15	Spectrogram 1	1	911.736561488	912.702413181	91.9	242.6	11.737	AU-AWBS03_20120831_200730.wav	AW12_AU_BS3
16	Waveform 1	1	949.156052484	950.151172411	72.8	199.6	49.156	AU-AWBS03_20120831_200730.wav	AW12_AU_BS3
16	Spectrogram 1	1	949.156052484	950.151172411	72.8	199.6	49.156	AU-AWBS03_20120831_200730.wav	AW12_AU_BS3
17	Waveform 1	1	1226.546336283	1227.892675007	72.8	173.3	176.546	AU-AWBS03_20120831_201000.wav	AW12_AU_BS3
17	Spectrogram 1	1	1226.546336283	1227.892675007	72.8	173.3	176.546	AU-AWBS03_20120831_201000.wav	AW12_AU_BS3
18	Waveform 1	1	1322.473135182	1323.409718643	63.2	204.4	47.473	AU-AWBS03_20120831_201730.wav	AW12_AU_BS3
