Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Mooring
1	Waveform 1	1	100.894027322	101.656737635	111.7	178.5	100.894	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
1	Spectrogram 1	1	100.894027322	101.656737635	111.7	178.5	100.894	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
2	Waveform 1	1	110.139826155	110.987282058	118.6	173.9	110.140	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
2	Spectrogram 1	1	110.139826155	110.987282058	118.6	173.9	110.140	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
3	Waveform 1	1	118.444894004	119.271163509	109.4	215.4	118.445	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
3	Spectrogram 1	1	118.444894004	119.271163509	109.4	215.4	118.445	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
4	Waveform 1	1	126.940639431	127.745722539	107.1	199.3	126.941	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
4	Spectrogram 1	1	126.940639431	127.745722539	107.1	199.3	126.941	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
5	Waveform 1	1	134.949097714	135.817740015	107.1	190.0	134.949	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
5	Spectrogram 1	1	134.949097714	135.817740015	107.1	190.0	134.949	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
6	Waveform 1	1	143.686423005	144.597438101	104.8	167.0	143.686	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
6	Spectrogram 1	1	143.686423005	144.597438101	104.8	167.0	143.686	AU-AWBS03_20141020_052730.wav	AW14_AU_BS3
7	Waveform 1	1	152.055050047	153.029624336	111.7	187.7	2.055	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
7	Spectrogram 1	1	152.055050047	153.029624336	111.7	187.7	2.055	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
8	Waveform 1	1	161.122828209	162.160961690	120.9	208.5	11.123	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
8	Spectrogram 1	1	161.122828209	162.160961690	120.9	208.5	11.123	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
9	Waveform 1	1	168.737274429	169.521171139	118.6	171.6	18.737	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
9	Spectrogram 1	1	168.737274429	169.521171139	118.6	171.6	18.737	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
10	Waveform 1	1	177.826238988	178.440644517	118.6	176.2	27.826	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
10	Spectrogram 1	1	177.826238988	178.440644517	118.6	176.2	27.826	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
11	Waveform 1	1	186.788085162	187.381304294	127.8	171.6	36.788	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
11	Spectrogram 1	1	186.788085162	187.381304294	127.8	171.6	36.788	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
12	Waveform 1	1	327.008468456	327.644060383	88.7	183.1	177.008	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
12	Spectrogram 1	1	327.008468456	327.644060383	88.7	183.1	177.008	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
13	Waveform 1	1	336.923702520	337.474548857	109.4	178.5	186.924	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
13	Spectrogram 1	1	336.923702520	337.474548857	109.4	178.5	186.924	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
14	Waveform 1	1	345.355888755	345.949107887	118.6	187.7	195.356	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
14	Spectrogram 1	1	345.355888755	345.949107887	118.6	187.7	195.356	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
15	Waveform 1	1	354.834737961	355.322025105	114.0	160.1	204.835	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
15	Spectrogram 1	1	354.834737961	355.322025105	114.0	160.1	204.835	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
16	Waveform 1	1	363.902516123	364.601667243	114.0	183.1	213.903	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
16	Spectrogram 1	1	363.902516123	364.601667243	114.0	183.1	213.903	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
17	Waveform 1	1	373.499954224	374.368596524	107.1	208.5	223.500	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
17	Spectrogram 1	1	373.499954224	374.368596524	107.1	208.5	223.500	AU-AWBS03_20141020_053000.wav	AW14_AU_BS3
18	Waveform 1	1	528.529629422	528.974543771	91.0	208.5	153.530	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
18	Spectrogram 1	1	528.529629422	528.974543771	91.0	208.5	153.530	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
19	Waveform 1	1	538.529609077	539.144014606	107.1	185.4	163.530	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
19	Spectrogram 1	1	538.529609077	539.144014606	107.1	185.4	163.530	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
20	Waveform 1	1	546.822020019	547.372866356	107.1	210.8	171.822	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
20	Spectrogram 1	1	546.822020019	547.372866356	107.1	210.8	171.822	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
21	Waveform 1	1	557.182168433	558.177929119	97.9	185.4	182.182	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
21	Spectrogram 1	1	557.182168433	558.177929119	97.9	185.4	182.182	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
22	Waveform 1	1	567.372825666	567.966044798	107.1	160.1	192.373	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
22	Spectrogram 1	1	567.372825666	567.966044798	107.1	160.1	192.373	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
23	Waveform 1	1	576.406760523	577.423707606	102.5	194.7	201.407	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
23	Spectrogram 1	1	576.406760523	577.423707606	102.5	194.7	201.407	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
24	Waveform 1	1	585.940639431	586.894027322	107.1	173.9	210.941	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
24	Spectrogram 1	1	585.940639431	586.894027322	107.1	173.9	210.941	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
25	Waveform 1	1	595.114349581	595.898246291	97.9	173.9	220.114	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
25	Spectrogram 1	1	595.114349581	595.898246291	97.9	173.9	220.114	AU-AWBS03_20141020_054345.wav	AW14_AU_BS3
26	Waveform 1	1	604.847435558	605.694891461	118.6	187.7	4.847	AU-AWBS03_20141020_054730.wav	AW14_AU_BS3
26	Spectrogram 1	1	604.847435558	605.694891461	118.6	187.7	4.847	AU-AWBS03_20141020_054730.wav	AW14_AU_BS3
27	Waveform 1	1	615.249956767	615.821989501	120.9	176.2	15.250	AU-AWBS03_20141020_054730.wav	AW14_AU_BS3
27	Spectrogram 1	1	615.249956767	615.821989501	120.9	176.2	15.250	AU-AWBS03_20141020_054730.wav	AW14_AU_BS3
28	Waveform 1	1	617.474528512	617.961815656	146.3	208.5	17.475	AU-AWBS03_20141020_054730.wav	AW14_AU_BS3
28	Spectrogram 1	1	617.474528512	617.961815656	146.3	208.5	17.475	AU-AWBS03_20141020_054730.wav	AW14_AU_BS3
29	Waveform 1	1	826.377085325	826.800813276	54.1	206.2	76.377	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
29	Spectrogram 1	1	826.377085325	826.800813276	54.1	206.2	76.377	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
30	Waveform 1	1	835.508422679	836.038082618	79.4	187.7	85.508	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
30	Spectrogram 1	1	835.508422679	836.038082618	79.4	187.7	85.508	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
31	Waveform 1	1	844.754221512	845.410999837	100.2	167.0	94.754	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
31	Spectrogram 1	1	844.754221512	845.410999837	100.2	167.0	94.754	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
32	Waveform 1	1	853.398271722	854.012677252	107.1	194.7	103.398	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
32	Spectrogram 1	1	853.398271722	854.012677252	107.1	194.7	103.398	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
33	Waveform 1	1	861.766898764	862.487236282	84.1	180.8	111.767	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
33	Spectrogram 1	1	861.766898764	862.487236282	84.1	180.8	111.767	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
34	Waveform 1	1	870.716088031	871.330493561	88.7	187.7	120.716	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
34	Spectrogram 1	1	870.716088031	871.330493561	88.7	187.7	120.716	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
35	Waveform 1	1	879.805052590	880.525390108	102.5	185.4	129.805	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
35	Spectrogram 1	1	879.805052590	880.525390108	102.5	185.4	129.805	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
36	Waveform 1	1	888.364357210	889.190626716	100.2	171.6	138.364	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
36	Spectrogram 1	1	888.364357210	889.190626716	100.2	171.6	138.364	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
37	Waveform 1	1	897.885579212	898.860153500	100.2	173.9	147.886	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
37	Spectrogram 1	1	897.885579212	898.860153500	100.2	173.9	147.886	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
38	Waveform 1	1	908.076236445	908.838946757	111.7	169.3	158.076	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
38	Spectrogram 1	1	908.076236445	908.838946757	111.7	169.3	158.076	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
39	Waveform 1	1	917.843165726	918.860112810	95.6	164.7	167.843	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
39	Spectrogram 1	1	917.843165726	918.860112810	95.6	164.7	167.843	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
40	Waveform 1	1	927.978793257	928.805062763	116.3	173.9	177.979	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
40	Spectrogram 1	1	927.978793257	928.805062763	116.3	173.9	177.979	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
41	Waveform 1	1	946.135535978	947.385533435	109.4	164.7	196.136	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
41	Spectrogram 1	1	946.135535978	947.385533435	109.4	164.7	196.136	AU-AWBS03_20141020_055000.wav	AW14_AU_BS3
42	Waveform 1	1	1005.843206416	1006.499984741	120.9	192.3	30.843	AU-AWBS03_20141124_200345.wav	AW14_AU_BS3
42	Spectrogram 1	1	1005.843206416	1006.499984741	120.9	192.3	30.843	AU-AWBS03_20141124_200345.wav	AW14_AU_BS3
43	Waveform 1	1	1017.771148251	1018.724536141	134.7	224.6	42.771	AU-AWBS03_20141124_200345.wav	AW14_AU_BS3
43	Spectrogram 1	1	1017.771148251	1018.724536141	134.7	224.6	42.771	AU-AWBS03_20141124_200345.wav	AW14_AU_BS3
44	Waveform 1	1	1027.389772749	1027.855873496	134.7	201.6	52.390	AU-AWBS03_20141124_200345.wav	AW14_AU_BS3
44	Spectrogram 1	1	1027.389772749	1027.855873496	134.7	201.6	52.390	AU-AWBS03_20141124_200345.wav	AW14_AU_BS3
45	Waveform 1	1	1200.076246617	1200.860143327	120.9	183.1	0.076	AU-AWBS03_20141204_205345.wav	AW14_AU_BS3
45	Spectrogram 1	1	1200.076246617	1200.860143327	120.9	183.1	0.076	AU-AWBS03_20141204_205345.wav	AW14_AU_BS3
46	Waveform 1	1	1378.813500701	1379.618583809	109.4	178.5	178.813	AU-AWBS03_20141204_205345.wav	AW14_AU_BS3
46	Spectrogram 1	1	1378.813500701	1379.618583809	109.4	178.5	178.813	AU-AWBS03_20141204_205345.wav	AW14_AU_BS3
47	Waveform 1	1	1408.809312249	1409.614395357	65.6	173.9	208.809	AU-AWBS03_20141204_205345.wav	AW14_AU_BS3
47	Spectrogram 1	1	1408.809312249	1409.614395357	65.6	173.9	208.809	AU-AWBS03_20141204_205345.wav	AW14_AU_BS3
48	Waveform 1	1	1437.080496104	1438.203375175	67.9	171.6	12.081	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
48	Spectrogram 1	1	1437.080496104	1438.203375175	67.9	171.6	12.081	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
49	Waveform 1	1	1573.118629585	1574.050831078	102.5	178.5	148.119	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
49	Spectrogram 1	1	1573.118629585	1574.050831078	102.5	178.5	148.119	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
50	Waveform 1	1	1578.584720159	1579.241498484	107.1	180.8	153.585	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
50	Spectrogram 1	1	1578.584720159	1579.241498484	107.1	180.8	153.585	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
51	Waveform 1	1	1583.733014769	1584.220301914	132.4	185.4	158.733	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
51	Spectrogram 1	1	1583.733014769	1584.220301914	132.4	185.4	158.733	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
52	Waveform 1	1	1588.648259007	1589.432155717	132.4	194.7	163.648	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
52	Spectrogram 1	1	1588.648259007	1589.432155717	132.4	194.7	163.648	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
53	Waveform 1	1	1590.809271559	1591.529609077	109.4	167.0	165.809	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
53	Spectrogram 1	1	1590.809271559	1591.529609077	109.4	167.0	165.809	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
54	Waveform 1	1	1593.309266473	1593.838926412	86.4	173.9	168.309	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
54	Spectrogram 1	1	1593.309266473	1593.838926412	86.4	173.9	168.309	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
55	Waveform 1	1	1597.851685044	1598.720327345	102.5	178.5	172.852	AU-AWBS03_20141204_210000.wav	AW14_AU_BS3
