Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Mooring
1	Waveform 1	1	127.227381992	128.141417129	71.3	192.2	AU-BS04b_20130918_050730.wav	127.227	BS13_AU_04
1	Spectrogram 1	1	127.227381992	128.141417129	71.3	192.2	AU-BS04b_20130918_050730.wav	127.227	BS13_AU_04
2	Waveform 1	1	169.279636985	170.291604458	83.1	171.5	AU-BS04b_20130918_105730.wav	19.281	BS13_AU_04
2	Spectrogram 1	1	169.279636985	170.291604458	83.1	171.5	AU-BS04b_20130918_105730.wav	19.281	BS13_AU_04
3	Waveform 1	1	298.433021587	299.608209620	106.7	162.7	AU-BS04b_20130918_105730.wav	148.434	BS13_AU_04
3	Spectrogram 1	1	298.433021587	299.608209620	106.7	162.7	AU-BS04b_20130918_105730.wav	148.434	BS13_AU_04
4	Waveform 1	1	366.603885555	367.093547236	159.7	233.5	AU-BS04b_20130920_124000.wav	66.605	BS13_AU_04
4	Spectrogram 1	1	366.603885555	367.093547236	159.7	233.5	AU-BS04b_20130920_124000.wav	66.605	BS13_AU_04
5	Waveform 1	1	375.515728142	376.103322159	91.9	142.1	AU-BS04b_20130920_124000.wav	75.517	BS13_AU_04
5	Spectrogram 1	1	375.515728142	376.103322159	91.9	142.1	AU-BS04b_20130920_124000.wav	75.517	BS13_AU_04
6	Waveform 1	1	425.852948908	426.440542925	133.2	221.7	AU-BS04b_20130920_124000.wav	125.854	BS13_AU_04
6	Spectrogram 1	1	425.852948908	426.440542925	133.2	221.7	AU-BS04b_20130920_124000.wav	125.854	BS13_AU_04
7	Waveform 1	1	470.255579968	470.973750433	80.1	162.7	AU-BS04b_20130920_124000.wav	170.257	BS13_AU_04
7	Spectrogram 1	1	470.255579968	470.973750433	80.1	162.7	AU-BS04b_20130920_124000.wav	170.257	BS13_AU_04
8	Waveform 1	1	560.755016572	561.669051709	62.4	124.4	AU-BS04b_20130920_130730.wav	35.756	BS13_AU_04
8	Spectrogram 1	1	560.755016572	561.669051709	62.4	124.4	AU-BS04b_20130920_130730.wav	35.756	BS13_AU_04
9	Waveform 1	1	588.832272269	589.452510398	86.0	168.6	AU-BS04b_20130920_130730.wav	63.833	BS13_AU_04
9	Spectrogram 1	1	588.832272269	589.452510398	86.0	168.6	AU-BS04b_20130920_130730.wav	63.833	BS13_AU_04
10	Waveform 1	1	660.006394545	660.496056226	83.1	183.3	AU-BS04b_20130920_130730.wav	135.007	BS13_AU_04
10	Spectrogram 1	1	660.006394545	660.496056226	83.1	183.3	AU-BS04b_20130920_130730.wav	135.007	BS13_AU_04
11	Waveform 1	1	675.133651650	675.917110339	112.6	204.0	AU-BS04b_20130928_203345.wav	0.135	BS13_AU_04
11	Spectrogram 1	1	675.133651650	675.917110339	112.6	204.0	AU-BS04b_20130928_203345.wav	0.135	BS13_AU_04
12	Waveform 1	1	687.538414226	688.060720018	83.1	150.9	AU-BS04b_20130928_203345.wav	12.539	BS13_AU_04
12	Spectrogram 1	1	687.538414226	688.060720018	83.1	150.9	AU-BS04b_20130928_203345.wav	12.539	BS13_AU_04
13	Waveform 1	1	692.924692712	693.773439625	86.0	153.8	AU-BS04b_20130928_203345.wav	17.926	BS13_AU_04
13	Spectrogram 1	1	692.924692712	693.773439625	86.0	153.8	AU-BS04b_20130928_203345.wav	17.926	BS13_AU_04
14	Waveform 1	1	803.568865787	804.515545037	68.3	159.7	AU-BS04b_20130928_203345.wav	128.570	BS13_AU_04
14	Spectrogram 1	1	803.568865787	804.515545037	68.3	159.7	AU-BS04b_20130928_203345.wav	128.570	BS13_AU_04
15	Waveform 1	1	807.877888577	808.628703154	74.2	150.9	AU-BS04b_20130928_203345.wav	132.879	BS13_AU_04
15	Spectrogram 1	1	807.877888577	808.628703154	74.2	150.9	AU-BS04b_20130928_203345.wav	132.879	BS13_AU_04
16	Waveform 1	1	868.964980232	869.683150697	109.6	201.0	AU-BS04b_20130928_203345.wav	193.966	BS13_AU_04
16	Spectrogram 1	1	868.964980232	869.683150697	109.6	201.0	AU-BS04b_20130928_203345.wav	193.966	BS13_AU_04
17	Waveform 1	1	988.488351782	989.500319256	97.8	230.5	AU-BS04b_20131011_040000.wav	88.489	BS13_AU_04
17	Spectrogram 1	1	988.488351782	989.500319256	97.8	230.5	AU-BS04b_20131011_040000.wav	88.489	BS13_AU_04
18	Waveform 1	1	1134.982398563	1135.994366037	77.2	189.2	AU-BS04b_20131011_040730.wav	9.983	BS13_AU_04
18	Spectrogram 1	1	1134.982398563	1135.994366037	77.2	189.2	AU-BS04b_20131011_040730.wav	9.983	BS13_AU_04
19	Waveform 1	1	1225.122749935	1225.710343951	100.8	195.1	AU-BS04b_20131011_040730.wav	100.124	BS13_AU_04
19	Spectrogram 1	1	1225.122749935	1225.710343951	100.8	195.1	AU-BS04b_20131011_040730.wav	100.124	BS13_AU_04
20	Waveform 1	1	1268.911659481	1269.695118170	83.1	174.5	AU-BS04b_20131011_040730.wav	143.913	BS13_AU_04
20	Spectrogram 1	1	1268.911659481	1269.695118170	83.1	174.5	AU-BS04b_20131011_040730.wav	143.913	BS13_AU_04
21	Waveform 1	1	1464.146684881	1465.158652354	80.1	192.2	AU-BS04b_20131103_010345.wav	189.148	BS13_AU_04
21	Spectrogram 1	1	1464.146684881	1465.158652354	80.1	192.2	AU-BS04b_20131103_010345.wav	189.148	BS13_AU_04
22	Waveform 1	1	1477.498126706	1478.771247075	97.8	201.0	AU-BS04b_20131103_010345.wav	202.499	BS13_AU_04
22	Spectrogram 1	1	1477.498126706	1478.771247075	97.8	201.0	AU-BS04b_20131103_010345.wav	202.499	BS13_AU_04
