Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Mooring
1	Waveform 1	1	22.309276645	23.029614163	88.7	180.8	22.309	AU-BS04b_20141202_201000.wav	BS14_AU_04
1	Spectrogram 1	1	22.309276645	23.029614163	88.7	180.8	22.309	AU-BS04b_20141202_201000.wav	BS14_AU_04
2	Waveform 1	1	316.936400117	318.186397574	102.5	243.0	91.936	AU-BS04b_20150107_000345.wav	BS14_AU_04
2	Spectrogram 1	1	316.936400117	318.186397574	102.5	243.0	91.936	AU-BS04b_20150107_000345.wav	BS14_AU_04
3	Waveform 1	1	364.050820906	365.491495941	86.4	226.9	139.051	AU-BS04b_20150107_000345.wav	BS14_AU_04
3	Spectrogram 1	1	364.050820906	365.491495941	86.4	226.9	139.051	AU-BS04b_20150107_000345.wav	BS14_AU_04
4	Waveform 1	1	419.830478302	421.165221349	114.0	240.7	194.831	AU-BS04b_20150107_000345.wav	BS14_AU_04
4	Spectrogram 1	1	419.830478302	421.165221349	114.0	240.7	194.831	AU-BS04b_20150107_000345.wav	BS14_AU_04
5	Waveform 1	1	446.279631965	447.741493398	81.7	217.7	221.280	AU-BS04b_20150107_000345.wav	BS14_AU_04
5	Spectrogram 1	1	446.279631965	447.741493398	81.7	217.7	221.280	AU-BS04b_20150107_000345.wav	BS14_AU_04
6	Waveform 1	1	522.300828535	523.487266799	58.7	199.3	72.301	AU-BS04b_20150702_162345.wav	BS14_AU_04
6	Spectrogram 1	1	522.300828535	523.487266799	58.7	199.3	72.301	AU-BS04b_20150702_162345.wav	BS14_AU_04
7	Waveform 1	1	556.313526132	557.817760360	58.7	190.0	106.314	AU-BS04b_20150702_162345.wav	BS14_AU_04
7	Spectrogram 1	1	556.313526132	557.817760360	58.7	190.0	106.314	AU-BS04b_20150702_162345.wav	BS14_AU_04
8	Waveform 1	1	577.042352450	578.483027485	65.6	194.7	127.042	AU-BS04b_20150702_162345.wav	BS14_AU_04
8	Spectrogram 1	1	577.042352450	578.483027485	65.6	194.7	127.042	AU-BS04b_20150702_162345.wav	BS14_AU_04
9	Waveform 1	1	607.262684881	608.555055133	63.3	176.2	157.263	AU-BS04b_20150702_162345.wav	BS14_AU_04
9	Spectrogram 1	1	607.262684881	608.555055133	63.3	176.2	157.263	AU-BS04b_20150702_162345.wav	BS14_AU_04
10	Waveform 1	1	720.410979492	721.385553780	56.4	162.4	45.411	AU-BS04b_20150702_165345.wav	BS14_AU_04
10	Spectrogram 1	1	720.410979492	721.385553780	56.4	162.4	45.411	AU-BS04b_20150702_165345.wav	BS14_AU_04
11	Waveform 1	1	744.593188614	746.139795637	63.3	160.1	69.593	AU-BS04b_20150702_165345.wav	BS14_AU_04
11	Spectrogram 1	1	744.593188614	746.139795637	63.3	160.1	69.593	AU-BS04b_20150702_165345.wav	BS14_AU_04
12	Waveform 1	1	915.838926412	917.406719833	61.0	187.7	15.839	AU-BS04b_20150720_201000.wav	BS14_AU_04
12	Spectrogram 1	1	915.838926412	917.406719833	61.0	187.7	15.839	AU-BS04b_20150720_201000.wav	BS14_AU_04
13	Waveform 1	1	1156.042321933	1158.118588895	47.2	215.4	31.042	AU-BS04b_20150721_002730.wav	BS14_AU_04
13	Spectrogram 1	1	1156.042321933	1158.118588895	47.2	215.4	31.042	AU-BS04b_20150721_002730.wav	BS14_AU_04
14	Waveform 1	1	1180.766939454	1182.567783248	72.5	203.9	55.767	AU-BS04b_20150721_002730.wav	BS14_AU_04
14	Spectrogram 1	1	1180.766939454	1182.567783248	72.5	203.9	55.767	AU-BS04b_20150721_002730.wav	BS14_AU_04
15	Waveform 1	1	1199.177918946	1200.745712366	56.4	173.9	74.178	AU-BS04b_20150721_002730.wav	BS14_AU_04
15	Spectrogram 1	1	1199.177918946	1200.745712366	56.4	173.9	74.178	AU-BS04b_20150721_002730.wav	BS14_AU_04
16	Waveform 1	1	1488.910984578	1490.203354830	54.1	199.3	213.911	AU-BS04b_20150721_003345.wav	BS14_AU_04
16	Spectrogram 1	1	1488.910984578	1490.203354830	54.1	199.3	213.911	AU-BS04b_20150721_003345.wav	BS14_AU_04
