Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Mooring
1	Waveform 1	1	6.228800887	6.843206416	95.6	162.4	AU-BS02b_20151001_171730.wav	6.229	BS15_AU_02b
1	Spectrogram 1	1	6.228800887	6.843206416	95.6	162.4	AU-BS02b_20151001_171730.wav	6.229	BS15_AU_02b
2	Waveform 1	1	230.046581592	231.127087868	104.8	185.4	AU-BS02b_20151007_233345.wav	80.047	BS15_AU_02b
2	Spectrogram 1	1	230.046581592	231.127087868	104.8	185.4	AU-BS02b_20151007_233345.wav	80.047	BS15_AU_02b
3	Waveform 1	1	377.716047341	378.372825666	114.0	169.3	AU-BS02b_20151010_121730.wav	2.716	BS15_AU_02b
3	Spectrogram 1	1	377.716047341	378.372825666	114.0	169.3	AU-BS02b_20151010_121730.wav	2.716	BS15_AU_02b
4	Waveform 1	1	481.055039875	482.432155717	79.4	178.5	AU-BS02b_20151010_121730.wav	106.055	BS15_AU_02b
4	Spectrogram 1	1	481.055039875	482.432155717	79.4	178.5	AU-BS02b_20151010_121730.wav	106.055	BS15_AU_02b
5	Waveform 1	1	719.309286818	720.580470672	95.6	185.4	AU-BS02b_20151013_045345.wav	194.309	BS15_AU_02b
5	Spectrogram 1	1	719.309286818	720.580470672	95.6	185.4	AU-BS02b_20151013_045345.wav	194.309	BS15_AU_02b
6	Waveform 1	1	864.542316846	865.707568713	93.3	197.0	AU-BS02b_20151024_105730.wav	114.542	BS15_AU_02b
6	Spectrogram 1	1	864.542316846	865.707568713	93.3	197.0	AU-BS02b_20151024_105730.wav	114.542	BS15_AU_02b
7	Waveform 1	1	880.567762903	881.584709986	107.1	190.0	AU-BS02b_20151024_105730.wav	130.568	BS15_AU_02b
7	Spectrogram 1	1	880.567762903	881.584709986	107.1	190.0	AU-BS02b_20151024_105730.wav	130.568	BS15_AU_02b
8	Waveform 1	1	904.220312086	904.855904013	38.0	150.9	AU-BS02b_20151101_081730.wav	4.220	BS15_AU_02b
8	Spectrogram 1	1	904.220312086	904.855904013	38.0	150.9	AU-BS02b_20151101_081730.wav	4.220	BS15_AU_02b
9	Waveform 1	1	910.999959310	911.762669623	74.8	213.1	AU-BS02b_20151101_081730.wav	11.000	BS15_AU_02b
9	Spectrogram 1	1	910.999959310	911.762669623	74.8	213.1	AU-BS02b_20151101_081730.wav	11.000	BS15_AU_02b
10	Waveform 1	1	945.974574288	947.012707770	38.0	157.8	AU-BS02b_20151101_081730.wav	45.975	BS15_AU_02b
10	Spectrogram 1	1	945.974574288	947.012707770	38.0	157.8	AU-BS02b_20151101_081730.wav	45.975	BS15_AU_02b
11	Waveform 1	1	973.949148577	975.008468456	79.4	169.3	AU-BS02b_20151101_081730.wav	73.949	BS15_AU_02b
11	Spectrogram 1	1	973.949148577	975.008468456	79.4	169.3	AU-BS02b_20151101_081730.wav	73.949	BS15_AU_02b
12	Waveform 1	1	998.419437775	998.906724919	54.1	160.1	AU-BS02b_20151101_081730.wav	98.419	BS15_AU_02b
12	Spectrogram 1	1	998.419437775	998.906724919	54.1	160.1	AU-BS02b_20151101_081730.wav	98.419	BS15_AU_02b
13	Waveform 1	1	1119.372856183	1120.665226435	100.2	185.4	AU-BS02b_20151101_082345.wav	69.373	BS15_AU_02b
13	Spectrogram 1	1	1119.372856183	1120.665226435	100.2	185.4	AU-BS02b_20151101_082345.wav	69.373	BS15_AU_02b
