Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Mooring
1	Waveform 1	1	159.724525969	160.317745101	114.0	199.3	159.725	AU-BS02a_20160517_080000.wav	BS16_AU_02a
1	Spectrogram 1	1	159.724525969	160.317745101	114.0	199.3	159.725	AU-BS02a_20160517_080000.wav	BS16_AU_02a
2	Waveform 1	1	274.385584298	275.042362623	123.2	201.6	49.386	AU-BS02a_20160517_080345.wav	BS16_AU_02a
2	Spectrogram 1	1	274.385584298	275.042362623	123.2	201.6	49.386	AU-BS02a_20160517_080345.wav	BS16_AU_02a
3	Waveform 1	1	316.131317009	316.766908937	114.0	192.3	91.131	AU-BS02a_20160517_080345.wav	BS16_AU_02a
3	Spectrogram 1	1	316.131317009	316.766908937	114.0	192.3	91.131	AU-BS02a_20160517_080345.wav	BS16_AU_02a
4	Waveform 1	1	601.313526132	601.970304457	93.3	178.5	151.314	AU-BS02a_20160517_082000.wav	BS16_AU_02a
4	Spectrogram 1	1	601.313526132	601.970304457	93.3	178.5	151.314	AU-BS02a_20160517_082000.wav	BS16_AU_02a
5	Waveform 1	1	631.957586515	632.635551237	51.8	116.3	181.958	AU-BS02a_20160517_082000.wav	BS16_AU_02a
5	Spectrogram 1	1	631.957586515	632.635551237	51.8	116.3	181.958	AU-BS02a_20160517_082000.wav	BS16_AU_02a
6	Waveform 1	1	810.809302077	811.762689968	104.8	215.4	135.809	AU-BS02a_20160517_084730.wav	BS16_AU_02a
6	Spectrogram 1	1	810.809302077	811.762689968	104.8	215.4	135.809	AU-BS02a_20160517_084730.wav	BS16_AU_02a
7	Waveform 1	1	1003.016916566	1004.012677252	107.1	222.3	178.017	AU-BS02a_20160517_085000.wav	BS16_AU_02a
7	Spectrogram 1	1	1003.016916566	1004.012677252	107.1	222.3	178.017	AU-BS02a_20160517_085000.wav	BS16_AU_02a
8	Waveform 1	1	1023.576251703	1024.699130775	65.6	176.2	198.576	AU-BS02a_20160517_085000.wav	BS16_AU_02a
8	Spectrogram 1	1	1023.576251703	1024.699130775	65.6	176.2	198.576	AU-BS02a_20160517_085000.wav	BS16_AU_02a
